dispatch_id,dispatch_number,co_id,customer_id,dispatch_date,source_location,transport_mode,vehicle_number,lr_number,driver_name,transport_company,delivery_address,city,state,expected_delivery_date,actual_delivery_date,dispatched_by,status,remarks
18,DSP202505160018,18,1,2025-05-16,Finished Goods Warehouse - Export Hold,Road,MH 29 SB 6238,LR25051600018,Dinesh Sharma,Agarwal Packers Logistics,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-05-18,2025-05-17,12,Delivered,Delivered dispatch for SO202606300018 to Hosur.
19,DSP202505170019,19,10,2025-05-17,Finished Goods Warehouse - Dispatch Ready Bay,Courier,COURIER-00019,LR25051700019,,Om Logistics,"Ampere Electric, EV Motor Receiving Dock, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,2025-05-19,2025-05-19,13,Delivered,Delivered dispatch for SO202606300019 to Coimbatore.
20,DSP202505190020,20,2,2025-05-19,Finished Goods Warehouse - EV Motor Zone,Rail,HR 43 UD 7820,LR25051900020,Suresh Kumar,VRL Logistics,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-05-21,2025-05-22,10,Delivered,Delivered dispatch for SO202606300020 to Krishnagiri.
21,DSP202505200021,21,10,2025-05-20,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 50 VE 8611,LR25052000021,Manoj Yadav,TCI Freight,"Ampere Electric, EV Motor Receiving Dock, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,2025-05-22,2025-05-21,11,Delivered,Delivered dispatch for SO202606300021 to Coimbatore.
22,DSP202505210022,22,11,2025-05-21,Finished Goods Warehouse - Export Hold,Road,TS 57 WF 9402,LR25052100022,Arun Prakash,Delhivery Heavy Goods,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-05-30,2025-05-30,8,Delivered,Delivered dispatch for SO202606300022 to Haridwar.
23,DSP202505240023,23,10,2025-05-24,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 64 XG 1193,LR25052400023,Naveen Singh,Blue Dart Cargo,"Ampere Electric, EV Motor Receiving Dock, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,2025-05-26,2025-05-27,1,Delivered,Delivered dispatch for SO202606300023 to Coimbatore.
24,DSP202505170024,24,4,2025-05-17,Finished Goods Warehouse - EV Motor Zone,Road,TN 71 YH 1984,LR25051700024,Ravi Kumar,Mahindra Logistics,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-05-22,2025-05-21,12,Delivered,Delivered dispatch for SO202606300024 to Pune.
25,DSP202505180025,25,5,2025-05-18,Finished Goods Warehouse - Premium Motor Aisle,Courier,COURIER-00025,LR25051800025,,Gati KWE,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-05-26,2025-05-26,13,Delivered,Delivered dispatch for SO202606300025 to Neemrana.
26,DSP202505240026,26,16,2025-05-24,Finished Goods Warehouse - Export Hold,Courier,COURIER-00026,LR25052400026,,Rivigo Services,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-05-29,2025-05-30,10,Delivered,Delivered dispatch for SO202606300026 to Pune.
27,DSP202505280027,27,6,2025-05-28,Finished Goods Warehouse - Dispatch Ready Bay,Rail,GJ 92 BK 4357,LR25052800027,Sanjay Patil,Safexpress,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-05-30,2025-05-29,11,Delivered,Delivered dispatch for SO202606300027 to Ranipet.
28,DSP202505300028,28,4,2025-05-30,Finished Goods Warehouse - EV Motor Zone,Road,HR 01 CL 5148,LR25053000028,Dinesh Sharma,Agarwal Packers Logistics,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-06-04,2025-06-04,8,Delivered,Delivered dispatch for SO202606300028 to Pune.
29,DSP202505310029,29,10,2025-05-31,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 08 DM 5939,LR25053100029,Kannan M,Om Logistics,"Ampere Electric, EV Motor Receiving Dock, Coimbatore, Tamil Nadu",Coimbatore,Tamil Nadu,2025-06-02,2025-06-03,1,Delivered,Delivered dispatch for SO202606300029 to Coimbatore.
30,DSP202506060030,30,9,2025-06-06,Finished Goods Warehouse - Export Hold,Road,TS 15 EN 6730,LR25060600030,Suresh Kumar,VRL Logistics,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-06-09,2025-06-08,12,Delivered,Delivered dispatch for SO202606300030 to Bengaluru.
31,DSP202506090031,31,16,2025-06-09,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 22 FO 7521,LR25060900031,Manoj Yadav,TCI Freight,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-06-14,2025-06-14,13,Delivered,Delivered dispatch for SO202606300031 to Pune.
32,DSP202506130032,32,7,2025-06-13,Finished Goods Warehouse - EV Motor Zone,Courier,COURIER-00032,LR25061300032,,Delhivery Heavy Goods,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-06-16,2025-06-17,10,Delivered,Delivered dispatch for SO202606300032 to Bengaluru.
33,DSP202506160033,33,8,2025-06-16,Finished Goods Warehouse - Premium Motor Aisle,Customer Pickup,PICKUP-00033,CPU000033,Naveen Singh,Customer Pickup,"Ultraviolette Automotive, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-06-19,2025-06-18,11,Delivered,Delivered dispatch for SO202606300033 to Bengaluru.
34,DSP202506170034,34,11,2025-06-17,Finished Goods Warehouse - Export Hold,Road,MH 43 IR 9894,LR25061700034,Ravi Kumar,Mahindra Logistics,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-06-26,2025-06-26,8,Delivered,Delivered dispatch for SO202606300034 to Haridwar.
35,DSP202506180035,35,20,2025-06-18,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 50 JS 1685,LR25061800035,Imran Khan,Gati KWE,"Montra Electric, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-06-20,2025-06-21,1,Delivered,Delivered dispatch for SO202606300035 to Chennai.
36,DSP202506100036,36,5,2025-06-10,Finished Goods Warehouse - EV Motor Zone,Road,HR 57 KT 2476,LR25061000036,Prakash Reddy,Rivigo Services,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-06-18,2025-06-17,12,Delivered,Delivered dispatch for SO202606300036 to Neemrana.
37,DSP202506130037,37,13,2025-06-13,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 64 LU 3267,LR25061300037,Sanjay Patil,Safexpress,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-06-21,2025-06-21,13,Delivered,Delivered dispatch for SO202606300037 to Delhi.
38,DSP202506180038,38,6,2025-06-18,Finished Goods Warehouse - Export Hold,Road,TS 71 MV 4058,LR25061800038,Dinesh Sharma,Agarwal Packers Logistics,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-06-20,2025-06-21,10,Delivered,Delivered dispatch for SO202606300038 to Ranipet.
39,DSP202506200039,39,16,2025-06-20,Finished Goods Warehouse - Dispatch Ready Bay,Courier,COURIER-00039,LR25062000039,,Om Logistics,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-06-25,2025-06-24,11,Delivered,Delivered dispatch for SO202606300039 to Pune.
40,DSP202506270040,40,5,2025-06-27,Finished Goods Warehouse - EV Motor Zone,Customer Pickup,PICKUP-00040,CPU000040,Suresh Kumar,Customer Pickup,"Hero MotoCorp, EV Motor Receiving Dock, Neemrana, Rajasthan",Neemrana,Rajasthan,2025-07-05,2025-07-05,8,Delivered,Delivered dispatch for SO202606300040 to Neemrana.
41,DSP202506290041,41,7,2025-06-29,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 92 PY 6431,LR25062900041,Manoj Yadav,TCI Freight,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-07-02,2025-07-03,1,Delivered,Delivered dispatch for SO202606300041 to Bengaluru.
42,DSP202507030042,42,4,2025-07-03,Finished Goods Warehouse - Export Hold,Road,MH 01 QZ 7222,LR25070300042,Arun Prakash,Delhivery Heavy Goods,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-07-08,2025-07-07,12,Delivered,Delivered dispatch for SO202606300042 to Pune.
43,DSP202507060043,43,4,2025-07-06,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 08 RA 8013,LR25070600043,Naveen Singh,Blue Dart Cargo,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-07-11,2025-07-11,13,Delivered,Delivered dispatch for SO202606300043 to Pune.
44,DSP202507070044,44,21,2025-07-07,Finished Goods Warehouse - EV Motor Zone,Road,HR 15 SB 8804,LR25070700044,Ravi Kumar,Mahindra Logistics,"EKA Mobility, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-07-12,2025-07-13,10,Delivered,Delivered dispatch for SO202606300044 to Pune.
45,DSP202507100045,45,11,2025-07-10,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 22 TC 9595,LR25071000045,Imran Khan,Gati KWE,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-07-19,2025-07-18,11,Delivered,Delivered dispatch for SO202606300045 to Haridwar.
46,DSP202507140046,46,9,2025-07-14,Finished Goods Warehouse - Export Hold,Courier,COURIER-00046,LR25071400046,,Rivigo Services,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-07-17,2025-07-17,8,Delivered,Delivered dispatch for SO202606300046 to Bengaluru.
47,DSP202507180047,47,9,2025-07-18,Finished Goods Warehouse - Dispatch Ready Bay,Rail,RJ 36 VE 2177,LR25071800047,Sanjay Patil,Safexpress,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-07-21,2025-07-22,1,Delivered,Delivered dispatch for SO202606300047 to Bengaluru.
48,DSP202507090048,48,13,2025-07-09,Finished Goods Warehouse - EV Motor Zone,Road,TN 43 WF 2968,LR25070900048,Dinesh Sharma,Agarwal Packers Logistics,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-07-17,2025-07-16,12,Delivered,Delivered dispatch for SO202606300048 to Delhi.
49,DSP202507110049,49,1,2025-07-11,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 50 XG 3759,LR25071100049,Kannan M,Om Logistics,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-07-13,2025-07-13,13,Delivered,Delivered dispatch for SO202606300049 to Hosur.
50,DSP202507120050,50,7,2025-07-12,Finished Goods Warehouse - Export Hold,Road,MH 57 YH 4550,LR25071200050,Suresh Kumar,VRL Logistics,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-07-15,2025-07-16,10,Delivered,Delivered dispatch for SO202606300050 to Bengaluru.
51,DSP202507150051,51,1,2025-07-15,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 64 ZI 5341,LR25071500051,Manoj Yadav,TCI Freight,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-07-17,2025-07-16,11,Delivered,Delivered dispatch for SO202606300051 to Hosur.
52,DSP202507160052,52,7,2025-07-16,Finished Goods Warehouse - EV Motor Zone,Road,HR 71 AJ 6132,LR25071600052,Arun Prakash,Delhivery Heavy Goods,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-07-19,2025-07-19,8,Delivered,Delivered dispatch for SO202606300052 to Bengaluru.
53,DSP202507180053,53,2,2025-07-18,Finished Goods Warehouse - Premium Motor Aisle,Courier,COURIER-00053,LR25071800053,,Blue Dart Cargo,"Ola Electric, EV Motor Receiving Dock, Krishnagiri, Tamil Nadu",Krishnagiri,Tamil Nadu,2025-07-20,2025-07-21,1,Delivered,Delivered dispatch for SO202606300053 to Krishnagiri.
54,DSP202507190054,54,11,2025-07-19,Finished Goods Warehouse - Export Hold,Rail,TS 85 CL 7714,LR25071900054,Ravi Kumar,Mahindra Logistics,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-07-28,2025-07-27,12,Delivered,Delivered dispatch for SO202606300054 to Haridwar.
55,DSP202507210055,55,11,2025-07-21,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 92 DM 8505,LR25072100055,Imran Khan,Gati KWE,"Mahindra Last Mile Mobility, EV Motor Receiving Dock, Haridwar, Uttarakhand",Haridwar,Uttarakhand,2025-07-30,2025-07-30,13,Delivered,Delivered dispatch for SO202606300055 to Haridwar.
56,DSP202507260056,56,14,2025-07-26,Finished Goods Warehouse - EV Motor Zone,Road,TN 01 EN 9296,LR25072600056,Prakash Reddy,Rivigo Services,"Euler Motors, EV Motor Receiving Dock, New Delhi, Delhi",New Delhi,Delhi,2025-08-03,2025-08-04,10,Delivered,Delivered dispatch for SO202606300056 to New Delhi.
57,DSP202508010057,57,4,2025-08-01,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 08 FO 1087,LR25080100057,Sanjay Patil,Safexpress,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-06,2025-08-05,11,Delivered,Delivered dispatch for SO202606300057 to Pune.
58,DSP202508020058,58,6,2025-08-02,Finished Goods Warehouse - Export Hold,Road,MH 15 GP 1878,LR25080200058,Dinesh Sharma,Agarwal Packers Logistics,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-08-04,2025-08-04,8,Delivered,Delivered dispatch for SO202606300058 to Ranipet.
59,DSP202508050059,59,23,2025-08-05,Finished Goods Warehouse - Dispatch Ready Bay,Courier,COURIER-00059,LR25080500059,,Om Logistics,"Larsen & Toubro, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-08-07,2025-08-08,1,Delivered,Delivered dispatch for SO202606300059 to Chennai.
60,DSP202507260060,60,20,2025-07-26,Finished Goods Warehouse - EV Motor Zone,Customer Pickup,PICKUP-00060,CPU000060,Suresh Kumar,Customer Pickup,"Montra Electric, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-07-28,2025-07-27,12,Delivered,Delivered dispatch for SO202606300060 to Chennai.
61,DSP202507280061,61,3,2025-07-28,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 36 JS 4251,LR25072800061,Manoj Yadav,TCI Freight,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-07-30,2025-07-30,13,Delivered,Delivered dispatch for SO202606300061 to Hosur.
62,DSP202507290062,62,7,2025-07-29,Finished Goods Warehouse - Export Hold,Road,TS 43 KT 5042,LR25072900062,Arun Prakash,Delhivery Heavy Goods,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-01,2025-08-02,10,Delivered,Delivered dispatch for SO202606300062 to Bengaluru.
63,DSP202507310063,63,16,2025-07-31,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 50 LU 5833,LR25073100063,Naveen Singh,Blue Dart Cargo,"Kinetic Green, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-05,2025-08-04,11,Delivered,Delivered dispatch for SO202606300063 to Pune.
64,DSP202508010064,64,17,2025-08-01,Finished Goods Warehouse - EV Motor Zone,Road,TN 57 MV 6624,LR25080100064,Ravi Kumar,Mahindra Logistics,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-04,2025-08-04,8,Delivered,Delivered dispatch for SO202606300064 to Bengaluru.
65,DSP202508030065,65,6,2025-08-03,Finished Goods Warehouse - Premium Motor Aisle,Road,KA 64 NW 7415,LR25080300065,Imran Khan,Gati KWE,"Greaves Electric Mobility, EV Motor Receiving Dock, Ranipet, Tamil Nadu",Ranipet,Tamil Nadu,2025-08-05,2025-08-06,1,Delivered,Delivered dispatch for SO202606300065 to Ranipet.
66,DSP202508040066,66,17,2025-08-04,Finished Goods Warehouse - Export Hold,Courier,COURIER-00066,LR25080400066,,Rivigo Services,"Altigreen, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-07,2025-08-06,12,Delivered,Delivered dispatch for SO202606300066 to Bengaluru.
67,DSP202508070067,67,15,2025-08-07,Finished Goods Warehouse - Dispatch Ready Bay,Customer Pickup,PICKUP-00067,CPU000067,Sanjay Patil,Customer Pickup,"YC Electric, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-08-15,2025-08-15,13,Delivered,Delivered dispatch for SO202606300067 to Delhi.
68,DSP202508090068,68,3,2025-08-09,Finished Goods Warehouse - EV Motor Zone,Road,HR 85 QZ 9788,LR25080900068,Dinesh Sharma,Agarwal Packers Logistics,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-08-11,2025-08-12,10,Delivered,Delivered dispatch for SO202606300068 to Hosur.
69,DSP202508100069,69,9,2025-08-10,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 92 RA 1579,LR25081000069,Kannan M,Om Logistics,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-13,2025-08-12,11,Delivered,Delivered dispatch for SO202606300069 to Bengaluru.
70,DSP202508120070,70,4,2025-08-12,Finished Goods Warehouse - Export Hold,Road,TS 01 SB 2370,LR25081200070,Suresh Kumar,VRL Logistics,"Bajaj Auto, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-17,2025-08-17,8,Delivered,Delivered dispatch for SO202606300070 to Pune.
71,DSP202508140071,71,19,2025-08-14,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 08 TC 3161,LR25081400071,Manoj Yadav,TCI Freight,"Tata Motors, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-19,2025-08-20,1,Delivered,Delivered dispatch for SO202606300071 to Pune.
72,DSP202508040072,72,1,2025-08-04,Finished Goods Warehouse - EV Motor Zone,Road,TN 15 UD 3952,LR25080400072,Arun Prakash,Delhivery Heavy Goods,"Ather Energy, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-08-06,2025-08-05,12,Delivered,Delivered dispatch for SO202606300072 to Hosur.
73,DSP202508050073,73,9,2025-08-05,Finished Goods Warehouse - Premium Motor Aisle,Courier,COURIER-00073,LR25080500073,,Blue Dart Cargo,"Simple Energy, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-08,2025-08-08,13,Delivered,Delivered dispatch for SO202606300073 to Bengaluru.
74,DSP202508060074,74,21,2025-08-06,Finished Goods Warehouse - Export Hold,Rail,MH 29 WF 5534,LR25080600074,Ravi Kumar,Mahindra Logistics,"EKA Mobility, EV Motor Receiving Dock, Pune, Maharashtra",Pune,Maharashtra,2025-08-11,2025-08-12,10,Delivered,Delivered dispatch for SO202606300074 to Pune.
75,DSP202508070075,75,22,2025-08-07,Finished Goods Warehouse - Dispatch Ready Bay,Road,GJ 36 XG 6325,LR25080700075,Imran Khan,Gati KWE,"Switch Mobility, EV Motor Receiving Dock, Chennai, Tamil Nadu",Chennai,Tamil Nadu,2025-08-09,2025-08-08,11,Delivered,Delivered dispatch for SO202606300075 to Chennai.
76,DSP202508090076,76,13,2025-08-09,Finished Goods Warehouse - EV Motor Zone,Road,HR 43 YH 7116,LR25080900076,Prakash Reddy,Rivigo Services,"Omega Seiki, EV Motor Receiving Dock, Delhi, Delhi",Delhi,Delhi,2025-08-17,2025-08-17,8,Delivered,Delivered dispatch for SO202606300076 to Delhi.
77,DSP202508130077,77,7,2025-08-13,Finished Goods Warehouse - Premium Motor Aisle,Road,DL 50 ZI 7907,LR25081300077,Sanjay Patil,Safexpress,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-16,2025-08-17,1,Delivered,Delivered dispatch for SO202606300077 to Bengaluru.
78,DSP202508150078,78,3,2025-08-15,Finished Goods Warehouse - Export Hold,Road,TS 57 AJ 8698,LR25081500078,Dinesh Sharma,Agarwal Packers Logistics,"TVS Motor Company, EV Motor Receiving Dock, Hosur, Tamil Nadu",Hosur,Tamil Nadu,2025-08-17,2025-08-16,12,Delivered,Delivered dispatch for SO202606300078 to Hosur.
79,DSP202508170079,79,7,2025-08-17,Finished Goods Warehouse - Dispatch Ready Bay,Road,RJ 64 BK 9489,LR25081700079,Kannan M,Om Logistics,"River, EV Motor Receiving Dock, Bengaluru, Karnataka",Bengaluru,Karnataka,2025-08-20,2025-08-20,13,Delivered,Delivered dispatch for SO202606300079 to Bengaluru.
