dispatch_item_id,dispatch_id,co_item_id,item_id,item_description,uom,ordered_quantity,dispatched_quantity,unit_price,line_amount,batch_no,serial_no,remarks
21,21,21,100,BLDC Motor 1.5 kW,No,60,4,21830,87320,FG-FG001-2505-0021,SN-FG001-00021-00024,Delivered 4 No of BLDC Motor 1.5 kW.
22,22,22,101,PMSM Motor 3 kW,No,22,5,43617.5,218087.5,FG-FG002-2505-0022,SN-FG002-00022-00026,Delivered 5 No of PMSM Motor 3 kW.
23,23,23,100,BLDC Motor 1.5 kW,No,53,6,22385,134310,FG-FG001-2505-0023,SN-FG001-00023-00028,Delivered 6 No of BLDC Motor 1.5 kW.
24,24,24,100,BLDC Motor 1.5 kW,No,77,1,22662.5,22662.5,FG-FG001-2505-0024,SN-FG001-00024,Delivered 1 No of BLDC Motor 1.5 kW.
25,25,25,100,BLDC Motor 1.5 kW,No,56,2,22940,45880,FG-FG001-2505-0025,SN-FG001-00025-00026,Delivered 2 No of BLDC Motor 1.5 kW.
26,26,26,101,PMSM Motor 3 kW,No,29,3,45807.5,137422.5,FG-FG002-2505-0026,SN-FG002-00026-00028,Delivered 3 No of PMSM Motor 3 kW.
27,27,27,100,BLDC Motor 1.5 kW,No,47,4,23495,93980,FG-FG001-2505-0027,SN-FG001-00027-00030,Delivered 4 No of BLDC Motor 1.5 kW.
28,28,28,100,BLDC Motor 1.5 kW,No,53,5,21830,109150,FG-FG001-2505-0028,SN-FG001-00028-00032,Delivered 5 No of BLDC Motor 1.5 kW.
29,29,29,100,BLDC Motor 1.5 kW,No,44,6,22107.5,132645,FG-FG001-2505-0029,SN-FG001-00029-00034,Delivered 6 No of BLDC Motor 1.5 kW.
30,30,30,100,BLDC Motor 1.5 kW,No,54,1,22385,22385,FG-FG001-2506-0030,SN-FG001-00030,Delivered 1 No of BLDC Motor 1.5 kW.
31,31,31,101,PMSM Motor 3 kW,No,39,2,44712.5,89425,FG-FG002-2506-0031,SN-FG002-00031-00032,Delivered 2 No of PMSM Motor 3 kW.
32,32,32,100,BLDC Motor 1.5 kW,No,55,3,22940,68820,FG-FG001-2506-0032,SN-FG001-00032-00034,Delivered 3 No of BLDC Motor 1.5 kW.
33,33,33,100,BLDC Motor 1.5 kW,No,21,4,23217.5,92870,FG-FG001-2506-0033,SN-FG001-00033-00036,Delivered 4 No of BLDC Motor 1.5 kW.
34,34,34,101,PMSM Motor 3 kW,No,36,5,46355,231775,FG-FG002-2506-0034,SN-FG002-00034-00038,Delivered 5 No of PMSM Motor 3 kW.
35,35,35,102,PMSM Motor 7.5 kW,No,17,6,96760,580560,FG-FG003-2506-0035,SN-FG003-00035-00040,Delivered 6 No of PMSM Motor 7.5 kW.
36,36,36,100,BLDC Motor 1.5 kW,No,49,1,22107.5,22107.5,FG-FG001-2506-0036,SN-FG001-00036,Delivered 1 No of BLDC Motor 1.5 kW.
37,37,37,101,PMSM Motor 3 kW,No,11,2,44165,88330,FG-FG002-2506-0037,SN-FG002-00037-00038,Delivered 2 No of PMSM Motor 3 kW.
38,38,38,100,BLDC Motor 1.5 kW,No,34,3,22662.5,67987.5,FG-FG001-2506-0038,SN-FG001-00038-00040,Delivered 3 No of BLDC Motor 1.5 kW.
39,39,39,101,PMSM Motor 3 kW,No,36,4,45260,181040,FG-FG002-2506-0039,SN-FG002-00039-00042,Delivered 4 No of PMSM Motor 3 kW.
40,40,40,100,BLDC Motor 1.5 kW,No,41,5,23217.5,116087.5,FG-FG001-2506-0040,SN-FG001-00040-00044,Delivered 5 No of BLDC Motor 1.5 kW.
41,41,41,100,BLDC Motor 1.5 kW,No,74,6,23495,140970,FG-FG001-2506-0041,SN-FG001-00041-00046,Delivered 6 No of BLDC Motor 1.5 kW.
42,42,42,100,BLDC Motor 1.5 kW,No,21,1,21830,21830,FG-FG001-2507-0042,SN-FG001-00042,Delivered 1 No of BLDC Motor 1.5 kW.
43,43,43,100,BLDC Motor 1.5 kW,No,80,2,22107.5,44215,FG-FG001-2507-0043,SN-FG001-00043-00044,Delivered 2 No of BLDC Motor 1.5 kW.
44,44,44,102,PMSM Motor 7.5 kW,No,13,3,99220,297660,FG-FG003-2507-0044,SN-FG003-00044-00046,Delivered 3 No of PMSM Motor 7.5 kW.
45,45,45,101,PMSM Motor 3 kW,No,13,4,44712.5,178850,FG-FG002-2507-0045,SN-FG002-00045-00048,Delivered 4 No of PMSM Motor 3 kW.
46,46,46,100,BLDC Motor 1.5 kW,No,47,5,22940,114700,FG-FG001-2507-0046,SN-FG001-00046-00050,Delivered 5 No of BLDC Motor 1.5 kW.
47,47,47,100,BLDC Motor 1.5 kW,No,80,6,23217.5,139305,FG-FG001-2507-0047,SN-FG001-00047-00052,Delivered 6 No of BLDC Motor 1.5 kW.
48,48,48,101,PMSM Motor 3 kW,No,37,1,46355,46355,FG-FG002-2507-0048,SN-FG002-00048,Delivered 1 No of PMSM Motor 3 kW.
49,49,49,100,BLDC Motor 1.5 kW,No,25,2,21830,43660,FG-FG001-2507-0049,SN-FG001-00049-00050,Delivered 2 No of BLDC Motor 1.5 kW.
50,50,50,100,BLDC Motor 1.5 kW,No,32,3,22107.5,66322.5,FG-FG001-2507-0050,SN-FG001-00050-00052,Delivered 3 No of BLDC Motor 1.5 kW.
51,51,51,100,BLDC Motor 1.5 kW,No,22,4,22385,89540,FG-FG001-2507-0051,SN-FG001-00051-00054,Delivered 4 No of BLDC Motor 1.5 kW.
52,52,52,100,BLDC Motor 1.5 kW,No,25,5,22662.5,113312.5,FG-FG001-2507-0052,SN-FG001-00052-00056,Delivered 5 No of BLDC Motor 1.5 kW.
53,53,53,100,BLDC Motor 1.5 kW,No,64,6,22940,137640,FG-FG001-2507-0053,SN-FG001-00053-00058,Delivered 6 No of BLDC Motor 1.5 kW.
54,54,54,101,PMSM Motor 3 kW,No,18,1,45807.5,45807.5,FG-FG002-2507-0054,SN-FG002-00054,Delivered 1 No of PMSM Motor 3 kW.
55,55,55,101,PMSM Motor 3 kW,No,17,2,46355,92710,FG-FG002-2507-0055,SN-FG002-00055-00056,Delivered 2 No of PMSM Motor 3 kW.
56,56,56,101,PMSM Motor 3 kW,No,20,3,43070,129210,FG-FG002-2507-0056,SN-FG002-00056-00058,Delivered 3 No of PMSM Motor 3 kW.
57,57,57,100,BLDC Motor 1.5 kW,No,67,4,22107.5,88430,FG-FG001-2508-0057,SN-FG001-00057-00060,Delivered 4 No of BLDC Motor 1.5 kW.
58,58,58,100,BLDC Motor 1.5 kW,No,33,5,22385,111925,FG-FG001-2508-0058,SN-FG001-00058-00062,Delivered 5 No of BLDC Motor 1.5 kW.
59,59,59,101,PMSM Motor 3 kW,No,6,6,44712.5,268275,FG-FG002-2508-0059,SN-FG002-00059-00064,Delivered 6 No of PMSM Motor 3 kW.
60,60,60,102,PMSM Motor 7.5 kW,No,6,1,101680,101680,FG-FG003-2507-0060,SN-FG003-00060,Delivered 1 No of PMSM Motor 7.5 kW.
61,61,61,100,BLDC Motor 1.5 kW,No,46,2,23217.5,46435,FG-FG001-2507-0061,SN-FG001-00061-00062,Delivered 2 No of BLDC Motor 1.5 kW.
62,62,62,100,BLDC Motor 1.5 kW,No,58,3,23495,70485,FG-FG001-2507-0062,SN-FG001-00062-00064,Delivered 3 No of BLDC Motor 1.5 kW.
63,63,63,101,PMSM Motor 3 kW,No,12,4,43070,172280,FG-FG002-2507-0063,SN-FG002-00063-00066,Delivered 4 No of PMSM Motor 3 kW.
64,64,64,101,PMSM Motor 3 kW,No,39,5,43617.5,218087.5,FG-FG002-2508-0064,SN-FG002-00064-00068,Delivered 5 No of PMSM Motor 3 kW.
65,65,65,100,BLDC Motor 1.5 kW,No,70,6,22385,134310,FG-FG001-2508-0065,SN-FG001-00065-00070,Delivered 6 No of BLDC Motor 1.5 kW.
66,66,66,101,PMSM Motor 3 kW,No,16,1,44712.5,44712.5,FG-FG002-2508-0066,SN-FG002-00066,Delivered 1 No of PMSM Motor 3 kW.
67,67,67,101,PMSM Motor 3 kW,No,26,2,45260,90520,FG-FG002-2508-0067,SN-FG002-00067-00068,Delivered 2 No of PMSM Motor 3 kW.
68,68,68,100,BLDC Motor 1.5 kW,No,51,3,23217.5,69652.5,FG-FG001-2508-0068,SN-FG001-00068-00070,Delivered 3 No of BLDC Motor 1.5 kW.
69,69,69,100,BLDC Motor 1.5 kW,No,56,4,23495,93980,FG-FG001-2508-0069,SN-FG001-00069-00072,Delivered 4 No of BLDC Motor 1.5 kW.
70,70,70,100,BLDC Motor 1.5 kW,No,77,5,21830,109150,FG-FG001-2508-0070,SN-FG001-00070-00074,Delivered 5 No of BLDC Motor 1.5 kW.
71,71,71,102,PMSM Motor 7.5 kW,No,9,6,97990,587940,FG-FG003-2508-0071,SN-FG003-00071-00076,Delivered 6 No of PMSM Motor 7.5 kW.
72,72,72,100,BLDC Motor 1.5 kW,No,28,1,22385,22385,FG-FG001-2508-0072,SN-FG001-00072,Delivered 1 No of BLDC Motor 1.5 kW.
73,73,73,100,BLDC Motor 1.5 kW,No,56,2,22662.5,45325,FG-FG001-2508-0073,SN-FG001-00073-00074,Delivered 2 No of BLDC Motor 1.5 kW.
74,74,74,102,PMSM Motor 7.5 kW,No,19,3,101680,305040,FG-FG003-2508-0074,SN-FG003-00074-00076,Delivered 3 No of PMSM Motor 7.5 kW.
75,75,75,102,PMSM Motor 7.5 kW,No,17,4,102910,411640,FG-FG003-2508-0075,SN-FG003-00075-00078,Delivered 4 No of PMSM Motor 7.5 kW.
76,76,76,101,PMSM Motor 3 kW,No,28,5,46355,231775,FG-FG002-2508-0076,SN-FG002-00076-00080,Delivered 5 No of PMSM Motor 3 kW.
77,77,77,100,BLDC Motor 1.5 kW,No,27,6,21830,130980,FG-FG001-2508-0077,SN-FG001-00077-00082,Delivered 6 No of BLDC Motor 1.5 kW.
78,78,78,100,BLDC Motor 1.5 kW,No,44,1,22107.5,22107.5,FG-FG001-2508-0078,SN-FG001-00078,Delivered 1 No of BLDC Motor 1.5 kW.
79,79,79,100,BLDC Motor 1.5 kW,No,62,2,22385,44770,FG-FG001-2508-0079,SN-FG001-00079-00080,Delivered 2 No of BLDC Motor 1.5 kW.
80,80,80,101,PMSM Motor 3 kW,No,37,3,44712.5,134137.5,FG-FG002-2508-0080,SN-FG002-00080-00082,Delivered 3 No of PMSM Motor 3 kW.
81,81,81,100,BLDC Motor 1.5 kW,No,37,4,22940,91760,FG-FG001-2508-0081,SN-FG001-00081-00084,Delivered 4 No of BLDC Motor 1.5 kW.
82,82,82,100,BLDC Motor 1.5 kW,No,42,5,23217.5,116087.5,FG-FG001-2508-0082,SN-FG001-00082-00086,Delivered 5 No of BLDC Motor 1.5 kW.
83,83,83,101,PMSM Motor 3 kW,No,22,6,46355,278130,FG-FG002-2508-0083,SN-FG002-00083-00088,Delivered 6 No of PMSM Motor 3 kW.
84,84,84,100,BLDC Motor 1.5 kW,No,52,1,21830,21830,FG-FG001-2508-0084,SN-FG001-00084,Delivered 1 No of BLDC Motor 1.5 kW.
85,85,85,100,BLDC Motor 1.5 kW,No,23,2,22107.5,44215,FG-FG001-2508-0085,SN-FG001-00085-00086,Delivered 2 No of BLDC Motor 1.5 kW.
86,86,86,101,PMSM Motor 3 kW,No,22,3,44165,132495,FG-FG002-2508-0086,SN-FG002-00086-00088,Delivered 3 No of PMSM Motor 3 kW.
87,87,87,100,BLDC Motor 1.5 kW,No,46,4,22662.5,90650,FG-FG001-2508-0087,SN-FG001-00087-00090,Delivered 4 No of BLDC Motor 1.5 kW.
88,88,88,101,PMSM Motor 3 kW,No,14,5,45260,226300,FG-FG002-2508-0088,SN-FG002-00088-00092,Delivered 5 No of PMSM Motor 3 kW.
89,89,89,101,PMSM Motor 3 kW,No,20,6,45807.5,274845,FG-FG002-2508-0089,SN-FG002-00089-00094,Delivered 6 No of PMSM Motor 3 kW.
90,90,90,100,BLDC Motor 1.5 kW,No,54,1,23495,23495,FG-FG001-2508-0090,SN-FG001-00090,Delivered 1 No of BLDC Motor 1.5 kW.
91,91,91,100,BLDC Motor 1.5 kW,No,42,2,21830,43660,FG-FG001-2508-0091,SN-FG001-00091-00092,Delivered 2 No of BLDC Motor 1.5 kW.
92,92,92,100,BLDC Motor 1.5 kW,No,45,3,22107.5,66322.5,FG-FG001-2509-0092,SN-FG001-00092-00094,Delivered 3 No of BLDC Motor 1.5 kW.
93,93,93,102,PMSM Motor 7.5 kW,No,18,4,99220,396880,FG-FG003-2509-0093,SN-FG003-00093-00096,Delivered 4 No of PMSM Motor 7.5 kW.
94,94,94,101,PMSM Motor 3 kW,No,28,5,44712.5,223562.5,FG-FG002-2509-0094,SN-FG002-00094-00098,Delivered 5 No of PMSM Motor 3 kW.
95,95,95,100,BLDC Motor 1.5 kW,No,76,6,22940,137640,FG-FG001-2509-0095,SN-FG001-00095-00100,Delivered 6 No of BLDC Motor 1.5 kW.
96,96,96,100,BLDC Motor 1.5 kW,No,79,1,23217.5,23217.5,FG-FG001-2508-0096,SN-FG001-00096,Delivered 1 No of BLDC Motor 1.5 kW.
97,97,97,100,BLDC Motor 1.5 kW,No,74,2,23495,46990,FG-FG001-2509-0097,SN-FG001-00097-00098,Delivered 2 No of BLDC Motor 1.5 kW.
98,98,98,101,PMSM Motor 3 kW,No,29,3,43070,129210,FG-FG002-2509-0098,SN-FG002-00098-00100,Delivered 3 No of PMSM Motor 3 kW.
99,99,99,100,BLDC Motor 1.5 kW,No,37,4,22107.5,88430,FG-FG001-2509-0099,SN-FG001-00099-00102,Delivered 4 No of BLDC Motor 1.5 kW.
100,100,100,102,PMSM Motor 7.5 kW,No,6,5,99220,496100,FG-FG003-2509-0100,SN-FG003-00100-00104,Delivered 5 No of PMSM Motor 7.5 kW.
101,101,101,100,BLDC Motor 1.5 kW,No,36,6,22662.5,135975,FG-FG001-2509-0101,SN-FG001-00101-00106,Delivered 6 No of BLDC Motor 1.5 kW.
102,102,102,100,BLDC Motor 1.5 kW,No,66,1,22940,22940,FG-FG001-2509-0102,SN-FG001-00102,Delivered 1 No of BLDC Motor 1.5 kW.
103,103,103,101,PMSM Motor 3 kW,No,40,2,45807.5,91615,FG-FG002-2509-0103,SN-FG002-00103-00104,Delivered 2 No of PMSM Motor 3 kW.
104,104,104,101,PMSM Motor 3 kW,No,17,3,46355,139065,FG-FG002-2509-0104,SN-FG002-00104-00106,Delivered 3 No of PMSM Motor 3 kW.
105,105,105,100,BLDC Motor 1.5 kW,No,24,4,21830,87320,FG-FG001-2509-0105,SN-FG001-00105-00108,Delivered 4 No of BLDC Motor 1.5 kW.
106,106,106,101,PMSM Motor 3 kW,No,36,5,43617.5,218087.5,FG-FG002-2509-0106,SN-FG002-00106-00110,Delivered 5 No of PMSM Motor 3 kW.
107,107,107,100,BLDC Motor 1.5 kW,No,22,6,22385,134310,FG-FG001-2509-0107,SN-FG001-00107-00112,Delivered 6 No of BLDC Motor 1.5 kW.
108,108,108,100,BLDC Motor 1.5 kW,No,75,1,22662.5,22662.5,FG-FG001-2509-0108,SN-FG001-00108,Delivered 1 No of BLDC Motor 1.5 kW.
109,109,109,100,BLDC Motor 1.5 kW,No,23,2,22940,45880,FG-FG001-2509-0109,SN-FG001-00109-00110,Delivered 2 No of BLDC Motor 1.5 kW.
110,110,110,100,BLDC Motor 1.5 kW,No,63,3,23217.5,69652.5,FG-FG001-2509-0110,SN-FG001-00110-00112,Delivered 3 No of BLDC Motor 1.5 kW.
111,111,111,100,BLDC Motor 1.5 kW,No,80,4,23495,93980,FG-FG001-2509-0111,SN-FG001-00111-00114,Delivered 4 No of BLDC Motor 1.5 kW.
112,112,112,102,PMSM Motor 7.5 kW,No,17,5,96760,483800,FG-FG003-2509-0112,SN-FG003-00112-00116,Delivered 5 No of PMSM Motor 7.5 kW.
113,113,113,100,BLDC Motor 1.5 kW,No,47,6,22107.5,132645,FG-FG001-2509-0113,SN-FG001-00113-00118,Delivered 6 No of BLDC Motor 1.5 kW.
114,114,114,101,PMSM Motor 3 kW,No,24,1,44165,44165,FG-FG002-2509-0114,SN-FG002-00114,Delivered 1 No of PMSM Motor 3 kW.
115,115,115,101,PMSM Motor 3 kW,No,35,2,44712.5,89425,FG-FG002-2509-0115,SN-FG002-00115-00116,Delivered 2 No of PMSM Motor 3 kW.
116,116,116,100,BLDC Motor 1.5 kW,No,54,3,22940,68820,FG-FG001-2509-0116,SN-FG001-00116-00118,Delivered 3 No of BLDC Motor 1.5 kW.
117,117,117,100,BLDC Motor 1.5 kW,No,29,4,23217.5,92870,FG-FG001-2509-0117,SN-FG001-00117-00120,Delivered 4 No of BLDC Motor 1.5 kW.
118,118,118,101,PMSM Motor 3 kW,No,29,5,46355,231775,FG-FG002-2509-0118,SN-FG002-00118-00122,Delivered 5 No of PMSM Motor 3 kW.
119,119,119,100,BLDC Motor 1.5 kW,No,43,6,21830,130980,FG-FG001-2510-0119,SN-FG001-00119-00124,Delivered 6 No of BLDC Motor 1.5 kW.
120,120,120,100,BLDC Motor 1.5 kW,No,66,1,22107.5,22107.5,FG-FG001-2509-0120,SN-FG001-00120,Delivered 1 No of BLDC Motor 1.5 kW.
121,121,121,102,PMSM Motor 7.5 kW,No,6,2,99220,198440,FG-FG003-2509-0121,SN-FG003-00121-00122,Delivered 2 No of PMSM Motor 7.5 kW.
122,122,122,101,PMSM Motor 3 kW,No,37,3,44712.5,134137.5,FG-FG002-2509-0122,SN-FG002-00122-00124,Delivered 3 No of PMSM Motor 3 kW.
123,123,123,101,PMSM Motor 3 kW,No,37,4,45260,181040,FG-FG002-2509-0123,SN-FG002-00123-00126,Delivered 4 No of PMSM Motor 3 kW.
124,124,124,100,BLDC Motor 1.5 kW,No,71,5,23217.5,116087.5,FG-FG001-2509-0124,SN-FG001-00124-00128,Delivered 5 No of BLDC Motor 1.5 kW.
125,125,125,101,PMSM Motor 3 kW,No,23,6,46355,278130,FG-FG002-2509-0125,SN-FG002-00125-00130,Delivered 6 No of PMSM Motor 3 kW.
126,126,126,101,PMSM Motor 3 kW,No,26,1,43070,43070,FG-FG002-2509-0126,SN-FG002-00126,Delivered 1 No of PMSM Motor 3 kW.
127,127,127,101,PMSM Motor 3 kW,No,39,2,43617.5,87235,FG-FG002-2510-0127,SN-FG002-00127-00128,Delivered 2 No of PMSM Motor 3 kW.
128,128,128,100,BLDC Motor 1.5 kW,No,10,3,22385,67155,FG-FG001-2510-0128,SN-FG001-00128-00130,Delivered 3 No of BLDC Motor 1.5 kW.
129,129,129,100,BLDC Motor 1.5 kW,No,76,4,22662.5,90650,FG-FG001-2510-0129,SN-FG001-00129-00132,Delivered 4 No of BLDC Motor 1.5 kW.
130,130,130,100,BLDC Motor 1.5 kW,No,39,5,22940,114700,FG-FG001-2510-0130,SN-FG001-00130-00134,Delivered 5 No of BLDC Motor 1.5 kW.
131,131,131,100,BLDC Motor 1.5 kW,No,28,6,23217.5,139305,FG-FG001-2510-0131,SN-FG001-00131-00136,Delivered 6 No of BLDC Motor 1.5 kW.
132,132,132,100,BLDC Motor 1.5 kW,No,72,1,23495,23495,FG-FG001-2509-0132,SN-FG001-00132,Delivered 1 No of BLDC Motor 1.5 kW.
133,133,133,101,PMSM Motor 3 kW,No,21,2,43070,86140,FG-FG002-2510-0133,SN-FG002-00133-00134,Delivered 2 No of PMSM Motor 3 kW.
134,134,134,100,BLDC Motor 1.5 kW,No,56,3,22107.5,66322.5,FG-FG001-2510-0134,SN-FG001-00134-00136,Delivered 3 No of BLDC Motor 1.5 kW.
135,135,135,101,PMSM Motor 3 kW,No,22,4,44165,176660,FG-FG002-2510-0135,SN-FG002-00135-00138,Delivered 4 No of PMSM Motor 3 kW.
136,136,136,101,PMSM Motor 3 kW,No,13,5,44712.5,223562.5,FG-FG002-2510-0136,SN-FG002-00136-00140,Delivered 5 No of PMSM Motor 3 kW.
137,137,137,100,BLDC Motor 1.5 kW,No,27,6,22940,137640,FG-FG001-2510-0137,SN-FG001-00137-00142,Delivered 6 No of BLDC Motor 1.5 kW.
138,138,138,102,PMSM Motor 7.5 kW,No,12,1,102910,102910,FG-FG003-2510-0138,SN-FG003-00138,Delivered 1 No of PMSM Motor 7.5 kW.
139,139,139,101,PMSM Motor 3 kW,No,14,2,46355,92710,FG-FG002-2510-0139,SN-FG002-00139-00140,Delivered 2 No of PMSM Motor 3 kW.
140,140,140,101,PMSM Motor 3 kW,No,21,3,43070,129210,FG-FG002-2510-0140,SN-FG002-00140-00142,Delivered 3 No of PMSM Motor 3 kW.
141,141,141,100,BLDC Motor 1.5 kW,No,42,4,22107.5,88430,FG-FG001-2510-0141,SN-FG001-00141-00144,Delivered 4 No of BLDC Motor 1.5 kW.
142,142,142,101,PMSM Motor 3 kW,No,11,5,44165,220825,FG-FG002-2510-0142,SN-FG002-00142-00146,Delivered 5 No of PMSM Motor 3 kW.
143,143,143,101,PMSM Motor 3 kW,No,21,6,44712.5,268275,FG-FG002-2510-0143,SN-FG002-00143-00148,Delivered 6 No of PMSM Motor 3 kW.
144,144,144,100,BLDC Motor 1.5 kW,No,52,1,22940,22940,FG-FG001-2510-0144,SN-FG001-00144,Delivered 1 No of BLDC Motor 1.5 kW.
145,145,145,102,PMSM Motor 7.5 kW,No,5,1,102910,102910,FG-FG003-2510-0145,SN-FG003-00145,Delivered 1 No of PMSM Motor 7.5 kW.
146,146,146,100,BLDC Motor 1.5 kW,No,45,3,23495,70485,FG-FG001-2510-0146,SN-FG001-00146-00148,Delivered 3 No of BLDC Motor 1.5 kW.
147,147,147,100,BLDC Motor 1.5 kW,No,69,4,21830,87320,FG-FG001-2510-0147,SN-FG001-00147-00150,Delivered 4 No of BLDC Motor 1.5 kW.
148,148,148,100,BLDC Motor 1.5 kW,No,38,5,22107.5,110537.5,FG-FG001-2510-0148,SN-FG001-00148-00152,Delivered 5 No of BLDC Motor 1.5 kW.
149,149,149,100,BLDC Motor 1.5 kW,No,25,6,22385,134310,FG-FG001-2510-0149,SN-FG001-00149-00154,Delivered 6 No of BLDC Motor 1.5 kW.
150,150,150,100,BLDC Motor 1.5 kW,No,32,1,22662.5,22662.5,FG-FG001-2510-0150,SN-FG001-00150,Delivered 1 No of BLDC Motor 1.5 kW.
151,151,151,100,BLDC Motor 1.5 kW,No,73,2,22940,45880,FG-FG001-2510-0151,SN-FG001-00151-00152,Delivered 2 No of BLDC Motor 1.5 kW.
152,152,152,100,BLDC Motor 1.5 kW,No,36,3,23217.5,69652.5,FG-FG001-2511-0152,SN-FG001-00152-00154,Delivered 3 No of BLDC Motor 1.5 kW.
153,153,153,100,BLDC Motor 1.5 kW,No,53,4,23495,93980,FG-FG001-2511-0153,SN-FG001-00153-00156,Delivered 4 No of BLDC Motor 1.5 kW.
154,154,154,101,PMSM Motor 3 kW,No,33,5,43070,215350,FG-FG002-2511-0154,SN-FG002-00154-00158,Delivered 5 No of PMSM Motor 3 kW.
155,155,155,100,BLDC Motor 1.5 kW,No,55,6,22107.5,132645,FG-FG001-2511-0155,SN-FG001-00155-00160,Delivered 6 No of BLDC Motor 1.5 kW.
156,156,156,101,PMSM Motor 3 kW,No,36,1,44165,44165,FG-FG002-2510-0156,SN-FG002-00156,Delivered 1 No of PMSM Motor 3 kW.
157,157,157,100,BLDC Motor 1.5 kW,No,39,2,22662.5,45325,FG-FG001-2511-0157,SN-FG001-00157-00158,Delivered 2 No of BLDC Motor 1.5 kW.
158,158,158,100,BLDC Motor 1.5 kW,No,78,3,22940,68820,FG-FG001-2511-0158,SN-FG001-00158-00160,Delivered 3 No of BLDC Motor 1.5 kW.
159,159,159,100,BLDC Motor 1.5 kW,No,52,4,23217.5,92870,FG-FG001-2511-0159,SN-FG001-00159-00162,Delivered 4 No of BLDC Motor 1.5 kW.
160,160,160,100,BLDC Motor 1.5 kW,No,69,5,23495,117475,FG-FG001-2511-0160,SN-FG001-00160-00164,Delivered 5 No of BLDC Motor 1.5 kW.
161,161,161,101,PMSM Motor 3 kW,No,25,6,43070,258420,FG-FG002-2511-0161,SN-FG002-00161-00166,Delivered 6 No of PMSM Motor 3 kW.
162,162,162,101,PMSM Motor 3 kW,No,14,1,43617.5,43617.5,FG-FG002-2511-0162,SN-FG002-00162,Delivered 1 No of PMSM Motor 3 kW.
