po_item_id,po_id,pr_item_id,item_id,ordered_quantity,uom,unit_price,line_subtotal,tax_rate,tax_amount,discount_amount,line_total,expected_delivery_date,received_quantity,pending_quantity,line_status,remarks
936,318,318,18,188.000,No,5356.00,1006928.00,18.00,181247.04,0.00,1188175.04,2024-04-30,0.000,188.000,Ordered,Generated PO item from PR item.
937,319,319,19,6.000,No,470.25,2821.50,18.00,507.87,0.00,3329.37,2024-04-12,0.000,6.000,Ordered,Generated PO item from PR item.
938,319,3169,97,15.000,No,2.09,31.35,18.00,5.64,0.00,36.99,2024-04-12,0.000,15.000,Ordered,Generated PO item from PR item.
939,320,3170,98,225.000,No,8.48,1908.00,18.00,343.44,0.00,2251.44,2024-04-18,0.000,225.000,Ordered,Generated PO item from PR item.
940,320,320,20,117.000,No,477.00,55809.00,18.00,10045.62,0.00,65854.62,2024-04-18,0.000,117.000,Ordered,Generated PO item from PR item.
941,321,321,21,246.000,No,60.00,14760.00,18.00,2656.80,0.00,17416.80,2024-04-30,0.000,246.000,Ordered,Generated PO item from PR item.
942,321,3171,99,234.000,No,4.00,936.00,18.00,168.48,0.00,1104.48,2024-04-30,0.000,234.000,Ordered,Generated PO item from PR item.
943,322,3172,1,120.000,No,1827.00,219240.00,18.00,39463.20,0.00,258703.20,2024-04-14,0.000,120.000,Ordered,Generated PO item from PR item.
944,322,322,22,106.000,No,121.80,12910.80,18.00,2323.94,0.00,15234.74,2024-04-14,0.000,106.000,Ordered,Generated PO item from PR item.
945,323,323,23,70.000,No,123.60,8652.00,18.00,1557.36,0.00,10209.36,2024-04-15,0.000,70.000,Ordered,Generated PO item from PR item.
946,323,3173,2,457.000,No,2884.00,1317988.00,18.00,237237.84,0.00,1555225.84,2024-04-15,0.000,457.000,Ordered,Generated PO item from PR item.
947,324,3174,3,460.000,No,6479.00,2980340.00,18.00,536461.20,0.00,3516801.20,2024-05-02,0.000,460.000,Ordered,Generated PO item from PR item.
948,324,324,24,55.000,No,229.90,12644.50,18.00,2276.01,0.00,14920.51,2024-05-02,0.000,55.000,Ordered,Generated PO item from PR item.
949,325,325,25,25.000,No,689.00,17225.00,18.00,3100.50,0.00,20325.50,2024-05-03,0.000,25.000,Ordered,Generated PO item from PR item.
950,325,3175,4,499.000,No,1272.00,634728.00,18.00,114251.04,0.00,748979.04,2024-05-03,0.000,499.000,Ordered,Generated PO item from PR item.
951,326,3176,5,147.000,No,2200.00,323400.00,18.00,58212.00,0.00,381612.00,2024-05-04,0.000,147.000,Ordered,Generated PO item from PR item.
952,326,326,26,83.000,No,15.00,1245.00,18.00,224.10,0.00,1469.10,2024-05-04,0.000,83.000,Ordered,Generated PO item from PR item.
953,327,327,27,133.000,No,45.68,6075.44,18.00,1093.58,0.00,7169.02,2024-04-30,0.000,133.000,Ordered,Generated PO item from PR item.
954,327,3177,6,311.000,No,5075.00,1578325.00,18.00,284098.50,0.00,1862423.50,2024-04-30,0.000,311.000,Ordered,Generated PO item from PR item.
955,328,3178,7,249.000,No,185.40,46164.60,18.00,8309.63,0.00,54474.23,2024-04-25,0.000,249.000,Ordered,Generated PO item from PR item.
956,328,328,28,30.000,No,113.30,3399.00,18.00,611.82,0.00,4010.82,2024-04-25,0.000,30.000,Ordered,Generated PO item from PR item.
957,329,329,29,89.000,kg,888.25,79054.25,18.00,14229.77,0.00,93284.02,2024-05-02,0.000,89.000,Ordered,Generated PO item from PR item.
958,329,3179,8,227.000,No,250.80,56931.60,18.00,10247.69,0.00,67179.29,2024-05-02,0.000,227.000,Ordered,Generated PO item from PR item.
959,330,3180,9,153.000,No,381.60,58384.80,18.00,10509.26,0.00,68894.06,2024-04-20,0.000,153.000,Ordered,Generated PO item from PR item.
960,330,330,30,89.000,kg,932.80,83019.20,18.00,14943.46,0.00,97962.66,2024-04-20,0.000,89.000,Ordered,Generated PO item from PR item.
961,331,331,31,169.000,kg,920.00,155480.00,18.00,27986.40,0.00,183466.40,2024-04-20,0.000,169.000,Ordered,Generated PO item from PR item.
962,331,3181,10,53.000,No,450.00,23850.00,18.00,4293.00,0.00,28143.00,2024-04-20,0.000,53.000,Ordered,Generated PO item from PR item.
963,332,3182,11,25.000,No,761.25,19031.25,18.00,3425.63,0.00,22456.88,2024-05-04,0.000,25.000,Ordered,Generated PO item from PR item.
964,332,332,32,79.000,m,35.53,2806.87,18.00,505.24,0.00,3312.11,2024-05-04,0.000,79.000,Ordered,Generated PO item from PR item.
965,333,333,33,425.000,m,61.80,26265.00,18.00,4727.70,0.00,30992.70,2024-04-26,0.000,425.000,Ordered,Generated PO item from PR item.
966,333,3183,12,68.000,No,1854.00,126072.00,18.00,22692.96,0.00,148764.96,2024-04-26,0.000,68.000,Ordered,Generated PO item from PR item.
967,334,3184,13,21.000,No,167.20,3511.20,18.00,632.02,0.00,4143.22,2024-05-06,0.000,21.000,Ordered,Generated PO item from PR item.
968,334,334,34,217.000,m,156.75,34014.75,18.00,6122.66,0.00,40137.41,2024-05-06,0.000,217.000,Ordered,Generated PO item from PR item.
969,335,335,35,165.000,No,95.40,15741.00,18.00,2833.38,0.00,18574.38,2024-04-22,0.000,165.000,Ordered,Generated PO item from PR item.
970,335,3185,14,53.000,No,233.20,12359.60,18.00,2224.73,0.00,14584.33,2024-04-22,0.000,53.000,Ordered,Generated PO item from PR item.
971,336,3186,15,23.000,No,420.00,9660.00,18.00,1738.80,0.00,11398.80,2024-05-06,0.000,23.000,Ordered,Generated PO item from PR item.
972,336,336,36,142.000,No,180.00,25560.00,18.00,4600.80,0.00,30160.80,2024-05-06,0.000,142.000,Ordered,Generated PO item from PR item.
973,337,337,37,78.000,No,426.30,33251.40,18.00,5985.25,0.00,39236.65,2024-05-02,0.000,78.000,Ordered,Generated PO item from PR item.
974,337,3187,16,192.000,No,1319.50,253344.00,18.00,45601.92,0.00,298945.92,2024-05-02,0.000,192.000,Ordered,Generated PO item from PR item.
975,338,3188,17,150.000,No,2472.00,370800.00,18.00,66744.00,0.00,437544.00,2024-05-04,0.000,150.000,Ordered,Generated PO item from PR item.
976,338,338,38,233.000,No,12.36,2879.88,18.00,518.38,0.00,3398.26,2024-05-04,0.000,233.000,Ordered,Generated PO item from PR item.
977,339,339,39,60.000,No,47.03,2821.80,18.00,507.92,0.00,3329.72,2024-05-04,0.000,60.000,Ordered,Generated PO item from PR item.
978,339,3189,18,132.000,No,5434.00,717288.00,18.00,129111.84,0.00,846399.84,2024-05-04,0.000,132.000,Ordered,Generated PO item from PR item.
979,340,3190,19,204.000,No,477.00,97308.00,18.00,17515.44,0.00,114823.44,2024-04-25,0.000,204.000,Ordered,Generated PO item from PR item.
980,340,340,40,13.000,No,127.20,1653.60,18.00,297.65,0.00,1951.25,2024-04-25,0.000,13.000,Ordered,Generated PO item from PR item.
981,341,341,41,189.000,No,1400.00,264600.00,18.00,47628.00,0.00,312228.00,2024-05-02,0.000,189.000,Ordered,Generated PO item from PR item.
982,341,3191,20,106.000,No,450.00,47700.00,18.00,8586.00,0.00,56286.00,2024-05-02,0.000,106.000,Ordered,Generated PO item from PR item.
983,342,3192,21,104.000,No,60.90,6333.60,18.00,1140.05,0.00,7473.65,2024-04-30,0.000,104.000,Ordered,Generated PO item from PR item.
984,342,342,42,157.000,No,3248.00,509936.00,18.00,91788.48,0.00,601724.48,2024-04-30,0.000,157.000,Ordered,Generated PO item from PR item.
985,343,343,43,224.000,No,87.55,19611.20,18.00,3530.02,0.00,23141.22,2024-05-08,0.000,224.000,Ordered,Generated PO item from PR item.
986,343,3193,22,55.000,No,123.60,6798.00,18.00,1223.64,0.00,8021.64,2024-05-08,0.000,55.000,Ordered,Generated PO item from PR item.
987,344,3194,23,47.000,No,125.40,5893.80,18.00,1060.88,0.00,6954.68,2024-05-08,0.000,47.000,Ordered,Generated PO item from PR item.
988,344,344,44,117.000,No,229.90,26898.30,18.00,4841.69,0.00,31739.99,2024-05-08,0.000,117.000,Ordered,Generated PO item from PR item.
989,345,345,45,9.000,No,371.00,3339.00,18.00,601.02,0.00,3940.02,2024-05-03,0.000,9.000,Ordered,Generated PO item from PR item.
990,345,3195,24,21.000,No,233.20,4897.20,18.00,881.50,0.00,5778.70,2024-05-03,0.000,21.000,Ordered,Generated PO item from PR item.
991,346,3196,25,61.000,No,650.00,39650.00,18.00,7137.00,0.00,46787.00,2024-04-24,0.000,61.000,Ordered,Generated PO item from PR item.
992,346,346,46,9.000,No,750.00,6750.00,18.00,1215.00,0.00,7965.00,2024-04-24,0.000,9.000,Ordered,Generated PO item from PR item.
993,347,347,47,37.000,Set,456.75,16899.75,18.00,3041.96,0.00,19941.71,2024-04-24,0.000,37.000,Ordered,Generated PO item from PR item.
994,347,3197,26,250.000,No,15.23,3807.50,18.00,685.35,0.00,4492.85,2024-04-24,0.000,250.000,Ordered,Generated PO item from PR item.
995,348,3198,27,136.000,No,46.35,6303.60,18.00,1134.65,0.00,7438.25,2024-05-15,0.000,136.000,Ordered,Generated PO item from PR item.
996,348,348,48,23.000,Set,978.50,22505.50,18.00,4050.99,0.00,26556.49,2024-05-15,0.000,23.000,Ordered,Generated PO item from PR item.
997,349,349,49,231.000,No,26.13,6036.03,18.00,1086.49,0.00,7122.52,2024-05-11,0.000,231.000,Ordered,Generated PO item from PR item.
998,349,3199,28,78.000,No,114.95,8966.10,18.00,1613.90,0.00,10580.00,2024-05-11,0.000,78.000,Ordered,Generated PO item from PR item.
999,350,3200,29,141.000,kg,901.00,127041.00,18.00,22867.38,0.00,149908.38,2024-05-09,0.000,141.000,Ordered,Generated PO item from PR item.
1000,350,350,50,34.000,No,42.40,1441.60,18.00,259.49,0.00,1701.09,2024-05-09,0.000,34.000,Ordered,Generated PO item from PR item.
1001,351,351,51,221.000,No,110.00,24310.00,18.00,4375.80,0.00,28685.80,2024-04-23,0.000,221.000,Ordered,Generated PO item from PR item.
1002,351,3201,30,166.000,kg,880.00,146080.00,18.00,26294.40,0.00,172374.40,2024-04-23,0.000,166.000,Ordered,Generated PO item from PR item.
1003,352,3202,31,100.000,kg,933.80,93380.00,18.00,16808.40,0.00,110188.40,2024-05-05,0.000,100.000,Ordered,Generated PO item from PR item.
1004,352,352,52,58.000,No,2.03,117.74,18.00,21.19,0.00,138.93,2024-05-05,0.000,58.000,Ordered,Generated PO item from PR item.
1005,353,353,53,34.000,No,3.09,105.06,18.00,18.91,0.00,123.97,2024-05-09,0.000,34.000,Ordered,Generated PO item from PR item.
1006,353,3203,32,140.000,m,36.05,5047.00,18.00,908.46,0.00,5955.46,2024-05-09,0.000,140.000,Ordered,Generated PO item from PR item.
1007,354,3204,33,363.000,m,62.70,22760.10,18.00,4096.82,0.00,26856.92,2024-05-09,0.000,363.000,Ordered,Generated PO item from PR item.
1008,354,354,54,72.000,No,5.23,376.56,18.00,67.78,0.00,444.34,2024-05-09,0.000,72.000,Ordered,Generated PO item from PR item.
1009,355,355,55,40.000,No,8.48,339.20,18.00,61.06,0.00,400.26,2024-04-26,0.000,40.000,Ordered,Generated PO item from PR item.
1010,355,3205,34,110.000,m,159.00,17490.00,18.00,3148.20,0.00,20638.20,2024-04-26,0.000,110.000,Ordered,Generated PO item from PR item.
1011,356,3206,35,250.000,No,90.00,22500.00,18.00,4050.00,0.00,26550.00,2024-05-07,0.000,250.000,Ordered,Generated PO item from PR item.
1012,356,356,56,103.000,No,10.00,1030.00,18.00,185.40,0.00,1215.40,2024-05-07,0.000,103.000,Ordered,Generated PO item from PR item.
1013,357,357,57,86.000,No,12.18,1047.48,18.00,188.55,0.00,1236.03,2024-04-27,0.000,86.000,Ordered,Generated PO item from PR item.
1014,357,3207,36,83.000,No,182.70,15164.10,18.00,2729.54,0.00,17893.64,2024-04-27,0.000,83.000,Ordered,Generated PO item from PR item.
1015,358,3208,37,91.000,No,432.60,39366.60,18.00,7085.99,0.00,46452.59,2024-05-09,0.000,91.000,Ordered,Generated PO item from PR item.
1016,358,358,58,135.000,No,6.18,834.30,18.00,150.17,0.00,984.47,2024-05-09,0.000,135.000,Ordered,Generated PO item from PR item.
1017,359,359,59,137.000,No,5.23,716.51,18.00,128.97,0.00,845.48,2024-05-02,0.000,137.000,Ordered,Generated PO item from PR item.
1018,359,3209,38,183.000,No,12.54,2294.82,18.00,413.07,0.00,2707.89,2024-05-02,0.000,183.000,Ordered,Generated PO item from PR item.
1019,360,3210,39,8.000,No,47.70,381.60,18.00,68.69,0.00,450.29,2024-04-26,0.000,8.000,Ordered,Generated PO item from PR item.
1020,360,360,60,20.000,m,19.08,381.60,18.00,68.69,0.00,450.29,2024-04-26,0.000,20.000,Ordered,Generated PO item from PR item.
1021,361,361,61,80.000,m,25.00,2000.00,18.00,360.00,0.00,2360.00,2024-04-30,0.000,80.000,Ordered,Generated PO item from PR item.
1022,361,3211,40,54.000,No,120.00,6480.00,18.00,1166.40,0.00,7646.40,2024-04-30,0.000,54.000,Ordered,Generated PO item from PR item.
1023,362,3212,41,35.000,No,1421.00,49735.00,18.00,8952.30,0.00,58687.30,2024-05-14,0.000,35.000,Ordered,Generated PO item from PR item.
1024,362,362,62,97.000,m,45.68,4430.96,18.00,797.57,0.00,5228.53,2024-05-14,0.000,97.000,Ordered,Generated PO item from PR item.
1025,363,363,63,113.000,No,3.09,349.17,18.00,62.85,0.00,412.02,2024-05-12,0.000,113.000,Ordered,Generated PO item from PR item.
1026,363,3213,42,101.000,No,3296.00,332896.00,18.00,59921.28,0.00,392817.28,2024-05-12,0.000,101.000,Ordered,Generated PO item from PR item.
1027,364,3214,43,141.000,No,88.83,12525.03,18.00,2254.51,0.00,14779.54,2024-05-15,0.000,141.000,Ordered,Generated PO item from PR item.
1028,364,364,64,65.000,No,5.23,339.95,18.00,61.19,0.00,401.14,2024-05-15,0.000,65.000,Ordered,Generated PO item from PR item.
1029,365,365,65,171.000,No,12.72,2175.12,18.00,391.52,0.00,2566.64,2024-05-09,0.000,171.000,Ordered,Generated PO item from PR item.
1030,365,3215,44,49.000,No,233.20,11426.80,18.00,2056.82,0.00,13483.62,2024-05-09,0.000,49.000,Ordered,Generated PO item from PR item.
1031,366,3216,45,89.000,No,350.00,31150.00,18.00,5607.00,0.00,36757.00,2024-05-07,0.000,89.000,Ordered,Generated PO item from PR item.
1032,366,366,66,284.000,No,1.50,426.00,18.00,76.68,0.00,502.68,2024-05-07,0.000,284.000,Ordered,Generated PO item from PR item.
1033,367,367,67,168.000,No,2.54,426.72,18.00,76.81,0.00,503.53,2024-05-08,0.000,168.000,Ordered,Generated PO item from PR item.
1034,367,3217,46,194.000,No,761.25,147682.50,18.00,26582.85,0.00,174265.35,2024-05-08,0.000,194.000,Ordered,Generated PO item from PR item.
1035,368,3218,47,76.000,Set,463.50,35226.00,18.00,6340.68,0.00,41566.68,2024-05-13,0.000,76.000,Ordered,Generated PO item from PR item.
1036,368,368,68,178.000,No,6.18,1100.04,18.00,198.01,0.00,1298.05,2024-05-13,0.000,178.000,Ordered,Generated PO item from PR item.
1037,369,369,69,245.000,No,0.84,205.80,18.00,37.04,0.00,242.84,2024-05-07,0.000,245.000,Ordered,Generated PO item from PR item.
1038,369,3219,48,6.000,Set,992.75,5956.50,18.00,1072.17,0.00,7028.67,2024-05-07,0.000,6.000,Ordered,Generated PO item from PR item.
1039,370,3220,49,159.000,No,26.50,4213.50,18.00,758.43,0.00,4971.93,2024-05-16,0.000,159.000,Ordered,Generated PO item from PR item.
1040,370,370,70,283.000,No,1.27,359.41,18.00,64.69,0.00,424.10,2024-05-16,0.000,283.000,Ordered,Generated PO item from PR item.
1041,371,371,71,179.000,No,2.50,447.50,18.00,80.55,0.00,528.05,2024-05-17,0.000,179.000,Ordered,Generated PO item from PR item.
1042,371,3221,50,11.000,No,40.00,440.00,18.00,79.20,0.00,519.20,2024-05-17,0.000,11.000,Ordered,Generated PO item from PR item.
1043,372,3222,51,133.000,No,111.65,14849.45,18.00,2672.90,0.00,17522.35,2024-05-15,0.000,133.000,Ordered,Generated PO item from PR item.
1044,372,372,72,126.000,No,0.81,102.06,18.00,18.37,0.00,120.43,2024-05-15,0.000,126.000,Ordered,Generated PO item from PR item.
1045,373,373,73,216.000,No,1.24,267.84,18.00,48.21,0.00,316.05,2024-05-07,0.000,216.000,Ordered,Generated PO item from PR item.
1046,373,3223,52,221.000,No,2.06,455.26,18.00,81.95,0.00,537.21,2024-05-07,0.000,221.000,Ordered,Generated PO item from PR item.
1047,374,3224,53,201.000,No,3.14,631.14,18.00,113.61,0.00,744.75,2024-05-14,0.000,201.000,Ordered,Generated PO item from PR item.
1048,374,374,74,31.000,No,2.61,80.91,18.00,14.56,0.00,95.47,2024-05-14,0.000,31.000,Ordered,Generated PO item from PR item.
1049,375,375,75,256.000,No,4.24,1085.44,18.00,195.38,0.00,1280.82,2024-05-04,0.000,256.000,Ordered,Generated PO item from PR item.
1050,375,3225,54,62.000,No,5.30,328.60,18.00,59.15,0.00,387.75,2024-05-04,0.000,62.000,Ordered,Generated PO item from PR item.
1051,376,3226,55,68.000,No,8.00,544.00,18.00,97.92,0.00,641.92,2024-05-01,0.000,68.000,Ordered,Generated PO item from PR item.
1052,376,376,76,472.000,No,7.00,3304.00,18.00,594.72,0.00,3898.72,2024-05-01,0.000,472.000,Ordered,Generated PO item from PR item.
1053,377,377,77,211.000,No,15.23,3213.53,18.00,578.44,0.00,3791.97,2024-05-17,0.000,211.000,Ordered,Generated PO item from PR item.
1054,377,3227,56,197.000,No,10.15,1999.55,18.00,359.92,0.00,2359.47,2024-05-17,0.000,197.000,Ordered,Generated PO item from PR item.
1055,378,3228,57,206.000,No,12.36,2546.16,18.00,458.31,0.00,3004.47,2024-05-15,0.000,206.000,Ordered,Generated PO item from PR item.
1056,378,378,78,72.000,No,4.12,296.64,18.00,53.40,0.00,350.04,2024-05-15,0.000,72.000,Ordered,Generated PO item from PR item.
1057,379,379,79,360.000,No,4.18,1504.80,18.00,270.86,0.00,1775.66,2024-05-16,0.000,360.000,Ordered,Generated PO item from PR item.
1058,379,3229,58,74.000,No,6.27,463.98,18.00,83.52,0.00,547.50,2024-05-16,0.000,74.000,Ordered,Generated PO item from PR item.
1059,380,3230,59,5.000,No,5.30,26.50,18.00,4.77,0.00,31.27,2024-05-08,0.000,5.000,Ordered,Generated PO item from PR item.
1060,380,380,80,17051.000,ml,0.85,14493.35,18.00,2608.80,0.00,17102.15,2024-05-08,0.000,17051.000,Ordered,Generated PO item from PR item.
1061,381,381,81,6615.000,g,1.20,7938.00,18.00,1428.84,0.00,9366.84,2024-05-21,0.000,6615.000,Ordered,Generated PO item from PR item.
1062,381,3231,60,233.000,m,18.00,4194.00,18.00,754.92,0.00,4948.92,2024-05-21,0.000,233.000,Ordered,Generated PO item from PR item.
1063,382,3232,61,318.000,m,25.38,8070.84,18.00,1452.75,0.00,9523.59,2024-05-25,0.000,318.000,Ordered,Generated PO item from PR item.
1064,382,382,82,18922.000,ml,1.52,28761.44,18.00,5177.06,0.00,33938.50,2024-05-25,0.000,18922.000,Ordered,Generated PO item from PR item.
1065,383,383,83,26627.000,g,0.62,16508.74,18.00,2971.57,0.00,19480.31,2024-05-11,0.000,26627.000,Ordered,Generated PO item from PR item.
1066,383,3233,62,233.000,m,46.35,10799.55,18.00,1943.92,0.00,12743.47,2024-05-11,0.000,233.000,Ordered,Generated PO item from PR item.
1067,384,3234,63,469.000,No,3.14,1472.66,18.00,265.08,0.00,1737.74,2024-05-18,0.000,469.000,Ordered,Generated PO item from PR item.
1068,384,384,84,98222.000,ml,0.26,25537.72,18.00,4596.79,0.00,30134.51,2024-05-18,0.000,98222.000,Ordered,Generated PO item from PR item.
1069,385,385,85,17520.000,g,1.91,33463.20,18.00,6023.38,0.00,39486.58,2024-05-09,0.000,17520.000,Ordered,Generated PO item from PR item.
1070,385,3235,64,411.000,No,5.30,2178.30,18.00,392.09,0.00,2570.39,2024-05-09,0.000,411.000,Ordered,Generated PO item from PR item.
1071,386,3236,65,398.000,No,12.00,4776.00,18.00,859.68,0.00,5635.68,2024-05-17,0.000,398.000,Ordered,Generated PO item from PR item.
1072,386,386,86,18912.000,g,1.20,22694.40,18.00,4084.99,0.00,26779.39,2024-05-17,0.000,18912.000,Ordered,Generated PO item from PR item.
1073,387,387,87,19718.000,g,0.81,15971.58,18.00,2874.88,0.00,18846.46,2024-05-24,0.000,19718.000,Ordered,Generated PO item from PR item.
1074,387,3237,66,29.000,No,1.52,44.08,18.00,7.93,0.00,52.01,2024-05-24,0.000,29.000,Ordered,Generated PO item from PR item.
1075,388,3238,67,430.000,No,2.58,1109.40,18.00,199.69,0.00,1309.09,2024-05-24,0.000,430.000,Ordered,Generated PO item from PR item.
1076,388,388,88,155.000,No,46.35,7184.25,18.00,1293.17,0.00,8477.42,2024-05-24,0.000,155.000,Ordered,Generated PO item from PR item.
1077,389,389,89,138.000,No,18.81,2595.78,18.00,467.24,0.00,3063.02,2024-05-23,0.000,138.000,Ordered,Generated PO item from PR item.
1078,389,3239,68,383.000,No,6.27,2401.41,18.00,432.25,0.00,2833.66,2024-05-23,0.000,383.000,Ordered,Generated PO item from PR item.
1079,390,3240,69,210.000,No,0.85,178.50,18.00,32.13,0.00,210.63,2024-05-19,0.000,210.000,Ordered,Generated PO item from PR item.
1080,390,390,90,247.000,Sheet,10.60,2618.20,18.00,471.28,0.00,3089.48,2024-05-19,0.000,247.000,Ordered,Generated PO item from PR item.
1081,391,391,91,185.000,No,6.00,1110.00,18.00,199.80,0.00,1309.80,2024-05-25,0.000,185.000,Ordered,Generated PO item from PR item.
1082,391,3241,70,303.000,No,1.20,363.60,18.00,65.45,0.00,429.05,2024-05-25,0.000,303.000,Ordered,Generated PO item from PR item.
1083,392,3242,71,416.000,No,2.54,1056.64,18.00,190.20,0.00,1246.84,2024-05-18,0.000,416.000,Ordered,Generated PO item from PR item.
1084,392,392,92,62.000,m,1.22,75.64,18.00,13.62,0.00,89.26,2024-05-18,0.000,62.000,Ordered,Generated PO item from PR item.
1085,393,393,93,101.000,No,3.09,312.09,18.00,56.18,0.00,368.27,2024-05-09,0.000,101.000,Ordered,Generated PO item from PR item.
1086,393,3243,72,455.000,No,0.82,373.10,18.00,67.16,0.00,440.26,2024-05-09,0.000,455.000,Ordered,Generated PO item from PR item.
1087,394,3244,73,284.000,No,1.25,355.00,18.00,63.90,0.00,418.90,2024-05-09,0.000,284.000,Ordered,Generated PO item from PR item.
