pr_item_id,pr_id,item_id,requested_quantity,uom,required_date,estimated_unit_cost,priority,reason_for_requirement,current_stock_quantity,reorder_level,budget_code,remarks,status
360,210,60,20.000,m,2024-04-28,18.00,High,Required for Insulation Materials consumption plan.,0.000,400.000,BG-2024-12,Generated PR item.,Converted to PO
361,211,61,80.000,m,2024-04-24,25.00,Urgent,Required for Insulation Materials consumption plan.,0.000,384.000,BG-2024-01,Generated PR item.,Converted to PO
362,212,62,97.000,m,2024-04-24,45.00,High,Required for Insulation Materials consumption plan.,0.000,240.000,BG-2024-02,Generated PR item.,Converted to PO
363,213,63,113.000,No,2024-05-01,3.00,High,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-03,Generated PR item.,Converted to PO
364,214,64,65.000,No,2024-04-27,5.00,High,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-04,Generated PR item.,Converted to PO
365,215,65,171.000,No,2024-04-30,12.00,Urgent,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-05,Generated PR item.,Converted to PO
366,216,66,284.000,No,2024-04-30,1.50,High,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-06,Generated PR item.,Converted to PO
367,217,67,168.000,No,2024-05-04,2.50,High,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-07,Generated PR item.,Converted to PO
368,218,68,178.000,No,2024-05-11,6.00,High,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-08,Generated PR item.,Converted to PO
369,219,69,245.000,No,2024-05-09,0.80,Urgent,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-09,Generated PR item.,Converted to PO
370,220,70,283.000,No,2024-04-30,1.20,High,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-10,Generated PR item.,Converted to PO
371,221,71,179.000,No,2024-04-29,2.50,High,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-11,Generated PR item.,Converted to PO
372,222,72,126.000,No,2024-05-08,0.80,High,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-12,Generated PR item.,Converted to PO
373,223,73,216.000,No,2024-04-27,1.20,Urgent,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-01,Generated PR item.,Converted to PO
374,224,74,31.000,No,2024-05-04,2.50,High,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-02,Generated PR item.,Converted to PO
375,225,75,256.000,No,2024-05-02,4.00,High,Required for Fasteners consumption plan.,0.000,1600.000,BG-2024-03,Generated PR item.,Converted to PO
376,226,76,472.000,No,2024-04-29,7.00,High,Required for Fasteners consumption plan.,0.000,960.000,BG-2024-04,Generated PR item.,Converted to PO
377,227,77,211.000,No,2024-05-08,15.00,Urgent,Required for Fasteners consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
378,228,78,72.000,No,2024-05-03,4.00,High,Required for Fasteners consumption plan.,0.000,3040.000,BG-2024-06,Generated PR item.,Converted to PO
379,229,79,360.000,No,2024-05-01,4.00,High,Required for Fasteners consumption plan.,0.000,3040.000,BG-2024-07,Generated PR item.,Converted to PO
380,230,80,17051.000,ml,2024-05-09,0.80,High,Required for Consumables consumption plan.,0.000,144000.000,BG-2024-08,Generated PR item.,Converted to PO
381,231,81,6615.000,g,2024-05-01,1.20,Urgent,Required for Consumables consumption plan.,0.000,42000.000,BG-2024-09,Generated PR item.,Converted to PO
382,232,82,18922.000,ml,2024-05-10,1.50,High,Required for Consumables consumption plan.,0.000,8000.000,BG-2024-10,Generated PR item.,Converted to PO
383,233,83,26627.000,g,2024-05-01,0.60,High,Required for Consumables consumption plan.,0.000,24000.000,BG-2024-11,Generated PR item.,Converted to PO
384,234,84,98222.000,ml,2024-05-06,0.25,High,Required for Consumables consumption plan.,0.000,156000.000,BG-2024-12,Generated PR item.,Converted to PO
385,235,85,17520.000,g,2024-05-13,1.80,Urgent,Required for Consumables consumption plan.,0.000,9000.000,BG-2024-01,Generated PR item.,Converted to PO
386,236,86,18912.000,g,2024-05-04,1.20,High,Required for Consumables consumption plan.,0.000,4000.000,BG-2024-02,Generated PR item.,Converted to PO
387,237,87,19718.000,g,2024-05-13,0.80,High,Required for Consumables consumption plan.,0.000,12000.000,BG-2024-03,Generated PR item.,Converted to PO
388,238,88,155.000,No,2024-05-12,45.00,High,Required for Packaging Materials consumption plan.,0.000,1520.000,BG-2024-04,Generated PR item.,Converted to PO
389,239,89,138.000,No,2024-05-16,18.00,Urgent,Required for Packaging Materials consumption plan.,0.000,3040.000,BG-2024-05,Generated PR item.,Converted to PO
390,240,90,247.000,Sheet,2024-05-05,10.00,High,Required for Packaging Materials consumption plan.,0.000,1760.000,BG-2024-06,Generated PR item.,Converted to PO
391,241,91,185.000,No,2024-05-14,6.00,High,Required for Packaging Materials consumption plan.,0.000,1520.000,BG-2024-07,Generated PR item.,Converted to PO
392,242,92,62.000,m,2024-05-18,1.20,High,Required for Packaging Materials consumption plan.,0.000,1600.000,BG-2024-08,Generated PR item.,Converted to PO
393,243,93,101.000,No,2024-05-15,3.00,Urgent,Required for Packaging Materials consumption plan.,0.000,1760.000,BG-2024-09,Generated PR item.,Converted to PO
394,244,94,244.000,No,2024-05-06,35.00,High,Required for Identification & Documentation consumption plan.,0.000,1520.000,BG-2024-10,Generated PR item.,Converted to PO
395,245,95,104.000,No,2024-05-17,3.00,High,Required for Identification & Documentation consumption plan.,0.000,1520.000,BG-2024-11,Generated PR item.,Converted to PO
396,246,96,55.000,No,2024-05-04,4.00,High,Required for Identification & Documentation consumption plan.,0.000,1520.000,BG-2024-12,Generated PR item.,Converted to PO
397,247,97,218.000,No,2024-05-13,2.00,Urgent,Required for Identification & Documentation consumption plan.,0.000,1520.000,BG-2024-01,Generated PR item.,Converted to PO
398,248,98,158.000,No,2024-05-12,8.00,High,Required for Identification & Documentation consumption plan.,0.000,1520.000,BG-2024-02,Generated PR item.,Converted to PO
399,249,99,143.000,No,2024-05-13,4.00,High,Required for Identification & Documentation consumption plan.,0.000,1520.000,BG-2024-03,Generated PR item.,Converted to PO
400,250,1,239.000,No,2024-05-13,1800.00,High,Required for Core Components consumption plan.,0.000,800.000,BG-2024-04,Generated PR item.,Converted to PO
401,251,2,106.000,No,2024-05-04,2800.00,Urgent,Required for Core Components consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
402,252,3,223.000,No,2024-05-14,6200.00,High,Required for Core Components consumption plan.,0.000,240.000,BG-2024-06,Generated PR item.,Converted to PO
403,253,4,247.000,No,2024-05-22,1200.00,High,Required for Core Components consumption plan.,0.000,800.000,BG-2024-07,Generated PR item.,Converted to PO
404,254,5,469.000,No,2024-05-13,2200.00,High,Required for Core Components consumption plan.,0.000,480.000,BG-2024-08,Generated PR item.,Converted to PO
405,255,6,188.000,No,2024-05-11,5000.00,Urgent,Required for Core Components consumption plan.,0.000,240.000,BG-2024-09,Generated PR item.,Converted to PO
406,256,7,41.000,No,2024-05-24,180.00,High,Required for Magnetic Components consumption plan.,0.000,6400.000,BG-2024-10,Generated PR item.,Converted to PO
407,257,8,110.000,No,2024-05-08,240.00,High,Required for Magnetic Components consumption plan.,0.000,4800.000,BG-2024-11,Generated PR item.,Converted to PO
408,258,9,250.000,No,2024-05-15,360.00,High,Required for Magnetic Components consumption plan.,0.000,2880.000,BG-2024-12,Generated PR item.,Converted to PO
409,259,10,123.000,No,2024-05-16,450.00,Urgent,Required for Mechanical Components consumption plan.,0.000,800.000,BG-2024-01,Generated PR item.,Converted to PO
410,260,11,98.000,No,2024-05-15,750.00,High,Required for Mechanical Components consumption plan.,0.000,480.000,BG-2024-02,Generated PR item.,Converted to PO
411,261,12,169.000,No,2024-05-24,1800.00,High,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-03,Generated PR item.,Converted to PO
412,262,13,164.000,No,2024-05-15,160.00,High,Required for Mechanical Components consumption plan.,0.000,800.000,BG-2024-04,Generated PR item.,Converted to PO
413,263,14,78.000,No,2024-05-25,220.00,Urgent,Required for Mechanical Components consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
414,264,15,243.000,No,2024-05-10,420.00,High,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-06,Generated PR item.,Converted to PO
415,265,16,150.000,No,2024-05-22,1300.00,High,Required for Mechanical Components consumption plan.,0.000,800.000,BG-2024-07,Generated PR item.,Converted to PO
416,266,17,19.000,No,2024-05-19,2400.00,High,Required for Mechanical Components consumption plan.,0.000,480.000,BG-2024-08,Generated PR item.,Converted to PO
417,267,18,105.000,No,2024-05-13,5200.00,Urgent,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-09,Generated PR item.,Converted to PO
418,268,19,232.000,No,2024-05-14,450.00,High,Required for Mechanical Components consumption plan.,0.000,1520.000,BG-2024-10,Generated PR item.,Converted to PO
419,269,20,101.000,No,2024-05-22,450.00,High,Required for Mechanical Components consumption plan.,0.000,1520.000,BG-2024-11,Generated PR item.,Converted to PO
420,270,21,144.000,No,2024-05-21,60.00,High,Required for Mechanical Components consumption plan.,0.000,1280.000,BG-2024-12,Generated PR item.,Converted to PO
421,271,22,155.000,No,2024-05-21,120.00,Urgent,Required for Mechanical Components consumption plan.,0.000,240.000,BG-2024-01,Generated PR item.,Converted to PO
422,272,23,72.000,No,2024-05-10,120.00,High,Required for Bearings consumption plan.,0.000,1600.000,BG-2024-02,Generated PR item.,Converted to PO
423,273,24,88.000,No,2024-05-20,220.00,High,Required for Bearings consumption plan.,0.000,960.000,BG-2024-03,Generated PR item.,Converted to PO
424,274,25,19.000,No,2024-05-27,650.00,High,Required for Bearings consumption plan.,0.000,480.000,BG-2024-04,Generated PR item.,Converted to PO
425,275,26,132.000,No,2024-05-11,15.00,Urgent,Required for Sealing Components consumption plan.,0.000,1520.000,BG-2024-05,Generated PR item.,Converted to PO
426,276,27,136.000,No,2024-05-19,45.00,High,Required for Sealing Components consumption plan.,0.000,1280.000,BG-2024-06,Generated PR item.,Converted to PO
427,277,28,42.000,No,2024-05-20,110.00,High,Required for Sealing Components consumption plan.,0.000,480.000,BG-2024-07,Generated PR item.,Converted to PO
428,278,29,138.000,kg,2024-05-28,850.00,High,Required for Electrical Components consumption plan.,0.000,1440.000,BG-2024-08,Generated PR item.,Converted to PO
429,279,30,32.000,kg,2024-05-18,880.00,Urgent,Required for Electrical Components consumption plan.,0.000,1536.000,BG-2024-09,Generated PR item.,Converted to PO
430,280,31,97.000,kg,2024-05-21,920.00,High,Required for Electrical Components consumption plan.,0.000,1560.000,BG-2024-10,Generated PR item.,Converted to PO
431,281,32,178.000,m,2024-05-26,35.00,High,Required for Electrical Components consumption plan.,0.000,2400.000,BG-2024-11,Generated PR item.,Converted to PO
432,282,33,94.000,m,2024-05-15,60.00,High,Required for Electrical Components consumption plan.,0.000,1920.000,BG-2024-12,Generated PR item.,Converted to PO
433,283,34,415.000,m,2024-05-28,150.00,Urgent,Required for Electrical Components consumption plan.,0.000,1200.000,BG-2024-01,Generated PR item.,Converted to PO
434,284,35,65.000,No,2024-05-28,90.00,High,Required for Electrical Components consumption plan.,0.000,800.000,BG-2024-02,Generated PR item.,Converted to PO
435,285,36,67.000,No,2024-05-27,180.00,High,Required for Electrical Components consumption plan.,0.000,480.000,BG-2024-03,Generated PR item.,Converted to PO
436,286,37,215.000,No,2024-05-26,420.00,High,Required for Electrical Components consumption plan.,0.000,240.000,BG-2024-04,Generated PR item.,Converted to PO
437,287,38,220.000,No,2024-05-28,12.00,Urgent,Required for Electrical Components consumption plan.,0.000,4560.000,BG-2024-05,Generated PR item.,Converted to PO
438,288,39,13.000,No,2024-05-29,45.00,High,Required for Electronic Components consumption plan.,0.000,2400.000,BG-2024-06,Generated PR item.,Converted to PO
439,289,40,73.000,No,2024-05-31,120.00,High,Required for Electronic Components consumption plan.,0.000,800.000,BG-2024-07,Generated PR item.,Converted to PO
440,290,41,179.000,No,2024-05-23,1400.00,High,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-08,Generated PR item.,Converted to PO
441,291,42,196.000,No,2024-05-24,3200.00,Urgent,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-09,Generated PR item.,Converted to PO
442,292,43,250.000,No,2024-05-27,85.00,High,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-10,Generated PR item.,Converted to PO
443,293,44,141.000,No,2024-05-19,220.00,High,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-11,Generated PR item.,Converted to PO
444,294,45,6.000,No,2024-05-31,350.00,High,Required for Electronic Components consumption plan.,0.000,1280.000,BG-2024-12,Generated PR item.,Converted to PO
445,295,46,219.000,No,2024-05-30,750.00,Urgent,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-01,Generated PR item.,Converted to PO
446,296,47,17.000,Set,2024-05-28,450.00,High,Required for Electronic Components consumption plan.,0.000,1280.000,BG-2024-02,Generated PR item.,Converted to PO
447,297,48,14.000,Set,2024-05-22,950.00,High,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-03,Generated PR item.,Converted to PO
448,298,49,170.000,No,2024-05-23,25.00,High,Required for Electronic Components consumption plan.,0.000,800.000,BG-2024-04,Generated PR item.,Converted to PO
449,299,50,153.000,No,2024-05-25,40.00,Urgent,Required for Electronic Components consumption plan.,0.000,480.000,BG-2024-05,Generated PR item.,Converted to PO
450,300,51,19.000,No,2024-05-29,110.00,High,Required for Electronic Components consumption plan.,0.000,240.000,BG-2024-06,Generated PR item.,Converted to PO
451,301,52,46.000,No,2024-06-02,2.00,High,Required for Electronic Components consumption plan.,0.000,4000.000,BG-2024-07,Generated PR item.,Converted to PO
452,302,53,150.000,No,2024-05-31,3.00,High,Required for Electronic Components consumption plan.,0.000,2880.000,BG-2024-08,Generated PR item.,Converted to PO
453,303,54,67.000,No,2024-06-04,5.00,Urgent,Required for Electronic Components consumption plan.,0.000,1920.000,BG-2024-09,Generated PR item.,Converted to PO
454,304,55,173.000,No,2024-06-05,8.00,High,Required for Insulation Materials consumption plan.,0.000,19200.000,BG-2024-10,Generated PR item.,Converted to PO
455,305,56,106.000,No,2024-05-31,10.00,High,Required for Insulation Materials consumption plan.,0.000,17280.000,BG-2024-11,Generated PR item.,Converted to PO
456,306,57,149.000,No,2024-05-26,12.00,High,Required for Insulation Materials consumption plan.,0.000,11520.000,BG-2024-12,Generated PR item.,Converted to PO
457,307,58,121.000,No,2024-05-30,6.00,Urgent,Required for Insulation Materials consumption plan.,0.000,48000.000,BG-2024-01,Generated PR item.,Converted to PO
458,308,59,94.000,No,2024-05-28,5.00,High,Required for Insulation Materials consumption plan.,0.000,48000.000,BG-2024-02,Generated PR item.,Converted to PO
459,309,60,184.000,m,2024-06-01,18.00,High,Required for Insulation Materials consumption plan.,0.000,400.000,BG-2024-03,Generated PR item.,Converted to PO
460,310,61,355.000,m,2024-06-04,25.00,High,Required for Insulation Materials consumption plan.,0.000,384.000,BG-2024-04,Generated PR item.,Converted to PO
461,311,62,267.000,m,2024-05-27,45.00,Urgent,Required for Insulation Materials consumption plan.,0.000,240.000,BG-2024-05,Generated PR item.,Converted to PO
462,312,63,305.000,No,2024-05-31,3.00,High,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-06,Generated PR item.,Converted to PO
463,313,64,297.000,No,2024-05-23,5.00,High,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-07,Generated PR item.,Converted to PO
464,314,65,119.000,No,2024-06-05,12.00,High,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-08,Generated PR item.,Converted to PO
465,315,66,459.000,No,2024-05-31,1.50,Urgent,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-09,Generated PR item.,Converted to PO
466,316,67,290.000,No,2024-05-31,2.50,High,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-10,Generated PR item.,Converted to PO
467,317,68,365.000,No,2024-06-01,6.00,High,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-11,Generated PR item.,Converted to PO
468,318,69,444.000,No,2024-05-27,0.80,High,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-12,Generated PR item.,Converted to PO
469,319,70,464.000,No,2024-06-03,1.20,Urgent,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-01,Generated PR item.,Converted to PO
470,320,71,340.000,No,2024-06-06,2.50,High,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-02,Generated PR item.,Converted to PO
471,321,72,398.000,No,2024-05-31,0.80,High,Required for Fasteners consumption plan.,0.000,6400.000,BG-2024-03,Generated PR item.,Converted to PO
472,322,73,246.000,No,2024-05-27,1.20,High,Required for Fasteners consumption plan.,0.000,4800.000,BG-2024-04,Generated PR item.,Converted to PO
473,323,74,374.000,No,2024-05-31,2.50,Urgent,Required for Fasteners consumption plan.,0.000,2880.000,BG-2024-05,Generated PR item.,Converted to PO
474,324,75,174.000,No,2024-05-29,4.00,High,Required for Fasteners consumption plan.,0.000,1600.000,BG-2024-06,Generated PR item.,Converted to PO
475,325,76,362.000,No,2024-06-01,7.00,High,Required for Fasteners consumption plan.,0.000,960.000,BG-2024-07,Generated PR item.,Converted to PO
476,326,77,61.000,No,2024-06-07,15.00,High,Required for Fasteners consumption plan.,0.000,480.000,BG-2024-08,Generated PR item.,Converted to PO
477,327,78,459.000,No,2024-05-29,4.00,Urgent,Required for Fasteners consumption plan.,0.000,3040.000,BG-2024-09,Generated PR item.,Converted to PO
478,328,79,137.000,No,2024-06-09,4.00,High,Required for Fasteners consumption plan.,0.000,3040.000,BG-2024-10,Generated PR item.,Converted to PO
479,329,80,67374.000,ml,2024-06-01,0.80,High,Required for Consumables consumption plan.,0.000,144000.000,BG-2024-11,Generated PR item.,Converted to PO
480,330,81,1324.000,g,2024-06-13,1.20,High,Required for Consumables consumption plan.,0.000,42000.000,BG-2024-12,Generated PR item.,Converted to PO
481,331,82,19793.000,ml,2024-06-10,1.50,Urgent,Required for Consumables consumption plan.,0.000,8000.000,BG-2024-01,Generated PR item.,Converted to PO
482,332,83,29613.000,g,2024-06-01,0.60,High,Required for Consumables consumption plan.,0.000,24000.000,BG-2024-02,Generated PR item.,Converted to PO
483,333,84,84170.000,ml,2024-06-08,0.25,High,Required for Consumables consumption plan.,0.000,156000.000,BG-2024-03,Generated PR item.,Converted to PO
484,334,85,7452.000,g,2024-05-30,1.80,High,Required for Consumables consumption plan.,0.000,9000.000,BG-2024-04,Generated PR item.,Converted to PO
485,335,86,4794.000,g,2024-05-30,1.20,Urgent,Required for Consumables consumption plan.,0.000,4000.000,BG-2024-05,Generated PR item.,Converted to PO
486,336,87,24632.000,g,2024-06-15,0.80,High,Required for Consumables consumption plan.,0.000,12000.000,BG-2024-06,Generated PR item.,Converted to PO
487,337,88,248.000,No,2024-06-12,45.00,High,Required for Packaging Materials consumption plan.,0.000,1520.000,BG-2024-07,Generated PR item.,Converted to PO
488,338,89,46.000,No,2024-06-01,18.00,High,Required for Packaging Materials consumption plan.,0.000,3040.000,BG-2024-08,Generated PR item.,Converted to PO
