grn_id,grn_number,po_id,vendor_id,received_date,invoice_number,invoice_date,delivery_challan_number,received_by,warehouse_location,inspection_required,grn_status,remarks
337,GRN-2024-0337,337,2,2024-04-30,INV-000337,2024-04-29,DC-000337,1,Central Stores,Yes,Accepted,Generated goods receipt.
338,GRN-2024-0338,338,3,2024-05-02,INV-000338,2024-05-01,DC-000338,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
339,GRN-2024-0339,339,4,2024-04-23,INV-000339,2024-04-22,DC-000339,4,Electrical Store,Yes,Accepted,Generated goods receipt.
340,GRN-2024-0340,340,5,2024-04-19,INV-000340,2024-04-18,DC-000340,5,Central Stores,Yes,Accepted,Generated goods receipt.
341,GRN-2024-0341,341,6,2024-04-30,INV-000341,2024-04-29,DC-000341,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
342,GRN-2024-0342,342,7,2024-04-22,INV-000342,2024-04-21,DC-000342,7,Electrical Store,Yes,Accepted,Generated goods receipt.
343,GRN-2024-0343,343,8,2024-05-08,INV-000343,2024-05-07,DC-000343,8,Central Stores,Yes,Accepted,Generated goods receipt.
344,GRN-2024-0344,344,9,2024-04-23,INV-000344,2024-04-22,DC-000344,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
345,GRN-2024-0345,345,10,2024-05-01,INV-000345,2024-04-30,DC-000345,10,Electrical Store,Yes,Accepted,Generated goods receipt.
346,GRN-2024-0346,346,11,2024-05-06,INV-000346,2024-05-05,DC-000346,11,Central Stores,Yes,Accepted,Generated goods receipt.
347,GRN-2024-0347,347,12,2024-04-27,INV-000347,2024-04-26,DC-000347,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
348,GRN-2024-0348,348,13,2024-05-07,INV-000348,2024-05-06,DC-000348,13,Electrical Store,Yes,Accepted,Generated goods receipt.
349,GRN-2024-0349,349,14,2024-04-30,INV-000349,2024-04-29,DC-000349,1,Central Stores,Yes,Accepted,Generated goods receipt.
350,GRN-2024-0350,350,15,2024-04-21,INV-000350,2024-04-20,DC-000350,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
351,GRN-2024-0351,351,16,2024-05-03,INV-000351,2024-05-02,DC-000351,4,Electrical Store,Yes,Accepted,Generated goods receipt.
352,GRN-2024-0352,352,17,2024-05-11,INV-000352,2024-05-10,DC-000352,5,Central Stores,Yes,Accepted,Generated goods receipt.
353,GRN-2024-0353,353,18,2024-05-01,INV-000353,2024-04-30,DC-000353,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
354,GRN-2024-0354,354,19,2024-05-02,INV-000354,2024-05-01,DC-000354,7,Electrical Store,Yes,Accepted,Generated goods receipt.
355,GRN-2024-0355,355,20,2024-04-27,INV-000355,2024-04-26,DC-000355,8,Central Stores,Yes,Accepted,Generated goods receipt.
356,GRN-2024-0356,356,21,2024-05-10,INV-000356,2024-05-09,DC-000356,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
357,GRN-2024-0357,357,22,2024-05-04,INV-000357,2024-05-03,DC-000357,10,Electrical Store,Yes,Accepted,Generated goods receipt.
358,GRN-2024-0358,358,23,2024-05-03,INV-000358,2024-05-02,DC-000358,11,Central Stores,Yes,Accepted,Generated goods receipt.
359,GRN-2024-0359,359,24,2024-05-08,INV-000359,2024-05-07,DC-000359,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
360,GRN-2024-0360,360,25,2024-05-05,INV-000360,2024-05-04,DC-000360,13,Electrical Store,Yes,Accepted,Generated goods receipt.
361,GRN-2024-0361,361,26,2024-05-01,INV-000361,2024-04-30,DC-000361,1,Central Stores,Yes,Accepted,Generated goods receipt.
362,GRN-2024-0362,362,27,2024-05-12,INV-000362,2024-05-11,DC-000362,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
363,GRN-2024-0363,363,28,2024-05-03,INV-000363,2024-05-02,DC-000363,4,Electrical Store,Yes,Accepted,Generated goods receipt.
364,GRN-2024-0364,364,29,2024-04-28,INV-000364,2024-04-27,DC-000364,5,Central Stores,Yes,Accepted,Generated goods receipt.
365,GRN-2024-0365,365,30,2024-05-06,INV-000365,2024-05-05,DC-000365,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
366,GRN-2024-0366,366,31,2024-05-07,INV-000366,2024-05-06,DC-000366,7,Electrical Store,Yes,Accepted,Generated goods receipt.
367,GRN-2024-0367,367,32,2024-05-12,INV-000367,2024-05-11,DC-000367,8,Central Stores,Yes,Accepted,Generated goods receipt.
368,GRN-2024-0368,368,33,2024-05-10,INV-000368,2024-05-09,DC-000368,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
369,GRN-2024-0369,369,34,2024-05-16,INV-000369,2024-05-15,DC-000369,10,Electrical Store,Yes,Accepted,Generated goods receipt.
370,GRN-2024-0370,370,35,2024-05-02,INV-000370,2024-05-01,DC-000370,11,Central Stores,Yes,Accepted,Generated goods receipt.
371,GRN-2024-0371,371,1,2024-05-02,INV-000371,2024-05-01,DC-000371,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
372,GRN-2024-0372,372,2,2024-05-07,INV-000372,2024-05-06,DC-000372,13,Electrical Store,Yes,Accepted,Generated goods receipt.
373,GRN-2024-0373,373,3,2024-05-09,INV-000373,2024-05-08,DC-000373,1,Central Stores,Yes,Accepted,Generated goods receipt.
374,GRN-2024-0374,374,4,2024-05-13,INV-000374,2024-05-12,DC-000374,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
375,GRN-2024-0375,375,5,2024-05-08,INV-000375,2024-05-07,DC-000375,4,Electrical Store,Yes,Accepted,Generated goods receipt.
376,GRN-2024-0376,376,6,2024-05-11,INV-000376,2024-05-10,DC-000376,5,Central Stores,Yes,Accepted,Generated goods receipt.
377,GRN-2024-0377,377,7,2024-05-07,INV-000377,2024-05-06,DC-000377,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
378,GRN-2024-0378,378,8,2024-05-08,INV-000378,2024-05-07,DC-000378,7,Electrical Store,Yes,Accepted,Generated goods receipt.
379,GRN-2024-0379,379,9,2024-05-05,INV-000379,2024-05-04,DC-000379,8,Central Stores,Yes,Accepted,Generated goods receipt.
380,GRN-2024-0380,380,10,2024-05-12,INV-000380,2024-05-11,DC-000380,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
381,GRN-2024-0381,381,11,2024-05-13,INV-000381,2024-05-12,DC-000381,10,Electrical Store,Yes,Accepted,Generated goods receipt.
382,GRN-2024-0382,382,12,2024-05-11,INV-000382,2024-05-10,DC-000382,11,Central Stores,Yes,Accepted,Generated goods receipt.
383,GRN-2024-0383,383,13,2024-05-04,INV-000383,2024-05-03,DC-000383,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
384,GRN-2024-0384,384,14,2024-05-05,INV-000384,2024-05-04,DC-000384,13,Electrical Store,Yes,Accepted,Generated goods receipt.
385,GRN-2024-0385,385,15,2024-05-16,INV-000385,2024-05-15,DC-000385,1,Central Stores,Yes,Accepted,Generated goods receipt.
386,GRN-2024-0386,386,16,2024-05-14,INV-000386,2024-05-13,DC-000386,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
387,GRN-2024-0387,387,17,2024-05-21,INV-000387,2024-05-20,DC-000387,4,Electrical Store,Yes,Accepted,Generated goods receipt.
388,GRN-2024-0388,388,18,2024-05-18,INV-000388,2024-05-17,DC-000388,5,Central Stores,Yes,Accepted,Generated goods receipt.
389,GRN-2024-0389,389,19,2024-05-10,INV-000389,2024-05-09,DC-000389,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
390,GRN-2024-0390,390,20,2024-05-16,INV-000390,2024-05-15,DC-000390,7,Electrical Store,Yes,Accepted,Generated goods receipt.
391,GRN-2024-0391,391,21,2024-05-21,INV-000391,2024-05-20,DC-000391,8,Central Stores,Yes,Accepted,Generated goods receipt.
392,GRN-2024-0392,392,22,2024-05-11,INV-000392,2024-05-10,DC-000392,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
393,GRN-2024-0393,393,23,2024-05-22,INV-000393,2024-05-21,DC-000393,10,Electrical Store,Yes,Accepted,Generated goods receipt.
394,GRN-2024-0394,394,24,2024-05-20,INV-000394,2024-05-19,DC-000394,11,Central Stores,Yes,Accepted,Generated goods receipt.
395,GRN-2024-0395,395,25,2024-05-12,INV-000395,2024-05-11,DC-000395,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
396,GRN-2024-0396,396,26,2024-05-19,INV-000396,2024-05-18,DC-000396,13,Electrical Store,Yes,Accepted,Generated goods receipt.
397,GRN-2024-0397,397,27,2024-05-16,INV-000397,2024-05-15,DC-000397,1,Central Stores,Yes,Accepted,Generated goods receipt.
398,GRN-2024-0398,398,28,2024-05-14,INV-000398,2024-05-13,DC-000398,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
399,GRN-2024-0399,399,29,2024-05-13,INV-000399,2024-05-12,DC-000399,4,Electrical Store,Yes,Accepted,Generated goods receipt.
400,GRN-2024-0400,400,30,2024-05-18,INV-000400,2024-05-17,DC-000400,5,Central Stores,Yes,Accepted,Generated goods receipt.
401,GRN-2024-0401,401,31,2024-05-27,INV-000401,2024-05-26,DC-000401,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
402,GRN-2024-0402,402,32,2024-05-25,INV-000402,2024-05-24,DC-000402,7,Electrical Store,Yes,Accepted,Generated goods receipt.
403,GRN-2024-0403,403,33,2024-05-25,INV-000403,2024-05-24,DC-000403,8,Central Stores,Yes,Accepted,Generated goods receipt.
404,GRN-2024-0404,404,34,2024-05-28,INV-000404,2024-05-27,DC-000404,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
405,GRN-2024-0405,405,35,2024-05-14,INV-000405,2024-05-13,DC-000405,10,Electrical Store,Yes,Accepted,Generated goods receipt.
406,GRN-2024-0406,406,1,2024-05-16,INV-000406,2024-05-15,DC-000406,11,Central Stores,Yes,Accepted,Generated goods receipt.
407,GRN-2024-0407,407,2,2024-05-25,INV-000407,2024-05-24,DC-000407,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
408,GRN-2024-0408,408,3,2024-05-25,INV-000408,2024-05-24,DC-000408,13,Electrical Store,Yes,Accepted,Generated goods receipt.
409,GRN-2024-0409,409,4,2024-05-14,INV-000409,2024-05-13,DC-000409,1,Central Stores,Yes,Accepted,Generated goods receipt.
410,GRN-2024-0410,410,5,2024-05-24,INV-000410,2024-05-23,DC-000410,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
411,GRN-2024-0411,411,6,2024-05-21,INV-000411,2024-05-20,DC-000411,4,Electrical Store,Yes,Accepted,Generated goods receipt.
412,GRN-2024-0412,412,7,2024-05-18,INV-000412,2024-05-17,DC-000412,5,Central Stores,Yes,Accepted,Generated goods receipt.
413,GRN-2024-0413,413,8,2024-05-28,INV-000413,2024-05-27,DC-000413,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
414,GRN-2024-0414,414,9,2024-05-30,INV-000414,2024-05-29,DC-000414,7,Electrical Store,Yes,Accepted,Generated goods receipt.
415,GRN-2024-0415,415,10,2024-05-18,INV-000415,2024-05-17,DC-000415,8,Central Stores,Yes,Accepted,Generated goods receipt.
416,GRN-2024-0416,416,11,2024-05-19,INV-000416,2024-05-18,DC-000416,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
417,GRN-2024-0417,417,12,2024-05-25,INV-000417,2024-05-24,DC-000417,10,Electrical Store,Yes,Accepted,Generated goods receipt.
418,GRN-2024-0418,418,13,2024-05-22,INV-000418,2024-05-21,DC-000418,11,Central Stores,Yes,Accepted,Generated goods receipt.
419,GRN-2024-0419,419,14,2024-05-27,INV-000419,2024-05-26,DC-000419,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
420,GRN-2024-0420,420,15,2024-05-30,INV-000420,2024-05-29,DC-000420,13,Electrical Store,Yes,Accepted,Generated goods receipt.
421,GRN-2024-0421,421,16,2024-05-25,INV-000421,2024-05-24,DC-000421,1,Central Stores,Yes,Accepted,Generated goods receipt.
422,GRN-2024-0422,422,17,2024-05-24,INV-000422,2024-05-23,DC-000422,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
423,GRN-2024-0423,423,18,2024-05-26,INV-000423,2024-05-25,DC-000423,4,Electrical Store,Yes,Accepted,Generated goods receipt.
424,GRN-2024-0424,424,19,2024-05-15,INV-000424,2024-05-14,DC-000424,5,Central Stores,Yes,Accepted,Generated goods receipt.
425,GRN-2024-0425,425,20,2024-05-31,INV-000425,2024-05-30,DC-000425,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
426,GRN-2024-0426,426,21,2024-05-19,INV-000426,2024-05-18,DC-000426,7,Electrical Store,Yes,Accepted,Generated goods receipt.
427,GRN-2024-0427,427,22,2024-05-21,INV-000427,2024-05-20,DC-000427,8,Central Stores,Yes,Accepted,Generated goods receipt.
428,GRN-2024-0428,428,23,2024-05-25,INV-000428,2024-05-24,DC-000428,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
429,GRN-2024-0429,429,24,2024-05-19,INV-000429,2024-05-18,DC-000429,10,Electrical Store,Yes,Accepted,Generated goods receipt.
430,GRN-2024-0430,430,25,2024-06-03,INV-000430,2024-06-02,DC-000430,11,Central Stores,Yes,Accepted,Generated goods receipt.
431,GRN-2024-0431,431,26,2024-05-19,INV-000431,2024-05-18,DC-000431,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
432,GRN-2024-0432,432,27,2024-05-24,INV-000432,2024-05-23,DC-000432,13,Electrical Store,Yes,Accepted,Generated goods receipt.
433,GRN-2024-0433,433,28,2024-05-27,INV-000433,2024-05-26,DC-000433,1,Central Stores,Yes,Accepted,Generated goods receipt.
434,GRN-2024-0434,434,29,2024-06-02,INV-000434,2024-06-01,DC-000434,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
435,GRN-2024-0435,435,30,2024-06-02,INV-000435,2024-06-01,DC-000435,4,Electrical Store,Yes,Accepted,Generated goods receipt.
436,GRN-2024-0436,436,31,2024-05-30,INV-000436,2024-05-29,DC-000436,5,Central Stores,Yes,Accepted,Generated goods receipt.
437,GRN-2024-0437,437,32,2024-05-27,INV-000437,2024-05-26,DC-000437,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
438,GRN-2024-0438,438,33,2024-05-24,INV-000438,2024-05-23,DC-000438,7,Electrical Store,Yes,Accepted,Generated goods receipt.
439,GRN-2024-0439,439,34,2024-06-08,INV-000439,2024-06-07,DC-000439,8,Central Stores,Yes,Accepted,Generated goods receipt.
440,GRN-2024-0440,440,35,2024-05-28,INV-000440,2024-05-27,DC-000440,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
441,GRN-2024-0441,441,1,2024-05-28,INV-000441,2024-05-27,DC-000441,10,Electrical Store,Yes,Accepted,Generated goods receipt.
442,GRN-2024-0442,442,2,2024-05-29,INV-000442,2024-05-28,DC-000442,11,Central Stores,Yes,Accepted,Generated goods receipt.
443,GRN-2024-0443,443,3,2024-05-25,INV-000443,2024-05-24,DC-000443,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
444,GRN-2024-0444,444,4,2024-05-25,INV-000444,2024-05-24,DC-000444,13,Electrical Store,Yes,Accepted,Generated goods receipt.
445,GRN-2024-0445,445,5,2024-05-24,INV-000445,2024-05-23,DC-000445,1,Central Stores,Yes,Accepted,Generated goods receipt.
446,GRN-2024-0446,446,6,2024-05-25,INV-000446,2024-05-24,DC-000446,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
447,GRN-2024-0447,447,7,2024-05-29,INV-000447,2024-05-28,DC-000447,4,Electrical Store,Yes,Accepted,Generated goods receipt.
448,GRN-2024-0448,448,8,2024-06-01,INV-000448,2024-05-31,DC-000448,5,Central Stores,Yes,Accepted,Generated goods receipt.
449,GRN-2024-0449,449,9,2024-06-08,INV-000449,2024-06-07,DC-000449,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
450,GRN-2024-0450,450,10,2024-05-30,INV-000450,2024-05-29,DC-000450,7,Electrical Store,Yes,Accepted,Generated goods receipt.
451,GRN-2024-0451,451,11,2024-05-26,INV-000451,2024-05-25,DC-000451,8,Central Stores,Yes,Accepted,Generated goods receipt.
452,GRN-2024-0452,452,12,2024-06-02,INV-000452,2024-06-01,DC-000452,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
453,GRN-2024-0453,453,13,2024-05-25,INV-000453,2024-05-24,DC-000453,10,Electrical Store,Yes,Accepted,Generated goods receipt.
454,GRN-2024-0454,454,14,2024-06-04,INV-000454,2024-06-03,DC-000454,11,Central Stores,Yes,Accepted,Generated goods receipt.
455,GRN-2024-0455,455,15,2024-06-07,INV-000455,2024-06-06,DC-000455,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
456,GRN-2024-0456,456,16,2024-06-08,INV-000456,2024-06-07,DC-000456,13,Electrical Store,Yes,Accepted,Generated goods receipt.
457,GRN-2024-0457,457,17,2024-06-09,INV-000457,2024-06-08,DC-000457,1,Central Stores,Yes,Accepted,Generated goods receipt.
458,GRN-2024-0458,458,18,2024-06-03,INV-000458,2024-06-02,DC-000458,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
459,GRN-2024-0459,459,19,2024-05-28,INV-000459,2024-05-27,DC-000459,4,Electrical Store,Yes,Accepted,Generated goods receipt.
460,GRN-2024-0460,460,20,2024-06-11,INV-000460,2024-06-10,DC-000460,5,Central Stores,Yes,Accepted,Generated goods receipt.
461,GRN-2024-0461,461,21,2024-05-29,INV-000461,2024-05-28,DC-000461,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
462,GRN-2024-0462,462,22,2024-06-01,INV-000462,2024-05-31,DC-000462,7,Electrical Store,Yes,Accepted,Generated goods receipt.
463,GRN-2024-0463,463,23,2024-06-07,INV-000463,2024-06-06,DC-000463,8,Central Stores,Yes,Accepted,Generated goods receipt.
464,GRN-2024-0464,464,24,2024-06-08,INV-000464,2024-06-07,DC-000464,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
465,GRN-2024-0465,465,25,2024-06-15,INV-000465,2024-06-14,DC-000465,10,Electrical Store,Yes,Accepted,Generated goods receipt.
466,GRN-2024-0466,466,26,2024-06-02,INV-000466,2024-06-01,DC-000466,11,Central Stores,Yes,Accepted,Generated goods receipt.
467,GRN-2024-0467,467,27,2024-06-11,INV-000467,2024-06-10,DC-000467,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
468,GRN-2024-0468,468,28,2024-06-07,INV-000468,2024-06-06,DC-000468,13,Electrical Store,Yes,Accepted,Generated goods receipt.
469,GRN-2024-0469,469,29,2024-06-06,INV-000469,2024-06-05,DC-000469,1,Central Stores,Yes,Accepted,Generated goods receipt.
470,GRN-2024-0470,470,30,2024-06-11,INV-000470,2024-06-10,DC-000470,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
471,GRN-2024-0471,471,31,2024-06-06,INV-000471,2024-06-05,DC-000471,4,Electrical Store,Yes,Accepted,Generated goods receipt.
472,GRN-2024-0472,472,32,2024-06-13,INV-000472,2024-06-12,DC-000472,5,Central Stores,Yes,Accepted,Generated goods receipt.
473,GRN-2024-0473,473,33,2024-06-13,INV-000473,2024-06-12,DC-000473,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
474,GRN-2024-0474,474,34,2024-06-06,INV-000474,2024-06-05,DC-000474,7,Electrical Store,Yes,Accepted,Generated goods receipt.
475,GRN-2024-0475,475,35,2024-06-07,INV-000475,2024-06-06,DC-000475,8,Central Stores,Yes,Accepted,Generated goods receipt.
476,GRN-2024-0476,476,1,2024-06-02,INV-000476,2024-06-01,DC-000476,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
477,GRN-2024-0477,477,2,2024-06-16,INV-000477,2024-06-15,DC-000477,10,Electrical Store,Yes,Accepted,Generated goods receipt.
478,GRN-2024-0478,478,3,2024-06-12,INV-000478,2024-06-11,DC-000478,11,Central Stores,Yes,Accepted,Generated goods receipt.
479,GRN-2024-0479,479,4,2024-06-08,INV-000479,2024-06-07,DC-000479,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
480,GRN-2024-0480,480,5,2024-06-09,INV-000480,2024-06-08,DC-000480,13,Electrical Store,Yes,Accepted,Generated goods receipt.
481,GRN-2024-0481,481,6,2024-06-14,INV-000481,2024-06-13,DC-000481,1,Central Stores,Yes,Accepted,Generated goods receipt.
482,GRN-2024-0482,482,7,2024-06-12,INV-000482,2024-06-11,DC-000482,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
483,GRN-2024-0483,483,8,2024-06-06,INV-000483,2024-06-05,DC-000483,4,Electrical Store,Yes,Accepted,Generated goods receipt.
484,GRN-2024-0484,484,9,2024-06-06,INV-000484,2024-06-05,DC-000484,5,Central Stores,Yes,Accepted,Generated goods receipt.
485,GRN-2024-0485,485,10,2024-06-13,INV-000485,2024-06-12,DC-000485,6,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
486,GRN-2024-0486,486,11,2024-06-12,INV-000486,2024-06-11,DC-000486,7,Electrical Store,Yes,Accepted,Generated goods receipt.
487,GRN-2024-0487,487,12,2024-06-07,INV-000487,2024-06-06,DC-000487,8,Central Stores,Yes,Accepted,Generated goods receipt.
488,GRN-2024-0488,488,13,2024-06-09,INV-000488,2024-06-08,DC-000488,9,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
489,GRN-2024-0489,489,14,2024-06-21,INV-000489,2024-06-20,DC-000489,10,Electrical Store,Yes,Accepted,Generated goods receipt.
490,GRN-2024-0490,490,15,2024-06-09,INV-000490,2024-06-08,DC-000490,11,Central Stores,Yes,Accepted,Generated goods receipt.
491,GRN-2024-0491,491,16,2024-06-04,INV-000491,2024-06-03,DC-000491,12,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
492,GRN-2024-0492,492,17,2024-06-13,INV-000492,2024-06-12,DC-000492,13,Electrical Store,Yes,Accepted,Generated goods receipt.
493,GRN-2024-0493,493,18,2024-06-13,INV-000493,2024-06-12,DC-000493,1,Central Stores,Yes,Accepted,Generated goods receipt.
494,GRN-2024-0494,494,19,2024-06-20,INV-000494,2024-06-19,DC-000494,3,Raw Material Warehouse,Yes,Accepted,Generated goods receipt.
495,GRN-2024-0495,495,20,2024-06-23,INV-000495,2024-06-22,DC-000495,4,Electrical Store,Yes,Accepted,Generated goods receipt.
