pr_id,pr_number,requested_by,department_id,pr_date,required_date,remarks,status,approved_by,approved_date
246,PR-2024-0246,13,6,2024-04-30,2024-05-04,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-01
247,PR-2024-0247,1,1,2024-04-30,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-01
248,PR-2024-0248,3,2,2024-05-01,2024-05-12,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-02
249,PR-2024-0249,4,2,2024-05-01,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-02
250,PR-2024-0250,5,1,2024-05-01,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-02
251,PR-2024-0251,6,3,2024-05-01,2024-05-04,Generated material requisition for EV motor manufacturing.,Converted to PO,9,2024-05-02
252,PR-2024-0252,7,3,2024-05-02,2024-05-14,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-03
253,PR-2024-0253,8,4,2024-05-03,2024-05-22,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-04
254,PR-2024-0254,9,4,2024-05-03,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-04
255,PR-2024-0255,10,5,2024-05-04,2024-05-11,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-05
256,PR-2024-0256,11,5,2024-05-04,2024-05-24,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-05
257,PR-2024-0257,12,6,2024-05-04,2024-05-08,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-05
258,PR-2024-0258,13,6,2024-05-04,2024-05-15,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-05
259,PR-2024-0259,1,1,2024-05-04,2024-05-16,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-05
260,PR-2024-0260,3,2,2024-05-04,2024-05-15,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-05
261,PR-2024-0261,4,2,2024-05-05,2024-05-24,Generated material requisition for EV motor manufacturing.,Converted to PO,7,2024-05-06
262,PR-2024-0262,5,1,2024-05-05,2024-05-15,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-06
263,PR-2024-0263,6,3,2024-05-05,2024-05-25,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-06
264,PR-2024-0264,7,3,2024-05-06,2024-05-10,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-07
265,PR-2024-0265,8,4,2024-05-06,2024-05-22,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-07
266,PR-2024-0266,9,4,2024-05-06,2024-05-19,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-07
267,PR-2024-0267,10,5,2024-05-06,2024-05-13,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-07
268,PR-2024-0268,11,5,2024-05-07,2024-05-14,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-08
269,PR-2024-0269,12,6,2024-05-07,2024-05-22,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-08
270,PR-2024-0270,13,6,2024-05-07,2024-05-21,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-08
271,PR-2024-0271,1,1,2024-05-07,2024-05-21,Generated material requisition for EV motor manufacturing.,Converted to PO,5,2024-05-08
272,PR-2024-0272,3,2,2024-05-07,2024-05-10,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-08
273,PR-2024-0273,4,2,2024-05-07,2024-05-20,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-08
274,PR-2024-0274,5,1,2024-05-07,2024-05-27,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-08
275,PR-2024-0275,6,3,2024-05-08,2024-05-11,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-09
276,PR-2024-0276,7,3,2024-05-08,2024-05-19,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-09
277,PR-2024-0277,8,4,2024-05-09,2024-05-20,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-10
278,PR-2024-0278,9,4,2024-05-09,2024-05-28,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-10
279,PR-2024-0279,10,5,2024-05-10,2024-05-18,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-11
280,PR-2024-0280,11,5,2024-05-10,2024-05-21,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-11
281,PR-2024-0281,12,6,2024-05-11,2024-05-26,Generated material requisition for EV motor manufacturing.,Converted to PO,3,2024-05-12
282,PR-2024-0282,13,6,2024-05-11,2024-05-15,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-12
283,PR-2024-0283,1,1,2024-05-11,2024-05-28,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-12
284,PR-2024-0284,3,2,2024-05-11,2024-05-28,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-12
285,PR-2024-0285,4,2,2024-05-12,2024-05-27,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-13
286,PR-2024-0286,5,1,2024-05-12,2024-05-26,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-13
287,PR-2024-0287,6,3,2024-05-12,2024-05-28,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-13
288,PR-2024-0288,7,3,2024-05-12,2024-05-29,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-13
289,PR-2024-0289,8,4,2024-05-12,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-13
290,PR-2024-0290,9,4,2024-05-13,2024-05-23,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-14
291,PR-2024-0291,10,5,2024-05-13,2024-05-24,Generated material requisition for EV motor manufacturing.,Converted to PO,13,2024-05-14
292,PR-2024-0292,11,5,2024-05-13,2024-05-27,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-14
293,PR-2024-0293,12,6,2024-05-13,2024-05-19,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-14
294,PR-2024-0294,13,6,2024-05-13,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-14
295,PR-2024-0295,1,1,2024-05-14,2024-05-30,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-15
296,PR-2024-0296,3,2,2024-05-14,2024-05-28,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-15
297,PR-2024-0297,4,2,2024-05-14,2024-05-22,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-15
298,PR-2024-0298,5,1,2024-05-14,2024-05-23,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-15
299,PR-2024-0299,6,3,2024-05-15,2024-05-25,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-16
300,PR-2024-0300,7,3,2024-05-15,2024-05-29,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-16
301,PR-2024-0301,8,4,2024-05-16,2024-06-02,Generated material requisition for EV motor manufacturing.,Converted to PO,11,2024-05-17
302,PR-2024-0302,9,4,2024-05-16,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-17
303,PR-2024-0303,10,5,2024-05-16,2024-06-04,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-17
304,PR-2024-0304,11,5,2024-05-16,2024-06-05,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-17
305,PR-2024-0305,12,6,2024-05-16,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-17
306,PR-2024-0306,13,6,2024-05-17,2024-05-26,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-18
307,PR-2024-0307,1,1,2024-05-17,2024-05-30,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-18
308,PR-2024-0308,3,2,2024-05-18,2024-05-28,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-19
309,PR-2024-0309,4,2,2024-05-18,2024-06-01,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-19
310,PR-2024-0310,5,1,2024-05-18,2024-06-04,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-19
311,PR-2024-0311,6,3,2024-05-18,2024-05-27,Generated material requisition for EV motor manufacturing.,Converted to PO,9,2024-05-19
312,PR-2024-0312,7,3,2024-05-19,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-20
313,PR-2024-0313,8,4,2024-05-20,2024-05-23,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-21
314,PR-2024-0314,9,4,2024-05-20,2024-06-05,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-21
315,PR-2024-0315,10,5,2024-05-20,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-21
316,PR-2024-0316,11,5,2024-05-20,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-21
317,PR-2024-0317,12,6,2024-05-20,2024-06-01,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-21
318,PR-2024-0318,13,6,2024-05-21,2024-05-27,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-22
319,PR-2024-0319,1,1,2024-05-21,2024-06-03,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-22
320,PR-2024-0320,3,2,2024-05-21,2024-06-06,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-22
321,PR-2024-0321,4,2,2024-05-22,2024-05-31,Generated material requisition for EV motor manufacturing.,Converted to PO,7,2024-05-23
322,PR-2024-0322,5,1,2024-05-22,2024-05-27,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-23
323,PR-2024-0323,6,3,2024-05-22,2024-05-31,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-23
324,PR-2024-0324,7,3,2024-05-23,2024-05-29,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-24
325,PR-2024-0325,8,4,2024-05-23,2024-06-01,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-24
326,PR-2024-0326,9,4,2024-05-24,2024-06-07,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-25
327,PR-2024-0327,10,5,2024-05-24,2024-05-29,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-25
328,PR-2024-0328,11,5,2024-05-24,2024-06-09,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-25
329,PR-2024-0329,12,6,2024-05-25,2024-06-01,Generated material requisition for EV motor manufacturing.,Approved,3,2024-05-26
330,PR-2024-0330,13,6,2024-05-25,2024-06-13,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-26
331,PR-2024-0331,1,1,2024-05-25,2024-06-10,Generated material requisition for EV motor manufacturing.,Converted to PO,5,2024-05-26
332,PR-2024-0332,3,2,2024-05-25,2024-06-01,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-26
333,PR-2024-0333,4,2,2024-05-26,2024-06-08,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-27
334,PR-2024-0334,5,1,2024-05-26,2024-05-30,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-27
335,PR-2024-0335,6,3,2024-05-26,2024-05-30,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-27
336,PR-2024-0336,7,3,2024-05-26,2024-06-15,Generated material requisition for EV motor manufacturing.,Approved,10,2024-05-27
337,PR-2024-0337,8,4,2024-05-26,2024-06-12,Generated material requisition for EV motor manufacturing.,Approved,11,2024-05-27
338,PR-2024-0338,9,4,2024-05-27,2024-06-01,Generated material requisition for EV motor manufacturing.,Approved,12,2024-05-28
339,PR-2024-0339,10,5,2024-05-27,2024-06-04,Generated material requisition for EV motor manufacturing.,Approved,13,2024-05-28
340,PR-2024-0340,11,5,2024-05-28,2024-06-03,Generated material requisition for EV motor manufacturing.,Approved,1,2024-05-29
341,PR-2024-0341,12,6,2024-05-28,2024-06-07,Generated material requisition for EV motor manufacturing.,Converted to PO,3,2024-05-29
342,PR-2024-0342,13,6,2024-05-28,2024-06-05,Generated material requisition for EV motor manufacturing.,Approved,4,2024-05-29
343,PR-2024-0343,1,1,2024-05-29,2024-06-06,Generated material requisition for EV motor manufacturing.,Approved,5,2024-05-30
344,PR-2024-0344,3,2,2024-05-30,2024-06-11,Generated material requisition for EV motor manufacturing.,Approved,6,2024-05-31
345,PR-2024-0345,4,2,2024-05-30,2024-06-05,Generated material requisition for EV motor manufacturing.,Approved,7,2024-05-31
346,PR-2024-0346,5,1,2024-05-30,2024-06-17,Generated material requisition for EV motor manufacturing.,Approved,8,2024-05-31
347,PR-2024-0347,6,3,2024-05-30,2024-06-15,Generated material requisition for EV motor manufacturing.,Approved,9,2024-05-31
348,PR-2024-0348,7,3,2024-05-31,2024-06-16,Generated material requisition for EV motor manufacturing.,Approved,10,2024-06-01
349,PR-2024-0349,8,4,2024-05-31,2024-06-06,Generated material requisition for EV motor manufacturing.,Approved,11,2024-06-01
350,PR-2024-0350,9,4,2024-06-01,2024-06-16,Generated material requisition for EV motor manufacturing.,Approved,12,2024-06-02
351,PR-2024-0351,10,5,2024-06-02,2024-06-20,Generated material requisition for EV motor manufacturing.,Converted to PO,13,2024-06-03
352,PR-2024-0352,11,5,2024-06-02,2024-06-08,Generated material requisition for EV motor manufacturing.,Approved,1,2024-06-03
353,PR-2024-0353,12,6,2024-06-03,2024-06-19,Generated material requisition for EV motor manufacturing.,Approved,3,2024-06-04
354,PR-2024-0354,13,6,2024-06-03,2024-06-12,Generated material requisition for EV motor manufacturing.,Approved,4,2024-06-04
355,PR-2024-0355,1,1,2024-06-03,2024-06-20,Generated material requisition for EV motor manufacturing.,Approved,5,2024-06-04
356,PR-2024-0356,3,2,2024-06-04,2024-06-15,Generated material requisition for EV motor manufacturing.,Approved,6,2024-06-05
357,PR-2024-0357,4,2,2024-06-05,2024-06-22,Generated material requisition for EV motor manufacturing.,Approved,7,2024-06-06
358,PR-2024-0358,5,1,2024-06-05,2024-06-10,Generated material requisition for EV motor manufacturing.,Approved,8,2024-06-06
359,PR-2024-0359,6,3,2024-06-05,2024-06-15,Generated material requisition for EV motor manufacturing.,Approved,9,2024-06-06
360,PR-2024-0360,7,3,2024-06-05,2024-06-12,Generated material requisition for EV motor manufacturing.,Approved,10,2024-06-06
361,PR-2024-0361,8,4,2024-06-06,2024-06-13,Generated material requisition for EV motor manufacturing.,Converted to PO,11,2024-06-07
362,PR-2024-0362,9,4,2024-06-06,2024-06-14,Generated material requisition for EV motor manufacturing.,Approved,12,2024-06-07
363,PR-2024-0363,10,5,2024-06-07,2024-06-16,Generated material requisition for EV motor manufacturing.,Approved,13,2024-06-08
364,PR-2024-0364,11,5,2024-06-07,2024-06-12,Generated material requisition for EV motor manufacturing.,Approved,1,2024-06-08
365,PR-2024-0365,12,6,2024-06-08,2024-06-23,Generated material requisition for EV motor manufacturing.,Approved,3,2024-06-09
366,PR-2024-0366,13,6,2024-06-08,2024-06-20,Generated material requisition for EV motor manufacturing.,Approved,4,2024-06-09
367,PR-2024-0367,1,1,2024-06-09,2024-06-26,Generated material requisition for EV motor manufacturing.,Approved,5,2024-06-10
368,PR-2024-0368,3,2,2024-06-09,2024-06-24,Generated material requisition for EV motor manufacturing.,Approved,6,2024-06-10
369,PR-2024-0369,4,2,2024-06-09,2024-06-14,Generated material requisition for EV motor manufacturing.,Approved,7,2024-06-10
370,PR-2024-0370,5,1,2024-06-09,2024-06-13,Generated material requisition for EV motor manufacturing.,Approved,8,2024-06-10
371,PR-2024-0371,6,3,2024-06-09,2024-06-19,Generated material requisition for EV motor manufacturing.,Converted to PO,9,2024-06-10
372,PR-2024-0372,7,3,2024-06-09,2024-06-20,Generated material requisition for EV motor manufacturing.,Approved,10,2024-06-10
373,PR-2024-0373,8,4,2024-06-10,2024-06-17,Generated material requisition for EV motor manufacturing.,Approved,11,2024-06-11
374,PR-2024-0374,9,4,2024-06-10,2024-06-27,Generated material requisition for EV motor manufacturing.,Approved,12,2024-06-11
375,PR-2024-0375,10,5,2024-06-10,2024-06-23,Generated material requisition for EV motor manufacturing.,Approved,13,2024-06-11
376,PR-2024-0376,11,5,2024-06-10,2024-06-26,Generated material requisition for EV motor manufacturing.,Approved,1,2024-06-11
