bom_consumption_id,production_order_item_id,finished_item_id,consumed_item_id,planned_quantity,issued_quantity,actual_consumed_quantity,returned_quantity,wastage_quantity,uom,warehouse_location,batch_number,consumption_date,consumed_by,transaction_status,remarks
3064,337,100,84,500.000,510.000,500.000,0.000,10.000,ml,Production Issue Store,BC-0003064,2024-04-17,3,Consumed,Generated BOM consumption from active BOM.
3065,338,101,84,3300.000,3366.000,3300.000,0.000,66.000,ml,Production Issue Store,BC-0003065,2024-04-17,3,Consumed,Generated BOM consumption from active BOM.
3066,338,101,85,330.000,336.600,330.000,0.000,6.600,g,Production Issue Store,BC-0003066,2024-04-17,4,Consumed,Generated BOM consumption from active BOM.
3067,339,102,85,460.000,469.200,460.000,0.000,9.200,g,Production Issue Store,BC-0003067,2024-04-21,4,Consumed,Generated BOM consumption from active BOM.
3068,339,102,86,230.000,234.600,230.000,0.000,4.600,g,Production Issue Store,BC-0003068,2024-04-21,5,Consumed,Generated BOM consumption from active BOM.
3069,340,100,86,230.000,234.600,230.000,0.000,4.600,g,Production Issue Store,BC-0003069,2024-04-20,5,Consumed,Generated BOM consumption from active BOM.
3070,340,100,87,460.000,469.200,460.000,0.000,9.200,g,Production Issue Store,BC-0003070,2024-04-20,6,Consumed,Generated BOM consumption from active BOM.
3071,341,101,87,165.000,168.300,165.000,0.000,3.300,g,Production Issue Store,BC-0003071,2024-04-21,6,Consumed,Generated BOM consumption from active BOM.
3072,341,101,94,11.000,11.220,11.000,0.000,0.220,No,Production Issue Store,BC-0003072,2024-04-21,7,Consumed,Generated BOM consumption from active BOM.
3073,342,102,94,58.000,59.160,58.000,0.000,1.160,No,Production Issue Store,BC-0003073,2024-04-22,7,Consumed,Generated BOM consumption from active BOM.
3074,342,102,95,58.000,59.160,58.000,0.000,1.160,No,Production Issue Store,BC-0003074,2024-04-22,8,Consumed,Generated BOM consumption from active BOM.
3075,343,100,95,12.000,12.240,12.000,0.000,0.240,No,Production Issue Store,BC-0003075,2024-04-21,8,Consumed,Generated BOM consumption from active BOM.
3076,343,100,96,12.000,12.240,12.000,0.000,0.240,No,Production Issue Store,BC-0003076,2024-04-21,9,Consumed,Generated BOM consumption from active BOM.
3077,344,101,96,40.000,40.800,40.000,0.000,0.800,No,Production Issue Store,BC-0003077,2024-04-17,9,Consumed,Generated BOM consumption from active BOM.
3078,344,101,97,40.000,40.800,40.000,0.000,0.800,No,Production Issue Store,BC-0003078,2024-04-17,10,Consumed,Generated BOM consumption from active BOM.
3079,345,102,97,4.000,4.080,4.000,0.000,0.080,No,Production Issue Store,BC-0003079,2024-04-23,10,Consumed,Generated BOM consumption from active BOM.
3080,345,102,88,4.000,4.080,4.000,0.000,0.080,No,Production Issue Store,BC-0003080,2024-04-23,11,Consumed,Generated BOM consumption from active BOM.
3081,346,100,88,51.000,52.020,51.000,0.000,1.020,No,Production Issue Store,BC-0003081,2024-04-22,11,Consumed,Generated BOM consumption from active BOM.
3082,346,100,89,102.000,104.040,102.000,0.000,2.040,No,Production Issue Store,BC-0003082,2024-04-22,12,Consumed,Generated BOM consumption from active BOM.
3083,347,101,89,82.000,83.640,82.000,0.000,1.640,No,Production Issue Store,BC-0003083,2024-04-22,12,Consumed,Generated BOM consumption from active BOM.
3084,347,101,90,41.000,41.820,41.000,0.000,0.820,Sheet,Production Issue Store,BC-0003084,2024-04-22,13,Consumed,Generated BOM consumption from active BOM.
3085,348,102,90,100.000,102.000,100.000,0.000,2.000,sheets,Production Issue Store,BC-0003085,2024-04-25,13,Consumed,Generated BOM consumption from active BOM.
3086,348,102,91,50.000,51.000,50.000,0.000,1.000,No,Production Issue Store,BC-0003086,2024-04-25,1,Consumed,Generated BOM consumption from active BOM.
3087,349,100,91,55.000,56.100,55.000,0.000,1.100,No,Production Issue Store,BC-0003087,2024-04-20,1,Consumed,Generated BOM consumption from active BOM.
3088,349,100,92,55.000,56.100,55.000,0.000,1.100,m,Production Issue Store,BC-0003088,2024-04-20,3,Consumed,Generated BOM consumption from active BOM.
3089,350,101,92,58.800,59.976,58.800,0.000,1.176,m,Production Issue Store,BC-0003089,2024-04-24,3,Consumed,Generated BOM consumption from active BOM.
3090,350,101,93,49.000,49.980,49.000,0.000,0.980,No,Production Issue Store,BC-0003090,2024-04-24,4,Consumed,Generated BOM consumption from active BOM.
3091,351,102,93,78.000,79.560,78.000,0.000,1.560,No,Production Issue Store,BC-0003091,2024-04-25,4,Consumed,Generated BOM consumption from active BOM.
3092,351,102,98,39.000,39.780,39.000,0.000,0.780,No,Production Issue Store,BC-0003092,2024-04-25,5,Consumed,Generated BOM consumption from active BOM.
3093,352,100,98,49.000,49.980,49.000,0.000,0.980,No,Production Issue Store,BC-0003093,2024-04-26,5,Consumed,Generated BOM consumption from active BOM.
3094,352,100,99,49.000,49.980,49.000,0.000,0.980,No,Production Issue Store,BC-0003094,2024-04-26,6,Consumed,Generated BOM consumption from active BOM.
3095,353,101,99,10.000,10.200,10.000,0.000,0.200,No,Production Issue Store,BC-0003095,2024-04-28,6,Consumed,Generated BOM consumption from active BOM.
3096,353,101,2,10.000,10.200,10.000,0.000,0.200,No,Production Issue Store,BC-0003096,2024-04-28,7,Consumed,Generated BOM consumption from active BOM.
3097,354,102,2,40.000,40.800,40.000,0.000,0.800,No,Production Issue Store,BC-0003097,2024-04-26,7,Consumed,Generated BOM consumption from active BOM.
3098,354,102,6,40.000,40.800,40.000,0.000,0.800,No,Production Issue Store,BC-0003098,2024-04-26,8,Consumed,Generated BOM consumption from active BOM.
3099,355,100,4,59.000,60.180,59.000,0.000,1.180,No,Production Issue Store,BC-0003099,2024-04-28,8,Consumed,Generated BOM consumption from active BOM.
3100,355,100,7,472.000,481.440,472.000,0.000,9.440,No,Production Issue Store,BC-0003100,2024-04-28,9,Consumed,Generated BOM consumption from active BOM.
3101,356,101,8,250.000,255.000,250.000,0.000,5.000,No,Production Issue Store,BC-0003101,2024-04-25,9,Consumed,Generated BOM consumption from active BOM.
3102,356,101,11,25.000,25.500,25.000,0.000,0.500,No,Production Issue Store,BC-0003102,2024-04-25,10,Consumed,Generated BOM consumption from active BOM.
3103,357,102,12,60.000,61.200,60.000,0.000,1.200,No,Production Issue Store,BC-0003103,2024-04-24,10,Consumed,Generated BOM consumption from active BOM.
3104,357,102,15,60.000,61.200,60.000,0.000,1.200,No,Production Issue Store,BC-0003104,2024-04-24,11,Consumed,Generated BOM consumption from active BOM.
3105,358,100,13,32.000,32.640,32.000,0.000,0.640,No,Production Issue Store,BC-0003105,2024-04-28,11,Consumed,Generated BOM consumption from active BOM.
3106,358,100,16,32.000,32.640,32.000,0.000,0.640,No,Production Issue Store,BC-0003106,2024-04-28,12,Consumed,Generated BOM consumption from active BOM.
3107,359,101,17,32.000,32.640,32.000,0.000,0.640,No,Production Issue Store,BC-0003107,2024-04-28,12,Consumed,Generated BOM consumption from active BOM.
3108,359,101,19,32.000,32.640,32.000,0.000,0.640,No,Production Issue Store,BC-0003108,2024-04-28,13,Consumed,Generated BOM consumption from active BOM.
3109,360,102,19,19.000,19.380,19.000,0.000,0.380,No,Production Issue Store,BC-0003109,2024-04-29,13,Consumed,Generated BOM consumption from active BOM.
3110,360,102,20,19.000,19.380,19.000,0.000,0.380,No,Production Issue Store,BC-0003110,2024-04-29,1,Consumed,Generated BOM consumption from active BOM.
3111,361,100,20,9.000,9.180,9.000,0.000,0.180,No,Production Issue Store,BC-0003111,2024-04-26,1,Consumed,Generated BOM consumption from active BOM.
3112,361,100,23,18.000,18.360,18.000,0.000,0.360,No,Production Issue Store,BC-0003112,2024-04-26,3,Consumed,Generated BOM consumption from active BOM.
3113,362,101,24,104.000,106.080,104.000,0.000,2.080,No,Production Issue Store,BC-0003113,2024-04-24,3,Consumed,Generated BOM consumption from active BOM.
3114,362,101,21,52.000,53.040,52.000,0.000,1.040,No,Production Issue Store,BC-0003114,2024-04-24,4,Consumed,Generated BOM consumption from active BOM.
3115,363,102,21,44.000,44.880,44.000,0.000,0.880,No,Production Issue Store,BC-0003115,2024-04-24,4,Consumed,Generated BOM consumption from active BOM.
3116,363,102,78,88.000,89.760,88.000,0.000,1.760,No,Production Issue Store,BC-0003116,2024-04-24,5,Consumed,Generated BOM consumption from active BOM.
3117,364,100,78,25.000,25.500,25.000,0.000,0.500,No,Production Issue Store,BC-0003117,2024-04-26,5,Consumed,Generated BOM consumption from active BOM.
3118,364,100,79,25.000,25.500,25.000,0.000,0.500,No,Production Issue Store,BC-0003118,2024-04-26,6,Consumed,Generated BOM consumption from active BOM.
3119,365,101,79,112.000,114.240,112.000,0.000,2.240,No,Production Issue Store,BC-0003119,2024-04-30,6,Consumed,Generated BOM consumption from active BOM.
3120,365,101,26,112.000,114.240,112.000,0.000,2.240,No,Production Issue Store,BC-0003120,2024-04-30,7,Consumed,Generated BOM consumption from active BOM.
3121,366,102,26,30.000,30.600,30.000,0.000,0.600,No,Production Issue Store,BC-0003121,2024-04-30,7,Consumed,Generated BOM consumption from active BOM.
3122,366,102,27,30.000,30.600,30.000,0.000,0.600,No,Production Issue Store,BC-0003122,2024-04-30,8,Consumed,Generated BOM consumption from active BOM.
3123,367,100,27,47.000,47.940,47.000,0.000,0.940,No,Production Issue Store,BC-0003123,2024-05-02,8,Consumed,Generated BOM consumption from active BOM.
3124,367,100,29,84.600,86.292,84.600,0.000,1.692,kg,Production Issue Store,BC-0003124,2024-05-02,9,Consumed,Generated BOM consumption from active BOM.
3125,368,101,30,99.200,101.184,99.200,0.000,1.984,kg,Production Issue Store,BC-0003125,2024-04-27,9,Consumed,Generated BOM consumption from active BOM.
3126,368,101,33,124.000,126.480,124.000,0.000,2.480,m,Production Issue Store,BC-0003126,2024-04-27,10,Consumed,Generated BOM consumption from active BOM.
3127,369,102,34,200.000,204.000,200.000,0.000,4.000,m,Production Issue Store,BC-0003127,2024-05-03,10,Consumed,Generated BOM consumption from active BOM.
3128,369,102,35,40.000,40.800,40.000,0.000,0.800,No,Production Issue Store,BC-0003128,2024-05-03,11,Consumed,Generated BOM consumption from active BOM.
3129,370,100,35,7.000,7.140,7.000,0.000,0.140,No,Production Issue Store,BC-0003129,2024-04-27,11,Consumed,Generated BOM consumption from active BOM.
3130,370,100,38,21.000,21.420,21.000,0.000,0.420,No,Production Issue Store,BC-0003130,2024-04-27,12,Consumed,Generated BOM consumption from active BOM.
3131,371,101,38,120.000,122.400,120.000,0.000,2.400,No,Production Issue Store,BC-0003131,2024-04-28,12,Consumed,Generated BOM consumption from active BOM.
3132,371,101,56,1440.000,1468.800,1440.000,0.000,28.800,No,Production Issue Store,BC-0003132,2024-04-28,13,Consumed,Generated BOM consumption from active BOM.
3133,372,102,57,2112.000,2154.240,2112.000,0.000,42.240,No,Production Issue Store,BC-0003133,2024-04-28,13,Consumed,Generated BOM consumption from active BOM.
3134,372,102,58,2112.000,2154.240,2112.000,0.000,42.240,No,Production Issue Store,BC-0003134,2024-04-28,1,Consumed,Generated BOM consumption from active BOM.
3135,373,100,58,1416.000,1444.320,1416.000,0.000,28.320,No,Production Issue Store,BC-0003135,2024-05-01,1,Consumed,Generated BOM consumption from active BOM.
3136,373,100,59,1416.000,1444.320,1416.000,0.000,28.320,No,Production Issue Store,BC-0003136,2024-05-01,3,Consumed,Generated BOM consumption from active BOM.
3137,374,101,59,828.000,844.560,828.000,0.000,16.560,No,Production Issue Store,BC-0003137,2024-04-29,3,Consumed,Generated BOM consumption from active BOM.
3138,374,101,61,18.400,18.768,18.400,0.000,0.368,m,Production Issue Store,BC-0003138,2024-04-29,4,Consumed,Generated BOM consumption from active BOM.
3139,375,102,62,9.000,9.180,9.000,0.000,0.180,m,Production Issue Store,BC-0003139,2024-05-03,4,Consumed,Generated BOM consumption from active BOM.
3140,375,102,41,9.000,9.180,9.000,0.000,0.180,No,Production Issue Store,BC-0003140,2024-05-03,5,Consumed,Generated BOM consumption from active BOM.
3141,376,100,39,27.000,27.540,27.000,0.000,0.540,No,Production Issue Store,BC-0003141,2024-05-04,5,Consumed,Generated BOM consumption from active BOM.
3142,376,100,40,9.000,9.180,9.000,0.000,0.180,No,Production Issue Store,BC-0003142,2024-05-04,6,Consumed,Generated BOM consumption from active BOM.
3143,377,101,43,12.000,12.240,12.000,0.000,0.240,No,Production Issue Store,BC-0003143,2024-05-03,6,Consumed,Generated BOM consumption from active BOM.
3144,377,101,45,12.000,12.240,12.000,0.000,0.240,No,Production Issue Store,BC-0003144,2024-05-03,7,Consumed,Generated BOM consumption from active BOM.
3145,378,102,46,20.000,20.400,20.000,0.000,0.400,No,Production Issue Store,BC-0003145,2024-05-05,7,Consumed,Generated BOM consumption from active BOM.
3146,378,102,47,20.000,20.400,20.000,0.000,0.400,Set,Production Issue Store,BC-0003146,2024-05-05,8,Consumed,Generated BOM consumption from active BOM.
3147,379,100,47,50.000,51.000,50.000,0.000,1.000,Set,Production Issue Store,BC-0003147,2024-05-08,8,Consumed,Generated BOM consumption from active BOM.
3148,379,100,49,50.000,51.000,50.000,0.000,1.000,No,Production Issue Store,BC-0003148,2024-05-08,9,Consumed,Generated BOM consumption from active BOM.
3149,380,101,50,14.000,14.280,14.000,0.000,0.280,No,Production Issue Store,BC-0003149,2024-05-07,9,Consumed,Generated BOM consumption from active BOM.
3150,380,101,53,84.000,85.680,84.000,0.000,1.680,No,Production Issue Store,BC-0003150,2024-05-07,10,Consumed,Generated BOM consumption from active BOM.
3151,381,102,54,96.000,97.920,96.000,0.000,1.920,No,Production Issue Store,BC-0003151,2024-05-02,10,Consumed,Generated BOM consumption from active BOM.
3152,381,102,65,144.000,146.880,144.000,0.000,2.880,No,Production Issue Store,BC-0003152,2024-05-02,11,Consumed,Generated BOM consumption from active BOM.
3153,382,100,63,56.000,57.120,56.000,0.000,1.120,No,Production Issue Store,BC-0003153,2024-05-07,11,Consumed,Generated BOM consumption from active BOM.
3154,382,100,66,56.000,57.120,56.000,0.000,1.120,No,Production Issue Store,BC-0003154,2024-05-07,12,Consumed,Generated BOM consumption from active BOM.
3155,383,101,67,240.000,244.800,240.000,0.000,4.800,No,Production Issue Store,BC-0003155,2024-05-03,12,Consumed,Generated BOM consumption from active BOM.
3156,383,101,70,240.000,244.800,240.000,0.000,4.800,No,Production Issue Store,BC-0003156,2024-05-03,13,Consumed,Generated BOM consumption from active BOM.
3157,384,102,71,444.000,452.880,444.000,0.000,8.880,No,Production Issue Store,BC-0003157,2024-05-05,13,Consumed,Generated BOM consumption from active BOM.
3158,384,102,74,444.000,452.880,444.000,0.000,8.880,No,Production Issue Store,BC-0003158,2024-05-05,1,Consumed,Generated BOM consumption from active BOM.
3159,385,100,72,152.000,155.040,152.000,0.000,3.040,No,Production Issue Store,BC-0003159,2024-05-05,1,Consumed,Generated BOM consumption from active BOM.
3160,385,100,75,38.000,38.760,38.000,0.000,0.760,No,Production Issue Store,BC-0003160,2024-05-05,3,Consumed,Generated BOM consumption from active BOM.
3161,386,101,76,60.000,61.200,60.000,0.000,1.200,No,Production Issue Store,BC-0003161,2024-05-03,3,Consumed,Generated BOM consumption from active BOM.
3162,386,101,80,5400.000,5508.000,5400.000,0.000,108.000,ml,Production Issue Store,BC-0003162,2024-05-03,4,Consumed,Generated BOM consumption from active BOM.
3163,387,102,80,5100.000,5202.000,5100.000,0.000,102.000,ml,Production Issue Store,BC-0003163,2024-05-03,4,Consumed,Generated BOM consumption from active BOM.
3164,387,102,81,1360.000,1387.200,1360.000,0.000,27.200,g,Production Issue Store,BC-0003164,2024-05-03,5,Consumed,Generated BOM consumption from active BOM.
3165,388,100,81,1410.000,1438.200,1410.000,0.000,28.200,g,Production Issue Store,BC-0003165,2024-05-08,5,Consumed,Generated BOM consumption from active BOM.
3166,388,100,82,235.000,239.700,235.000,0.000,4.700,ml,Production Issue Store,BC-0003166,2024-05-08,6,Consumed,Generated BOM consumption from active BOM.
3167,389,101,82,32.000,32.640,32.000,0.000,0.640,ml,Production Issue Store,BC-0003167,2024-05-08,6,Consumed,Generated BOM consumption from active BOM.
3168,389,101,83,120.000,122.400,120.000,0.000,2.400,g,Production Issue Store,BC-0003168,2024-05-08,7,Consumed,Generated BOM consumption from active BOM.
3169,390,102,83,750.000,765.000,750.000,0.000,15.000,g,Production Issue Store,BC-0003169,2024-05-06,7,Consumed,Generated BOM consumption from active BOM.
3170,390,102,84,3750.000,3825.000,3750.000,0.000,75.000,ml,Production Issue Store,BC-0003170,2024-05-06,8,Consumed,Generated BOM consumption from active BOM.
