po_id,po_number,pr_id,vendor_id,department_id,po_date,expected_delivery_date,payment_terms,delivery_terms,billing_address,shipping_address,subtotal_amount,tax_amount,freight_charges,discount_amount,currency,po_status,approval_status,approved_by,approved_date,remarks
311,PO-2024-0311,161,11,6,2024-04-08,2024-04-27,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",58356.00,10504.08,1250.00,0.00,INR,Issued,Approved,4,2024-04-08,Generated purchase order from approved PR.
312,PO-2024-0312,162,12,6,2024-04-11,2024-04-26,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",431232.90,77621.92,1325.00,0.00,INR,Issued,Approved,5,2024-04-11,Generated purchase order from approved PR.
313,PO-2024-0313,163,13,1,2024-04-07,2024-04-30,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",21125.30,3802.55,1400.00,0.00,INR,Issued,Approved,6,2024-04-07,Generated purchase order from approved PR.
314,PO-2024-0314,164,14,2,2024-04-11,2024-04-29,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",38630.80,6953.54,1475.00,0.00,INR,Issued,Approved,7,2024-04-11,Generated purchase order from approved PR.
315,PO-2024-0315,165,15,2,2024-04-09,2024-04-15,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",106962.48,19253.25,1550.00,0.00,INR,Issued,Approved,8,2024-04-09,Generated purchase order from approved PR.
316,PO-2024-0316,166,16,1,2024-04-07,2024-04-15,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",149760.00,26956.80,1625.00,0.00,INR,Issued,Approved,9,2024-04-07,Generated purchase order from approved PR.
317,PO-2024-0317,167,17,3,2024-04-08,2024-04-28,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",132144.85,23786.07,1700.00,0.00,INR,Issued,Approved,10,2024-04-08,Generated purchase order from approved PR.
318,PO-2024-0318,168,18,3,2024-04-07,2024-04-30,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1007076.32,181273.74,1775.00,0.00,INR,Issued,Approved,11,2024-04-07,Generated purchase order from approved PR.
319,PO-2024-0319,169,19,4,2024-04-06,2024-04-12,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",2852.85,513.51,1850.00,0.00,INR,Issued,Approved,12,2024-04-06,Generated purchase order from approved PR.
320,PO-2024-0320,170,20,4,2024-04-12,2024-04-18,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",57717.00,10389.06,1925.00,0.00,INR,Issued,Approved,13,2024-04-12,Generated purchase order from approved PR.
321,PO-2024-0321,171,21,5,2024-04-11,2024-04-30,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",15696.00,2825.28,500.00,0.00,INR,Issued,Approved,1,2024-04-11,Generated purchase order from approved PR.
322,PO-2024-0322,172,22,5,2024-04-08,2024-04-14,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",232150.80,41787.14,575.00,0.00,INR,Issued,Approved,3,2024-04-08,Generated purchase order from approved PR.
323,PO-2024-0323,173,23,6,2024-04-09,2024-04-15,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1326640.00,238795.20,650.00,0.00,INR,Issued,Approved,4,2024-04-09,Generated purchase order from approved PR.
324,PO-2024-0324,174,24,6,2024-04-11,2024-05-02,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",2992984.50,538737.21,725.00,0.00,INR,Issued,Approved,5,2024-04-11,Generated purchase order from approved PR.
325,PO-2024-0325,175,25,1,2024-04-13,2024-05-03,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",651953.00,117351.54,800.00,0.00,INR,Issued,Approved,6,2024-04-13,Generated purchase order from approved PR.
326,PO-2024-0326,176,26,2,2024-04-13,2024-05-04,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",324645.00,58436.10,875.00,0.00,INR,Issued,Approved,7,2024-04-13,Generated purchase order from approved PR.
327,PO-2024-0327,177,27,2,2024-04-13,2024-04-30,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1584400.44,285192.08,950.00,0.00,INR,Issued,Approved,8,2024-04-13,Generated purchase order from approved PR.
328,PO-2024-0328,178,28,1,2024-04-14,2024-04-25,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",49563.60,8921.45,1025.00,0.00,INR,Issued,Approved,9,2024-04-14,Generated purchase order from approved PR.
329,PO-2024-0329,179,29,3,2024-04-10,2024-05-02,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",135985.85,24477.45,1100.00,0.00,INR,Issued,Approved,10,2024-04-10,Generated purchase order from approved PR.
330,PO-2024-0330,180,30,3,2024-04-10,2024-04-20,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",141404.00,25452.72,1175.00,0.00,INR,Issued,Approved,11,2024-04-10,Generated purchase order from approved PR.
331,PO-2024-0331,181,31,4,2024-04-10,2024-04-20,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",179330.00,32279.40,1250.00,0.00,INR,Issued,Approved,12,2024-04-10,Generated purchase order from approved PR.
332,PO-2024-0332,182,32,4,2024-04-13,2024-05-04,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",21838.12,3930.86,1325.00,0.00,INR,Issued,Approved,13,2024-04-13,Generated purchase order from approved PR.
333,PO-2024-0333,183,33,5,2024-04-09,2024-04-26,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",152337.00,27420.66,1400.00,0.00,INR,Issued,Approved,1,2024-04-09,Generated purchase order from approved PR.
334,PO-2024-0334,184,34,5,2024-04-14,2024-05-06,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",37525.95,6754.67,1475.00,0.00,INR,Issued,Approved,3,2024-04-14,Generated purchase order from approved PR.
335,PO-2024-0335,185,35,6,2024-04-15,2024-04-22,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",28100.60,5058.11,1550.00,0.00,INR,Issued,Approved,4,2024-04-15,Generated purchase order from approved PR.
336,PO-2024-0336,186,1,6,2024-04-13,2024-05-06,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",35220.00,6339.60,1625.00,0.00,INR,Issued,Approved,5,2024-04-13,Generated purchase order from approved PR.
337,PO-2024-0337,187,2,1,2024-04-16,2024-05-02,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",286595.40,51587.17,1700.00,0.00,INR,Issued,Approved,6,2024-04-16,Generated purchase order from approved PR.
338,PO-2024-0338,188,3,2,2024-04-17,2024-05-04,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",373679.88,67262.38,1775.00,0.00,INR,Issued,Approved,7,2024-04-17,Generated purchase order from approved PR.
339,PO-2024-0339,189,4,2,2024-04-12,2024-05-04,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",720109.80,129619.76,1850.00,0.00,INR,Issued,Approved,8,2024-04-12,Generated purchase order from approved PR.
340,PO-2024-0340,190,5,1,2024-04-13,2024-04-25,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",98961.60,17813.09,1925.00,0.00,INR,Issued,Approved,9,2024-04-13,Generated purchase order from approved PR.
341,PO-2024-0341,191,6,3,2024-04-14,2024-05-02,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",312300.00,56214.00,500.00,0.00,INR,Issued,Approved,10,2024-04-14,Generated purchase order from approved PR.
342,PO-2024-0342,192,7,3,2024-04-13,2024-04-30,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",516269.60,92928.53,575.00,0.00,INR,Issued,Approved,11,2024-04-13,Generated purchase order from approved PR.
343,PO-2024-0343,193,8,4,2024-04-19,2024-05-08,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",26409.20,4753.66,650.00,0.00,INR,Issued,Approved,12,2024-04-19,Generated purchase order from approved PR.
344,PO-2024-0344,194,9,4,2024-04-16,2024-05-08,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",32792.10,5902.58,725.00,0.00,INR,Issued,Approved,13,2024-04-16,Generated purchase order from approved PR.
345,PO-2024-0345,195,10,5,2024-04-16,2024-05-03,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",8236.20,1482.52,800.00,0.00,INR,Issued,Approved,1,2024-04-16,Generated purchase order from approved PR.
346,PO-2024-0346,196,11,5,2024-04-18,2024-04-24,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",46400.00,8352.00,875.00,0.00,INR,Issued,Approved,3,2024-04-18,Generated purchase order from approved PR.
347,PO-2024-0347,197,12,6,2024-04-16,2024-04-24,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",20707.25,3727.31,950.00,0.00,INR,Issued,Approved,4,2024-04-16,Generated purchase order from approved PR.
348,PO-2024-0348,198,13,6,2024-04-22,2024-05-15,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",28809.10,5185.64,1025.00,0.00,INR,Issued,Approved,5,2024-04-22,Generated purchase order from approved PR.
349,PO-2024-0349,199,14,1,2024-04-18,2024-05-11,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",15002.13,2700.38,1100.00,0.00,INR,Issued,Approved,6,2024-04-18,Generated purchase order from approved PR.
350,PO-2024-0350,200,15,2,2024-04-16,2024-05-09,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",128482.60,23126.87,1175.00,0.00,INR,Issued,Approved,7,2024-04-16,Generated purchase order from approved PR.
351,PO-2024-0351,201,16,2,2024-04-18,2024-04-23,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",170390.00,30670.20,1250.00,0.00,INR,Issued,Approved,8,2024-04-18,Generated purchase order from approved PR.
352,PO-2024-0352,202,17,1,2024-04-23,2024-05-05,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",93497.74,16829.59,1325.00,0.00,INR,Issued,Approved,9,2024-04-23,Generated purchase order from approved PR.
353,PO-2024-0353,203,18,3,2024-04-20,2024-05-09,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",5152.06,927.37,1400.00,0.00,INR,Issued,Approved,10,2024-04-20,Generated purchase order from approved PR.
354,PO-2024-0354,204,19,3,2024-04-20,2024-05-09,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",23136.66,4164.60,1475.00,0.00,INR,Issued,Approved,11,2024-04-20,Generated purchase order from approved PR.
355,PO-2024-0355,205,20,4,2024-04-20,2024-04-26,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",17829.20,3209.26,1550.00,0.00,INR,Issued,Approved,12,2024-04-20,Generated purchase order from approved PR.
356,PO-2024-0356,206,21,4,2024-04-21,2024-05-07,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",23530.00,4235.40,1625.00,0.00,INR,Issued,Approved,13,2024-04-21,Generated purchase order from approved PR.
357,PO-2024-0357,207,22,5,2024-04-20,2024-04-27,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",16211.58,2918.08,1700.00,0.00,INR,Issued,Approved,1,2024-04-20,Generated purchase order from approved PR.
358,PO-2024-0358,208,23,5,2024-04-25,2024-05-09,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",40200.90,7236.16,1775.00,0.00,INR,Issued,Approved,3,2024-04-25,Generated purchase order from approved PR.
359,PO-2024-0359,209,24,6,2024-04-23,2024-05-02,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",3011.33,542.04,1850.00,0.00,INR,Issued,Approved,4,2024-04-23,Generated purchase order from approved PR.
360,PO-2024-0360,210,25,6,2024-04-20,2024-04-26,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",763.20,137.38,1925.00,0.00,INR,Issued,Approved,5,2024-04-20,Generated purchase order from approved PR.
361,PO-2024-0361,211,26,1,2024-04-24,2024-04-30,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",8480.00,1526.40,500.00,0.00,INR,Issued,Approved,6,2024-04-24,Generated purchase order from approved PR.
362,PO-2024-0362,212,27,2,2024-04-22,2024-05-14,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",54165.96,9749.87,575.00,0.00,INR,Issued,Approved,7,2024-04-22,Generated purchase order from approved PR.
363,PO-2024-0363,213,28,2,2024-04-23,2024-05-12,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",333245.17,59984.13,650.00,0.00,INR,Issued,Approved,8,2024-04-23,Generated purchase order from approved PR.
364,PO-2024-0364,214,29,1,2024-04-23,2024-05-15,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",12864.98,2315.70,725.00,0.00,INR,Issued,Approved,9,2024-04-23,Generated purchase order from approved PR.
365,PO-2024-0365,215,30,3,2024-04-26,2024-05-09,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",13601.92,2448.35,800.00,0.00,INR,Issued,Approved,10,2024-04-26,Generated purchase order from approved PR.
366,PO-2024-0366,216,31,3,2024-04-25,2024-05-07,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",31576.00,5683.68,875.00,0.00,INR,Issued,Approved,11,2024-04-25,Generated purchase order from approved PR.
367,PO-2024-0367,217,32,4,2024-04-27,2024-05-08,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",148109.22,26659.66,950.00,0.00,INR,Issued,Approved,12,2024-04-27,Generated purchase order from approved PR.
368,PO-2024-0368,218,33,4,2024-04-27,2024-05-13,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",36326.04,6538.69,1025.00,0.00,INR,Issued,Approved,13,2024-04-27,Generated purchase order from approved PR.
369,PO-2024-0369,219,34,5,2024-04-26,2024-05-07,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",6162.30,1109.21,1100.00,0.00,INR,Issued,Approved,1,2024-04-26,Generated purchase order from approved PR.
370,PO-2024-0370,220,35,5,2024-04-27,2024-05-16,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",4572.91,823.12,1175.00,0.00,INR,Issued,Approved,3,2024-04-27,Generated purchase order from approved PR.
371,PO-2024-0371,221,1,6,2024-04-27,2024-05-17,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",887.50,159.75,1250.00,0.00,INR,Issued,Approved,4,2024-04-27,Generated purchase order from approved PR.
372,PO-2024-0372,222,2,6,2024-04-24,2024-05-15,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",14951.51,2691.27,1325.00,0.00,INR,Issued,Approved,5,2024-04-24,Generated purchase order from approved PR.
373,PO-2024-0373,223,3,1,2024-04-28,2024-05-07,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",723.10,130.16,1400.00,0.00,INR,Issued,Approved,6,2024-04-28,Generated purchase order from approved PR.
374,PO-2024-0374,224,4,2,2024-04-29,2024-05-14,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",712.05,128.17,1475.00,0.00,INR,Issued,Approved,7,2024-04-29,Generated purchase order from approved PR.
375,PO-2024-0375,225,5,2,2024-04-25,2024-05-04,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1414.04,254.53,1550.00,0.00,INR,Issued,Approved,8,2024-04-25,Generated purchase order from approved PR.
376,PO-2024-0376,226,6,1,2024-04-26,2024-05-01,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",3848.00,692.64,1625.00,0.00,INR,Issued,Approved,9,2024-04-26,Generated purchase order from approved PR.
377,PO-2024-0377,227,7,3,2024-04-29,2024-05-17,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",5213.08,938.35,1700.00,0.00,INR,Issued,Approved,10,2024-04-29,Generated purchase order from approved PR.
378,PO-2024-0378,228,8,3,2024-04-30,2024-05-15,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",2842.80,511.70,1775.00,0.00,INR,Issued,Approved,11,2024-04-30,Generated purchase order from approved PR.
379,PO-2024-0379,229,9,4,2024-04-28,2024-05-16,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1968.78,354.38,1850.00,0.00,INR,Issued,Approved,12,2024-04-28,Generated purchase order from approved PR.
380,PO-2024-0380,230,10,4,2024-05-02,2024-05-08,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",14519.85,2613.57,1925.00,0.00,INR,Issued,Approved,13,2024-05-02,Generated purchase order from approved PR.
381,PO-2024-0381,231,11,5,2024-04-28,2024-05-21,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",12132.00,2183.76,500.00,0.00,INR,Issued,Approved,1,2024-04-28,Generated purchase order from approved PR.
382,PO-2024-0382,232,12,5,2024-05-02,2024-05-25,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",36832.28,6629.81,575.00,0.00,INR,Issued,Approved,3,2024-05-02,Generated purchase order from approved PR.
383,PO-2024-0383,233,13,6,2024-04-28,2024-05-11,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",27308.29,4915.49,650.00,0.00,INR,Issued,Approved,4,2024-04-28,Generated purchase order from approved PR.
384,PO-2024-0384,234,14,6,2024-04-27,2024-05-18,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",27010.38,4861.87,725.00,0.00,INR,Issued,Approved,5,2024-04-27,Generated purchase order from approved PR.
385,PO-2024-0385,235,15,1,2024-04-30,2024-05-09,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",35641.50,6415.47,800.00,0.00,INR,Issued,Approved,6,2024-04-30,Generated purchase order from approved PR.
386,PO-2024-0386,236,16,2,2024-04-28,2024-05-17,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",27470.40,4944.67,875.00,0.00,INR,Issued,Approved,7,2024-04-28,Generated purchase order from approved PR.
387,PO-2024-0387,237,17,2,2024-05-03,2024-05-24,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",16015.66,2882.82,950.00,0.00,INR,Issued,Approved,8,2024-05-03,Generated purchase order from approved PR.
388,PO-2024-0388,238,18,1,2024-05-04,2024-05-24,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",8293.65,1492.86,1025.00,0.00,INR,Issued,Approved,9,2024-05-04,Generated purchase order from approved PR.
389,PO-2024-0389,239,19,3,2024-05-03,2024-05-23,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",4997.19,899.49,1100.00,0.00,INR,Issued,Approved,10,2024-05-03,Generated purchase order from approved PR.
390,PO-2024-0390,240,20,3,2024-05-06,2024-05-19,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",2796.70,503.41,1175.00,0.00,INR,Issued,Approved,11,2024-05-06,Generated purchase order from approved PR.
391,PO-2024-0391,241,21,4,2024-05-05,2024-05-25,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1473.60,265.25,1250.00,0.00,INR,Issued,Approved,12,2024-05-05,Generated purchase order from approved PR.
392,PO-2024-0392,242,22,4,2024-04-30,2024-05-18,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1132.28,203.81,1325.00,0.00,INR,Issued,Approved,13,2024-04-30,Generated purchase order from approved PR.
393,PO-2024-0393,243,23,5,2024-05-02,2024-05-09,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",685.19,123.33,1400.00,0.00,INR,Issued,Approved,1,2024-05-02,Generated purchase order from approved PR.
394,PO-2024-0394,244,24,5,2024-05-02,2024-05-09,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",9280.52,1670.49,1475.00,0.00,INR,Issued,Approved,3,2024-05-02,Generated purchase order from approved PR.
395,PO-2024-0395,245,25,6,2024-05-07,2024-05-26,45 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",434.07,78.13,1550.00,0.00,INR,Issued,Approved,4,2024-05-07,Generated purchase order from approved PR.
396,PO-2024-0396,246,26,6,2024-05-01,2024-05-17,60 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",1488.00,267.84,1625.00,0.00,INR,Issued,Approved,5,2024-05-01,Generated purchase order from approved PR.
397,PO-2024-0397,247,27,1,2024-05-05,2024-05-19,30 Days,Door delivery to factory stores,"EV Motor Plant, Accounts Payable, Hosur","EV Motor Plant Central Stores, Hosur",2909.71,523.75,1700.00,0.00,INR,Issued,Approved,6,2024-05-05,Generated purchase order from approved PR.
