production_order_item_id,production_order_id,item_id,planned_quantity,produced_quantity,accepted_quantity,rejected_quantity,uom,production_stage,line_status,remarks
376,376,100,11.000,9.000,8.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
377,377,101,15.000,12.000,11.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
378,378,102,22.000,20.000,19.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
379,379,100,54.000,50.000,49.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
380,380,101,18.000,14.000,13.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
381,381,102,14.000,12.000,12.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
382,382,100,9.000,7.000,6.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
383,383,101,26.000,24.000,24.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
384,384,102,41.000,37.000,37.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
385,385,100,21.000,19.000,19.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
386,386,101,31.000,30.000,30.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
387,387,102,18.000,17.000,17.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
388,388,100,48.000,47.000,47.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
389,389,101,8.000,4.000,4.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
390,390,102,17.000,15.000,14.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
391,391,100,39.000,36.000,36.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
392,392,101,55.000,51.000,51.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
393,393,102,29.000,28.000,27.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
394,394,100,8.000,7.000,7.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
395,395,101,38.000,36.000,35.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
396,396,102,22.000,19.000,18.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
397,397,100,24.000,22.000,22.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
398,398,101,58.000,55.000,55.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
399,399,102,60.000,56.000,55.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
400,400,100,20.000,19.000,18.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
401,401,101,40.000,36.000,36.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
402,402,102,34.000,33.000,33.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
403,403,100,61.000,57.000,56.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
404,404,101,59.000,56.000,56.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
405,405,102,26.000,25.000,24.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
406,406,100,9.000,5.000,4.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
407,407,101,8.000,6.000,5.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
408,408,102,7.000,4.000,4.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
409,409,100,49.000,48.000,47.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
410,410,101,46.000,45.000,44.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
411,411,102,52.000,51.000,51.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
412,412,100,13.000,11.000,10.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
413,413,101,13.000,9.000,8.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
414,414,102,16.000,12.000,12.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
415,415,100,42.000,41.000,40.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
416,416,101,6.000,3.000,3.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
417,417,102,44.000,42.000,41.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
418,418,100,58.000,55.000,54.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
419,419,101,15.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
420,420,102,46.000,45.000,45.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
421,421,100,36.000,35.000,34.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
422,422,101,58.000,56.000,56.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
423,423,102,19.000,17.000,16.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
424,424,100,20.000,16.000,15.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
425,425,101,5.000,4.000,4.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
426,426,102,44.000,43.000,42.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
427,427,100,53.000,51.000,51.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
428,428,101,7.000,6.000,5.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
429,429,102,33.000,32.000,31.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
430,430,100,47.000,44.000,44.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
431,431,101,51.000,47.000,46.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
432,432,102,60.000,57.000,57.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
433,433,100,47.000,43.000,43.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
434,434,101,57.000,55.000,54.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
435,435,102,62.000,61.000,60.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
436,436,100,58.000,55.000,55.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
437,437,101,33.000,30.000,29.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
438,438,102,31.000,28.000,27.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
439,439,100,32.000,29.000,28.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
440,440,101,61.000,57.000,56.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
441,441,102,21.000,20.000,20.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
442,442,100,50.000,46.000,45.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
443,443,101,43.000,40.000,39.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
444,444,102,8.000,6.000,6.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
445,445,100,35.000,31.000,31.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
446,446,101,14.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
447,447,102,45.000,44.000,43.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
448,448,100,32.000,28.000,28.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
449,449,101,27.000,25.000,24.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
450,450,102,9.000,7.000,7.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
451,451,100,12.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
452,452,101,51.000,48.000,47.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
453,453,102,52.000,51.000,51.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
454,454,100,21.000,19.000,19.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
455,455,101,54.000,52.000,51.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
456,456,102,37.000,33.000,33.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
457,457,100,24.000,23.000,23.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
458,458,101,32.000,29.000,29.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
459,459,102,48.000,44.000,43.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
460,460,100,58.000,55.000,55.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
461,461,101,31.000,30.000,30.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
462,462,102,24.000,22.000,22.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
463,463,100,52.000,48.000,47.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
464,464,101,35.000,34.000,33.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
465,465,102,29.000,26.000,26.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
466,466,100,30.000,29.000,29.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
467,467,101,36.000,33.000,32.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
468,468,102,14.000,12.000,11.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
469,469,100,11.000,9.000,8.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
470,470,101,45.000,41.000,40.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
471,471,102,14.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
472,472,100,36.000,33.000,33.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
473,473,101,52.000,49.000,48.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
474,474,102,19.000,15.000,15.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
475,475,100,25.000,24.000,24.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
476,476,101,59.000,57.000,57.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
477,477,102,7.000,5.000,5.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
478,478,100,47.000,46.000,45.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
479,479,101,18.000,14.000,13.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
480,480,102,56.000,54.000,53.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
481,481,100,31.000,27.000,26.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
482,482,101,8.000,5.000,4.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
483,483,102,46.000,44.000,44.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
484,484,100,13.000,12.000,11.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
485,485,101,29.000,26.000,25.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
486,486,102,34.000,33.000,33.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
487,487,100,46.000,45.000,45.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
488,488,101,32.000,28.000,28.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
489,489,102,56.000,52.000,51.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
490,490,100,33.000,29.000,29.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
491,491,101,25.000,22.000,22.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
492,492,102,27.000,24.000,23.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
493,493,100,50.000,49.000,49.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
494,494,101,42.000,41.000,41.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
495,495,102,15.000,11.000,10.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
496,496,100,51.000,47.000,47.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
497,497,101,32.000,28.000,28.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
498,498,102,25.000,23.000,23.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
499,499,100,12.000,9.000,9.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
500,500,101,63.000,59.000,59.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
501,501,102,7.000,5.000,5.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
502,502,100,63.000,59.000,59.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
503,503,101,9.000,7.000,7.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
504,504,102,34.000,32.000,32.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
505,505,100,12.000,9.000,8.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
506,506,101,36.000,33.000,32.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
507,507,102,52.000,51.000,51.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
508,508,100,41.000,39.000,38.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
509,509,101,34.000,33.000,33.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
510,510,102,11.000,10.000,10.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
511,511,100,60.000,57.000,57.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
512,512,101,26.000,25.000,24.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
513,513,102,39.000,35.000,34.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
514,514,100,57.000,55.000,55.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
515,515,101,43.000,40.000,39.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
516,516,102,50.000,46.000,45.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
517,517,100,16.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
518,518,101,33.000,30.000,30.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
519,519,102,39.000,35.000,34.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
520,520,100,15.000,14.000,14.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
521,521,101,29.000,25.000,25.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
522,522,102,53.000,51.000,50.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
523,523,100,58.000,56.000,55.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
524,524,101,54.000,51.000,50.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
525,525,102,59.000,57.000,56.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
526,526,100,63.000,59.000,59.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
527,527,101,17.000,16.000,16.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
528,528,102,57.000,53.000,52.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
529,529,100,42.000,38.000,37.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
530,530,101,55.000,54.000,53.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
531,531,102,41.000,39.000,38.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
532,532,100,12.000,9.000,9.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
533,533,101,40.000,36.000,36.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
534,534,102,51.000,47.000,46.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
535,535,100,12.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
536,536,101,36.000,34.000,33.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
537,537,102,44.000,42.000,41.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
538,538,100,30.000,29.000,28.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
539,539,101,51.000,47.000,47.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
540,540,102,13.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
541,541,100,25.000,24.000,24.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
542,542,101,58.000,57.000,56.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
543,543,102,34.000,32.000,31.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
544,544,100,17.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
545,545,101,15.000,11.000,11.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
546,546,102,39.000,37.000,36.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
547,547,100,59.000,56.000,56.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
548,548,101,7.000,6.000,5.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
549,549,102,12.000,11.000,10.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
550,550,100,28.000,26.000,25.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
551,551,101,18.000,15.000,14.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
552,552,102,14.000,10.000,10.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
553,553,100,24.000,21.000,20.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
554,554,101,40.000,39.000,39.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
555,555,102,53.000,49.000,49.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
556,556,100,25.000,22.000,21.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
557,557,101,47.000,44.000,44.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
558,558,102,54.000,50.000,49.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
559,559,100,9.000,6.000,5.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
560,560,101,53.000,50.000,50.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
561,561,102,20.000,16.000,15.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
562,562,100,47.000,44.000,43.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
563,563,101,48.000,46.000,46.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
564,564,102,54.000,52.000,51.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
565,565,100,27.000,26.000,25.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
566,566,101,46.000,42.000,41.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
567,567,102,8.000,7.000,6.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
568,568,100,32.000,29.000,28.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
569,569,101,60.000,56.000,56.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
570,570,102,17.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
571,571,100,14.000,12.000,11.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
572,572,101,46.000,43.000,42.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
573,573,102,36.000,32.000,32.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
574,574,100,32.000,30.000,30.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
575,575,101,19.000,18.000,17.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
576,576,102,15.000,13.000,13.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
577,577,100,48.000,44.000,44.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
578,578,101,27.000,24.000,24.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
579,579,102,50.000,48.000,47.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
580,580,100,31.000,30.000,29.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
581,581,101,31.000,28.000,27.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
582,582,102,18.000,17.000,16.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
583,583,100,45.000,41.000,40.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
584,584,101,23.000,20.000,19.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
585,585,102,54.000,53.000,53.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
586,586,100,28.000,26.000,26.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
587,587,101,52.000,50.000,50.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
588,588,102,34.000,32.000,31.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
589,589,100,32.000,28.000,28.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
590,590,101,30.000,28.000,28.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
591,591,102,31.000,27.000,27.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
592,592,100,33.000,30.000,29.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
593,593,101,56.000,55.000,54.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
594,594,102,46.000,43.000,43.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
595,595,100,10.000,6.000,6.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
596,596,101,10.000,7.000,7.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
597,597,102,8.000,7.000,6.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
598,598,100,44.000,43.000,43.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
599,599,101,17.000,16.000,16.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
600,600,102,26.000,25.000,25.000,0.000,No,Final Motor Assembly,Completed,Generated production output line.
601,601,100,55.000,52.000,51.000,1.000,No,Final Motor Assembly,Completed,Generated production output line.
