production_order_id,production_order_number,customer_order_id,finished_item_id,department_id,planned_quantity,produced_quantity,rejected_quantity,uom,planned_start_date,planned_end_date,actual_start_date,actual_end_date,priority,production_status,created_by,approved_by,remarks,created_at,updated_at
47,PROD202507220047,56,107,4,230.000,0.000,0.000,No,2025-07-22,2025-07-26,2025-07-22,,High,On Hold,1,1,Production hold for Finished Rotor 3kW: awaiting material clearance from stores,2025-07-21 09:22:00,2025-07-22 17:26:00
48,PROD202508080048,71,108,4,280.000,0.000,0.000,No,2025-08-08,2025-08-13,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 7.5kW,2025-08-07 09:29:00,2025-08-08 17:37:00
49,PROD202508100049,74,100,5,12.000,12.000,0.000,No,2025-08-10,2025-08-13,2025-08-11,2025-08-15,Medium,Completed,1,1,Make-to-order production linked to SO202606300074,2025-08-09 09:36:00,2025-08-10 17:48:00
50,PROD202508250050,94,101,5,18.000,18.000,0.000,No,2025-08-25,2025-08-28,2025-08-25,2025-08-28,High,Completed,1,1,Make-to-order production linked to SO202606300094,2025-08-24 09:43:00,2025-08-25 17:59:00
51,PROD202506020051,,102,5,75.000,48.000,0.000,No,2025-06-02,2025-06-06,2025-06-02,2025-06-07,Medium,Partially Completed,1,1,Make-to-stock production for PMSM Motor 7.5 kW,2025-06-01 09:50:00,2025-06-02 17:10:00
52,PROD202509240052,121,103,3,200.000,30.000,0.000,No,2025-09-24,2025-09-28,2025-09-25,,Low,In Progress,1,1,Make-to-order production linked to SO202606300121,2025-09-23 09:57:00,2025-09-24 17:21:00
53,PROD202509270053,125,104,3,240.000,0.000,0.000,No,2025-09-27,2025-10-02,,,Medium,Released,1,1,Make-to-order production linked to SO202606300125,2025-09-26 09:04:00,2025-09-27 17:32:00
54,PROD202509290054,127,105,3,300.000,0.000,0.000,No,2025-09-29,2025-10-04,,,High,Planned,1,,Make-to-order production linked to SO202606300127,2025-09-28 09:11:00,2025-09-29 17:43:00
55,PROD202509300055,128,106,4,70.000,0.000,0.000,No,2025-09-30,2025-10-03,2025-10-01,,High,On Hold,1,1,Production hold for Finished Rotor 1.5kW: awaiting material clearance from stores,2025-09-29 09:18:00,2025-09-30 17:54:00
56,PROD202506170056,,107,4,110.000,0.000,0.000,No,2025-06-17,2025-06-20,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 3kW,2025-06-16 09:25:00,2025-06-17 17:05:00
57,PROD202510040057,134,108,4,150.000,149.000,1.000,No,2025-10-04,2025-10-08,2025-10-04,2025-10-08,Medium,Completed,1,1,Make-to-order production linked to SO202606300134,2025-10-03 09:32:00,2025-10-04 17:16:00
58,PROD202510070058,139,106,4,190.000,188.000,2.000,No,2025-10-07,2025-10-11,2025-10-08,2025-10-11,High,Completed,1,1,Make-to-order production linked to SO202606300139,2025-10-06 09:39:00,2025-10-07 17:27:00
59,PROD202510160059,146,107,4,230.000,149.000,2.000,No,2025-10-16,2025-10-20,2025-10-16,2025-10-20,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300146,2025-10-15 09:46:00,2025-10-16 17:38:00
60,PROD202511060060,161,108,4,280.000,86.000,2.000,No,2025-11-06,2025-11-11,2025-11-06,,Low,In Progress,1,1,Make-to-order production linked to SO202606300161,2025-11-05 09:53:00,2025-11-06 17:49:00
61,PROD202507020061,,100,5,40.000,0.000,0.000,No,2025-07-02,2025-07-05,,,Medium,Released,1,1,Make-to-stock production for BLDC Motor 1.5 kW,2025-07-01 09:00:00,2025-07-02 17:00:00
62,PROD202511210062,169,101,5,18.000,0.000,0.000,No,2025-11-21,2025-11-24,,,High,Planned,1,,Make-to-order production linked to SO202606300169,2025-11-20 09:07:00,2025-11-21 17:11:00
63,PROD202511230063,171,102,5,24.000,0.000,0.000,No,2025-11-23,2025-11-26,2025-11-23,,High,On Hold,1,1,Production hold for PMSM Motor 7.5 kW: awaiting material clearance from stores,2025-11-22 09:14:00,2025-11-23 17:22:00
64,PROD202512110064,190,103,3,200.000,0.000,0.000,No,2025-12-11,2025-12-15,,,Low,Cancelled,1,1,Cancelled due to revised production plan for Finished Stator 1.5kW,2025-12-10 09:21:00,2025-12-11 17:33:00
65,PROD202601030065,214,104,3,240.000,233.000,7.000,No,2026-01-03,2026-01-08,2026-01-03,2026-01-08,Medium,Completed,1,1,Make-to-order production linked to SO202606300214,2026-01-02 09:28:00,2026-01-03 17:44:00
66,PROD202507170066,,105,3,300.000,299.000,1.000,No,2025-07-17,2025-07-22,2025-07-17,2025-07-23,High,Completed,1,1,Make-to-stock production for Finished Stator 7.5kW,2025-07-16 09:35:00,2025-07-17 17:55:00
67,PROD202601250067,230,106,4,70.000,45.000,0.000,No,2026-01-25,2026-01-28,2026-01-26,2026-01-30,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300230,2026-01-24 09:42:00,2026-01-25 17:06:00
68,PROD202601260068,231,107,4,110.000,25.000,0.000,No,2026-01-26,2026-01-29,2026-01-26,,Low,In Progress,1,1,Make-to-order production linked to SO202606300231,2026-01-25 09:49:00,2026-01-26 17:17:00
69,PROD202601310069,236,108,4,150.000,0.000,0.000,No,2026-01-31,2026-02-04,,,Medium,Released,1,1,Make-to-order production linked to SO202606300236,2026-01-30 09:56:00,2026-01-31 17:28:00
70,PROD202602060070,244,106,4,190.000,0.000,0.000,No,2026-02-06,2026-02-10,,,High,Planned,1,,Make-to-order production linked to SO202606300244,2026-02-05 09:03:00,2026-02-06 17:39:00
71,PROD202508010071,,107,4,230.000,0.000,0.000,No,2025-08-01,2025-08-05,2025-08-01,,High,On Hold,1,1,Production hold for Finished Rotor 3kW: awaiting material clearance from stores,2025-07-31 09:10:00,2025-08-01 17:50:00
72,PROD202602220072,267,108,4,280.000,0.000,0.000,No,2026-02-22,2026-02-27,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 7.5kW,2026-02-21 09:17:00,2026-02-22 17:01:00
73,PROD202602280073,272,100,5,12.000,12.000,0.000,No,2026-02-28,2026-03-03,2026-03-01,2026-03-05,Medium,Completed,1,1,Make-to-order production linked to SO202606300272,2026-02-27 09:24:00,2026-02-28 17:12:00
74,PROD202603060074,276,101,5,18.000,18.000,0.000,No,2026-03-06,2026-03-09,2026-03-06,2026-03-09,High,Completed,1,1,Make-to-order production linked to SO202606300276,2026-03-05 09:31:00,2026-03-06 17:23:00
75,PROD202603140075,281,102,5,24.000,15.000,0.000,No,2026-03-14,2026-03-17,2026-03-14,2026-03-17,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300281,2026-03-13 09:38:00,2026-03-14 17:34:00
76,PROD202508160076,,103,3,200.000,30.000,0.000,No,2025-08-16,2025-08-20,2025-08-17,,Low,In Progress,1,1,Make-to-stock production for Finished Stator 1.5kW,2025-08-15 09:45:00,2025-08-16 17:45:00
77,PROD202603250077,290,104,3,240.000,0.000,0.000,No,2026-03-25,2026-03-30,,,Medium,Released,1,1,Make-to-order production linked to SO202606300290,2026-03-24 09:52:00,2026-03-25 17:56:00
78,PROD202603230078,295,105,3,300.000,0.000,0.000,No,2026-03-23,2026-03-28,,,High,Planned,1,,Make-to-order production linked to SO202606300295,2026-03-22 09:59:00,2026-03-23 17:07:00
79,PROD202504100079,5,106,4,70.000,0.000,0.000,No,2025-04-10,2025-04-13,2025-04-11,,High,On Hold,1,1,Production hold for Finished Rotor 1.5kW: awaiting material clearance from stores,2025-04-09 09:06:00,2025-04-10 17:18:00
80,PROD202505100080,15,107,4,110.000,0.000,0.000,No,2025-05-10,2025-05-13,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 3kW,2025-05-09 09:13:00,2025-05-10 17:29:00
81,PROD202508310081,,108,4,150.000,150.000,0.000,No,2025-08-31,2025-09-04,2025-08-31,2025-09-05,Medium,Completed,1,1,Make-to-stock production for Finished Rotor 7.5kW,2025-08-30 09:20:00,2025-08-31 17:40:00
82,PROD202505170082,23,106,4,190.000,189.000,1.000,No,2025-05-17,2025-05-21,2025-05-18,2025-05-21,High,Completed,1,1,Make-to-order production linked to SO202606300023,2025-05-16 09:27:00,2025-05-17 17:51:00
83,PROD202505220083,24,107,4,230.000,149.000,2.000,No,2025-05-22,2025-05-26,2025-05-22,2025-05-26,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300024,2025-05-21 09:34:00,2025-05-22 17:02:00
84,PROD202507070084,45,108,4,280.000,86.000,1.000,No,2025-07-07,2025-07-12,2025-07-07,,Low,In Progress,1,1,Make-to-order production linked to SO202606300045,2025-07-06 09:41:00,2025-07-07 17:13:00
85,PROD202507090085,48,100,5,12.000,0.000,0.000,No,2025-07-09,2025-07-12,,,Medium,Released,1,1,Make-to-order production linked to SO202606300048,2025-07-08 09:48:00,2025-07-09 17:24:00
86,PROD202509150086,,101,5,60.000,0.000,0.000,No,2025-09-15,2025-09-19,,,High,Planned,1,,Make-to-stock production for PMSM Motor 3 kW,2025-09-14 09:55:00,2025-09-15 17:35:00
87,PROD202508050087,71,102,5,24.000,0.000,0.000,No,2025-08-05,2025-08-08,2025-08-05,,High,On Hold,1,1,Production hold for PMSM Motor 7.5 kW: awaiting material clearance from stores,2025-08-04 09:02:00,2025-08-05 17:46:00
88,PROD202508070088,74,103,3,200.000,0.000,0.000,No,2025-08-07,2025-08-11,,,Low,Cancelled,1,1,Cancelled due to revised production plan for Finished Stator 1.5kW,2025-08-06 09:09:00,2025-08-07 17:57:00
89,PROD202508290089,94,104,3,240.000,236.000,4.000,No,2025-08-29,2025-09-03,2025-08-29,2025-09-03,Medium,Completed,1,1,Make-to-order production linked to SO202606300094,2025-08-28 09:16:00,2025-08-29 17:08:00
90,PROD202509120090,104,105,3,300.000,291.000,9.000,No,2025-09-12,2025-09-17,2025-09-12,2025-09-17,High,Completed,1,1,Make-to-order production linked to SO202606300104,2025-09-11 09:23:00,2025-09-12 17:19:00
91,PROD202509300091,,106,4,70.000,45.000,0.000,No,2025-09-30,2025-10-03,2025-10-01,2025-10-05,Medium,Partially Completed,1,1,Make-to-stock production for Finished Rotor 1.5kW,2025-09-29 09:30:00,2025-09-30 17:30:00
92,PROD202509240092,125,107,4,110.000,25.000,0.000,No,2025-09-24,2025-09-27,2025-09-24,,Low,In Progress,1,1,Make-to-order production linked to SO202606300125,2025-09-23 09:37:00,2025-09-24 17:41:00
93,PROD202509260093,127,108,4,150.000,0.000,0.000,No,2025-09-26,2025-09-30,,,Medium,Released,1,1,Make-to-order production linked to SO202606300127,2025-09-25 09:44:00,2025-09-26 17:52:00
94,PROD202509270094,128,106,4,190.000,0.000,0.000,No,2025-09-27,2025-10-01,,,High,Planned,1,,Make-to-order production linked to SO202606300128,2025-09-26 09:51:00,2025-09-27 17:03:00
95,PROD202510020095,130,107,4,230.000,0.000,0.000,No,2025-10-02,2025-10-06,2025-10-02,,High,On Hold,1,1,Production hold for Finished Rotor 3kW: awaiting material clearance from stores,2025-10-01 09:58:00,2025-10-02 17:14:00
96,PROD202510150096,,108,4,280.000,0.000,0.000,No,2025-10-15,2025-10-20,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 7.5kW,2025-10-14 09:05:00,2025-10-15 17:25:00
97,PROD202510110097,139,100,5,12.000,12.000,0.000,No,2025-10-11,2025-10-14,2025-10-12,2025-10-16,Medium,Completed,1,1,Make-to-order production linked to SO202606300139,2025-10-10 09:12:00,2025-10-11 17:36:00
98,PROD202510200098,146,101,5,18.000,18.000,0.000,No,2025-10-20,2025-10-23,2025-10-20,2025-10-23,High,Completed,1,1,Make-to-order production linked to SO202606300146,2025-10-19 09:19:00,2025-10-20 17:47:00
99,PROD202511030099,161,102,5,24.000,15.000,0.000,No,2025-11-03,2025-11-06,2025-11-03,2025-11-06,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300161,2025-11-02 09:26:00,2025-11-03 17:58:00
100,PROD202511160100,168,103,3,200.000,30.000,0.000,No,2025-11-16,2025-11-20,2025-11-17,,Low,In Progress,1,1,Make-to-order production linked to SO202606300168,2025-11-15 09:33:00,2025-11-16 17:09:00
101,PROD202510300101,,104,3,240.000,0.000,0.000,No,2025-10-30,2025-11-04,,,Medium,Released,1,1,Make-to-stock production for Finished Stator 3kW,2025-10-29 09:40:00,2025-10-30 17:20:00
102,PROD202511200102,171,105,3,300.000,0.000,0.000,No,2025-11-20,2025-11-25,,,High,Planned,1,,Make-to-order production linked to SO202606300171,2025-11-19 09:47:00,2025-11-20 17:31:00
103,PROD202512150103,190,106,4,70.000,0.000,0.000,No,2025-12-15,2025-12-18,2025-12-16,,High,On Hold,1,1,Production hold for Finished Rotor 1.5kW: awaiting material clearance from stores,2025-12-14 09:54:00,2025-12-15 17:42:00
104,PROD202601070104,214,107,4,110.000,0.000,0.000,No,2026-01-07,2026-01-10,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 3kW,2026-01-06 09:01:00,2026-01-07 17:53:00
105,PROD202601250105,227,108,4,150.000,146.000,4.000,No,2026-01-25,2026-01-29,2026-01-25,2026-01-29,Medium,Completed,1,1,Make-to-order production linked to SO202606300227,2026-01-24 09:08:00,2026-01-25 17:04:00
106,PROD202511140106,,106,4,190.000,190.000,0.000,No,2025-11-14,2025-11-18,2025-11-15,2025-11-19,High,Completed,1,1,Make-to-stock production for Finished Rotor 1.5kW,2025-11-13 09:15:00,2025-11-14 17:15:00
107,PROD202601230107,231,107,4,230.000,149.000,1.000,No,2026-01-23,2026-01-27,2026-01-23,2026-01-27,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300231,2026-01-22 09:22:00,2026-01-23 17:26:00
108,PROD202601280108,236,108,4,280.000,86.000,1.000,No,2026-01-28,2026-02-02,2026-01-28,,Low,In Progress,1,1,Make-to-order production linked to SO202606300236,2026-01-27 09:29:00,2026-01-28 17:37:00
109,PROD202602030109,244,100,5,12.000,0.000,0.000,No,2026-02-03,2026-02-06,,,Medium,Released,1,1,Make-to-order production linked to SO202606300244,2026-02-02 09:36:00,2026-02-03 17:48:00
110,PROD202602120110,255,101,5,18.000,0.000,0.000,No,2026-02-12,2026-02-15,,,High,Planned,1,,Make-to-order production linked to SO202606300255,2026-02-11 09:43:00,2026-02-12 17:59:00
111,PROD202511290111,,102,5,75.000,0.000,0.000,No,2025-11-29,2025-12-03,2025-11-29,,High,On Hold,1,1,Production hold for PMSM Motor 7.5 kW: awaiting material clearance from stores,2025-11-28 09:50:00,2025-11-29 17:10:00
112,PROD202603040112,272,103,3,200.000,0.000,0.000,No,2026-03-04,2026-03-08,,,Low,Cancelled,1,1,Cancelled due to revised production plan for Finished Stator 1.5kW,2026-03-03 09:57:00,2026-03-04 17:21:00
113,PROD202603030113,276,104,3,240.000,237.000,3.000,No,2026-03-03,2026-03-08,2026-03-03,2026-03-08,Medium,Completed,1,1,Make-to-order production linked to SO202606300276,2026-03-02 09:04:00,2026-03-03 17:32:00
114,PROD202603110114,281,105,3,300.000,294.000,6.000,No,2026-03-11,2026-03-16,2026-03-11,2026-03-16,High,Completed,1,1,Make-to-order production linked to SO202606300281,2026-03-10 09:11:00,2026-03-11 17:43:00
115,PROD202603150115,284,106,4,70.000,45.000,1.000,No,2026-03-15,2026-03-18,2026-03-16,2026-03-20,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300284,2026-03-14 09:18:00,2026-03-15 17:54:00
116,PROD202512140116,,107,4,110.000,25.000,0.000,No,2025-12-14,2025-12-17,2025-12-14,,Low,In Progress,1,1,Make-to-stock production for Finished Rotor 3kW,2025-12-13 09:25:00,2025-12-14 17:05:00
117,PROD202603270117,295,108,4,150.000,0.000,0.000,No,2026-03-27,2026-03-31,,,Medium,Released,1,1,Make-to-order production linked to SO202606300295,2026-03-26 09:32:00,2026-03-27 17:16:00
118,PROD202504140118,5,106,4,190.000,0.000,0.000,No,2025-04-14,2025-04-18,,,High,Planned,1,,Make-to-order production linked to SO202606300005,2025-04-13 09:39:00,2025-04-14 17:27:00
119,PROD202505140119,15,107,4,230.000,0.000,0.000,No,2025-05-14,2025-05-18,2025-05-14,,High,On Hold,1,1,Production hold for Finished Rotor 3kW: awaiting material clearance from stores,2025-05-13 09:46:00,2025-05-14 17:38:00
120,PROD202505080120,16,108,4,280.000,0.000,0.000,No,2025-05-08,2025-05-13,,,Medium,Cancelled,1,1,Cancelled due to revised production plan for Finished Rotor 7.5kW,2025-05-07 09:53:00,2025-05-08 17:49:00
121,PROD202512290121,,100,5,40.000,40.000,0.000,No,2025-12-29,2026-01-01,2025-12-30,2026-01-03,Medium,Completed,1,1,Make-to-stock production for BLDC Motor 1.5 kW,2025-12-28 09:00:00,2025-12-29 17:00:00
122,PROD202505190122,24,101,5,18.000,18.000,0.000,No,2025-05-19,2025-05-22,2025-05-19,2025-05-22,High,Completed,1,1,Make-to-order production linked to SO202606300024,2025-05-18 09:07:00,2025-05-19 17:11:00
123,PROD202507040123,45,102,5,24.000,15.000,0.000,No,2025-07-04,2025-07-07,2025-07-04,2025-07-07,Medium,Partially Completed,1,1,Make-to-order production linked to SO202606300045,2025-07-03 09:14:00,2025-07-04 17:22:00
124,PROD202507130124,48,103,3,200.000,30.000,0.000,No,2025-07-13,2025-07-17,2025-07-14,,Low,In Progress,1,1,Make-to-order production linked to SO202606300048,2025-07-12 09:21:00,2025-07-13 17:33:00
125,PROD202507230125,56,104,3,240.000,0.000,0.000,No,2025-07-23,2025-07-28,,,Medium,Released,1,1,Make-to-order production linked to SO202606300056,2025-07-22 09:28:00,2025-07-23 17:44:00
