bom_consumption_id,production_order_item_id,finished_item_id,consumed_item_id,planned_quantity,issued_quantity,actual_consumed_quantity,returned_quantity,wastage_quantity,uom,warehouse_location,batch_number,consumption_date,consumed_by,transaction_status,remarks,created_at,updated_at
16,4,103,59,60.000,21.378,21.000,0.000,0.378,No,STAT_WIP,INS005-20250517-0026,2025-05-17,1,Issued,Issued material consumption for PROD202505160004; Stator Assembly,2025-05-17 09:55:00,2025-05-17 16:35:00
17,4,103,80,2.400,1.591,1.560,0.031,0.000,ml,STAT_WIP,CON001-20250519-0027,2025-05-19,1,Partially Consumed,Partially Consumed material consumption for PROD202505160004; Stator Assembly,2025-05-19 09:02:00,2025-05-19 16:46:00
18,4,103,81,1.500,0.529,0.525,0.000,0.004,g,STAT_WIP,CON002-20250517-0028,2025-05-17,1,Issued,Issued material consumption for PROD202505160004; Stator Assembly,2025-05-17 09:09:00,2025-05-17 16:57:00
19,4,103,63,120.000,42.756,42.000,0.000,0.756,No,STAT_WIP,FAS001-20250519-0029,2025-05-19,1,Issued,Issued material consumption for PROD202505160004; Stator Assembly,2025-05-19 09:16:00,2025-05-19 16:08:00
20,4,103,66,120.000,79.560,78.000,1.560,0.000,No,STAT_WIP,FAS004-20250517-0030,2025-05-17,1,Partially Consumed,Partially Consumed material consumption for PROD202505160004; Stator Assembly,2025-05-17 09:23:00,2025-05-17 16:19:00
21,4,103,69,120.000,42.336,42.000,0.000,0.336,No,STAT_WIP,FAS007-20250519-0031,2025-05-19,1,Issued,Issued material consumption for PROD202505160004; Stator Assembly,2025-05-19 09:30:00,2025-05-19 16:30:00
22,5,104,29,60.000,0.000,0.000,0.000,0.000,kg,STAT_WIP,ELE001-20250522-0032,2025-05-22,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-22 09:37:00,2025-05-22 16:41:00
23,5,104,55,75.000,0.000,0.000,0.000,0.000,No,STAT_WIP,INS001-20250524-0033,2025-05-24,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-24 09:44:00,2025-05-24 16:52:00
24,5,104,58,30.000,0.000,0.000,0.000,0.000,No,STAT_WIP,INS004-20250526-0034,2025-05-26,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-26 09:51:00,2025-05-26 16:03:00
25,5,104,59,120.000,0.000,0.000,0.000,0.000,No,STAT_WIP,INS005-20250522-0035,2025-05-22,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-22 09:58:00,2025-05-22 16:14:00
26,5,104,80,4.800,0.000,0.000,0.000,0.000,ml,STAT_WIP,CON001-20250524-0036,2025-05-24,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-24 09:05:00,2025-05-24 16:25:00
27,5,104,81,3.000,0.000,0.000,0.000,0.000,g,STAT_WIP,CON002-20250526-0037,2025-05-26,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-26 09:12:00,2025-05-26 16:36:00
28,5,104,63,240.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS001-20250522-0038,2025-05-22,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-22 09:19:00,2025-05-22 16:47:00
29,5,104,66,240.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS004-20250524-0039,2025-05-24,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-24 09:26:00,2025-05-24 16:58:00
30,5,104,69,240.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS007-20250526-0040,2025-05-26,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-26 09:33:00,2025-05-26 16:09:00
31,5,104,72,240.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS010-20250522-0041,2025-05-22,1,Planned,Planned material consumption for PROD202505210005; Stator Assembly,2025-05-22 09:40:00,2025-05-22 16:20:00
32,6,105,29,75.000,0.000,0.000,0.000,0.000,kg,STAT_WIP,ELE001-20250123-0042,2025-01-23,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-23 09:47:00,2025-01-23 16:31:00
33,6,105,55,93.750,0.000,0.000,0.000,0.000,No,STAT_WIP,INS001-20250119-0043,2025-01-19,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-19 09:54:00,2025-01-19 16:42:00
34,6,105,58,37.500,0.000,0.000,0.000,0.000,No,STAT_WIP,INS004-20250121-0044,2025-01-21,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-21 09:01:00,2025-01-21 16:53:00
35,6,105,59,150.000,0.000,0.000,0.000,0.000,No,STAT_WIP,INS005-20250123-0045,2025-01-23,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-23 09:08:00,2025-01-23 16:04:00
36,6,105,80,6.000,0.000,0.000,0.000,0.000,ml,STAT_WIP,CON001-20250119-0046,2025-01-19,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-19 09:15:00,2025-01-19 16:15:00
37,6,105,81,3.750,0.000,0.000,0.000,0.000,g,STAT_WIP,CON002-20250121-0047,2025-01-21,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-21 09:22:00,2025-01-21 16:26:00
38,6,105,63,300.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS001-20250123-0048,2025-01-23,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-23 09:29:00,2025-01-23 16:37:00
39,6,105,66,300.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS004-20250119-0049,2025-01-19,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-19 09:36:00,2025-01-19 16:48:00
40,6,105,69,300.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS007-20250121-0050,2025-01-21,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-21 09:43:00,2025-01-21 16:59:00
41,6,105,72,300.000,0.000,0.000,0.000,0.000,No,STAT_WIP,FAS010-20250123-0051,2025-01-23,1,Planned,Planned material consumption for PROD202501180006; Stator Assembly,2025-01-23 09:50:00,2025-01-23 16:10:00
42,7,106,7,17.500,17.710,17.500,0.000,0.210,No,ROTR_WIP,MAG001-20250716-0052,2025-07-16,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-16 09:57:00,2025-07-16 16:21:00
43,7,106,10,21.875,22.400,21.875,0.000,0.525,No,ROTR_WIP,MEC001-20250718-0053,2025-07-18,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-18 09:04:00,2025-07-18 16:32:00
44,7,106,13,8.750,8.873,8.750,0.088,0.035,No,ROTR_WIP,MEC004-20250717-0054,2025-07-17,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-17 09:11:00,2025-07-17 16:43:00
45,7,106,23,35.000,35.420,35.000,0.000,0.420,No,ROTR_WIP,BRG001-20250716-0055,2025-07-16,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-16 09:18:00,2025-07-16 16:54:00
46,7,106,21,1.400,1.434,1.400,0.000,0.034,No,ROTR_WIP,MEC012-20250718-0056,2025-07-18,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-18 09:25:00,2025-07-18 16:05:00
47,7,106,78,0.875,0.879,0.875,0.000,0.004,No,ROTR_WIP,FAS016-20250717-0057,2025-07-17,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-17 09:32:00,2025-07-17 16:16:00
48,7,106,79,70.000,70.840,70.000,0.000,0.840,No,ROTR_WIP,FAS017-20250716-0058,2025-07-16,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-16 09:39:00,2025-07-16 16:27:00
49,7,106,82,70.000,72.380,70.000,0.700,1.680,ml,ROTR_WIP,CON003-20250718-0059,2025-07-18,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-18 09:46:00,2025-07-18 16:38:00
50,7,106,83,70.000,70.280,70.000,0.000,0.280,g,ROTR_WIP,CON004-20250717-0060,2025-07-17,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-17 09:53:00,2025-07-17 16:49:00
51,7,106,26,70.000,70.840,70.000,0.000,0.840,No,ROTR_WIP,SEA001-20250716-0061,2025-07-16,1,Returned,Returned material consumption for PROD202507150007; Rotor Assembly,2025-07-16 09:00:00,2025-07-16 16:00:00
52,8,107,7,27.500,27.610,27.500,0.000,0.110,No,ROTR_WIP,MAG001-20250719-0062,2025-07-19,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-19 09:07:00,2025-07-19 16:11:00
53,8,107,10,34.375,34.788,34.375,0.000,0.413,No,ROTR_WIP,MEC001-20250721-0063,2025-07-21,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-21 09:14:00,2025-07-21 16:22:00
54,8,107,13,13.750,14.218,13.750,0.138,0.330,No,ROTR_WIP,MEC004-20250719-0064,2025-07-19,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-19 09:21:00,2025-07-19 16:33:00
55,8,107,23,55.000,55.220,55.000,0.000,0.220,No,ROTR_WIP,BRG001-20250721-0065,2025-07-21,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-21 09:28:00,2025-07-21 16:44:00
56,8,107,21,2.200,2.226,2.200,0.000,0.026,No,ROTR_WIP,MEC012-20250719-0066,2025-07-19,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-19 09:35:00,2025-07-19 16:55:00
57,8,107,78,1.375,1.408,1.375,0.000,0.033,No,ROTR_WIP,FAS016-20250721-0067,2025-07-21,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-21 09:42:00,2025-07-21 16:06:00
58,8,107,79,110.000,110.440,110.000,0.000,0.440,No,ROTR_WIP,FAS017-20250719-0068,2025-07-19,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-19 09:49:00,2025-07-19 16:17:00
59,8,107,82,110.000,112.420,110.000,1.100,1.320,ml,ROTR_WIP,CON003-20250721-0069,2025-07-21,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-21 09:56:00,2025-07-21 16:28:00
60,8,107,83,110.000,112.640,110.000,0.000,2.640,g,ROTR_WIP,CON004-20250719-0070,2025-07-19,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-19 09:03:00,2025-07-19 16:39:00
61,8,107,26,110.000,110.440,110.000,0.000,0.440,No,ROTR_WIP,SEA001-20250721-0071,2025-07-21,1,Returned,Returned material consumption for PROD202507180008; Rotor Assembly,2025-07-21 09:10:00,2025-07-21 16:50:00
62,9,108,7,150.000,153.600,150.000,0.000,3.600,No,ROTR_WIP,MAG001-20250805-0072,2025-08-05,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-05 09:17:00,2025-08-05 16:01:00
63,9,108,10,187.500,188.250,187.500,0.000,0.750,No,ROTR_WIP,MEC001-20250807-0073,2025-08-07,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-07 09:24:00,2025-08-07 16:12:00
64,9,108,13,75.000,76.650,75.000,0.750,0.900,No,ROTR_WIP,MEC004-20250804-0074,2025-08-04,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-04 09:31:00,2025-08-04 16:23:00
65,9,108,23,300.000,307.200,300.000,0.000,7.200,No,ROTR_WIP,BRG001-20250806-0075,2025-08-06,1,Closed,Closed material consumption for PROD202508040009; Rotor Assembly,2025-08-06 09:38:00,2025-08-06 16:34:00
66,9,108,21,12.000,12.048,12.000,0.000,0.048,No,ROTR_WIP,MEC012-20250808-0076,2025-08-08,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-08 09:45:00,2025-08-08 16:45:00
67,9,108,78,7.500,7.590,7.500,0.000,0.090,No,ROTR_WIP,FAS016-20250805-0077,2025-08-05,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-05 09:52:00,2025-08-05 16:56:00
68,9,108,79,600.000,614.400,600.000,0.000,14.400,No,ROTR_WIP,FAS017-20250807-0078,2025-08-07,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-07 09:59:00,2025-08-07 16:07:00
69,9,108,82,600.000,608.400,600.000,6.000,2.400,ml,ROTR_WIP,CON003-20250804-0079,2025-08-04,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-04 09:06:00,2025-08-04 16:18:00
70,9,108,83,600.000,607.200,600.000,0.000,7.200,g,ROTR_WIP,CON004-20250806-0080,2025-08-06,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-06 09:13:00,2025-08-06 16:29:00
71,9,108,26,600.000,614.400,600.000,0.000,14.400,No,ROTR_WIP,SEA001-20250808-0081,2025-08-08,1,Consumed,Consumed material consumption for PROD202508040009; Rotor Assembly,2025-08-08 09:20:00,2025-08-08 16:40:00
72,10,106,7,190.000,192.280,190.000,0.000,2.280,No,ROTR_WIP,MAG001-20250808-0082,2025-08-08,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-08 09:27:00,2025-08-08 16:51:00
73,10,106,10,237.500,243.200,237.500,0.000,5.700,No,ROTR_WIP,MEC001-20250810-0083,2025-08-10,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-10 09:34:00,2025-08-10 16:02:00
74,10,106,13,95.000,96.330,95.000,0.950,0.380,No,ROTR_WIP,MEC004-20250808-0084,2025-08-08,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-08 09:41:00,2025-08-08 16:13:00
75,10,106,23,380.000,384.560,380.000,0.000,4.560,No,ROTR_WIP,BRG001-20250810-0085,2025-08-10,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-10 09:48:00,2025-08-10 16:24:00
76,10,106,21,15.200,15.565,15.200,0.000,0.365,No,ROTR_WIP,MEC012-20250808-0086,2025-08-08,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-08 09:55:00,2025-08-08 16:35:00
77,10,106,78,9.500,9.538,9.500,0.000,0.038,No,ROTR_WIP,FAS016-20250810-0087,2025-08-10,1,Closed,Closed material consumption for PROD202508060010; Rotor Assembly,2025-08-10 09:02:00,2025-08-10 16:46:00
78,10,106,79,760.000,769.120,760.000,0.000,9.120,No,ROTR_WIP,FAS017-20250808-0088,2025-08-08,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-08 09:09:00,2025-08-08 16:57:00
79,10,106,82,760.000,785.840,760.000,7.600,18.240,ml,ROTR_WIP,CON003-20250810-0089,2025-08-10,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-10 09:16:00,2025-08-10 16:08:00
80,10,106,83,760.000,763.040,760.000,0.000,3.040,g,ROTR_WIP,CON004-20250808-0090,2025-08-08,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-08 09:23:00,2025-08-08 16:19:00
81,10,106,26,760.000,769.120,760.000,0.000,9.120,No,ROTR_WIP,SEA001-20250810-0091,2025-08-10,1,Consumed,Consumed material consumption for PROD202508060010; Rotor Assembly,2025-08-10 09:30:00,2025-08-10 16:30:00
82,11,107,7,149.000,97.237,96.850,0.000,0.387,No,ROTR_WIP,MAG001-20250203-0092,2025-02-03,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-03 09:37:00,2025-02-03 16:41:00
83,11,107,10,186.250,122.516,121.063,0.000,1.453,No,ROTR_WIP,MEC001-20250205-0093,2025-02-05,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-05 09:44:00,2025-02-05 16:52:00
84,11,107,13,74.500,50.071,48.425,0.484,1.162,No,ROTR_WIP,MEC004-20250207-0094,2025-02-07,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-07 09:51:00,2025-02-07 16:03:00
85,11,107,23,298.000,194.475,193.700,0.000,0.775,No,ROTR_WIP,BRG001-20250203-0095,2025-02-03,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-03 09:58:00,2025-02-03 16:14:00
86,11,107,21,11.920,7.841,7.748,0.000,0.093,No,ROTR_WIP,MEC012-20250205-0096,2025-02-05,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-05 09:05:00,2025-02-05 16:25:00
87,11,107,78,7.450,4.959,4.843,0.000,0.116,No,ROTR_WIP,FAS016-20250207-0097,2025-02-07,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-07 09:12:00,2025-02-07 16:36:00
88,11,107,79,596.000,388.950,387.400,0.000,1.550,No,ROTR_WIP,FAS017-20250203-0098,2025-02-03,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-03 09:19:00,2025-02-03 16:47:00
89,11,107,82,596.000,395.923,387.400,3.874,4.649,ml,ROTR_WIP,CON003-20250205-0099,2025-02-05,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-05 09:26:00,2025-02-05 16:58:00
90,11,107,83,596.000,396.698,387.400,0.000,9.298,g,ROTR_WIP,CON004-20250207-0100,2025-02-07,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-07 09:33:00,2025-02-07 16:09:00
91,11,107,26,596.000,388.950,387.400,0.000,1.550,No,ROTR_WIP,SEA001-20250203-0101,2025-02-03,1,Partially Consumed,Partially Consumed material consumption for PROD202502020011; Rotor Assembly,2025-02-03 09:40:00,2025-02-03 16:20:00
92,12,108,7,86.000,30.822,30.100,0.000,0.722,No,ROTR_WIP,MAG001-20250916-0102,2025-09-16,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-16 09:47:00,2025-09-16 16:31:00
93,12,108,10,107.500,37.776,37.625,0.000,0.151,No,ROTR_WIP,MEC001-20250912-0103,2025-09-12,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-12 09:54:00,2025-09-12 16:42:00
94,12,108,13,43.000,28.565,27.950,0.280,0.335,No,ROTR_WIP,MEC004-20250914-0104,2025-09-14,1,Partially Consumed,Partially Consumed material consumption for PROD202509110012; Rotor Assembly,2025-09-14 09:01:00,2025-09-14 16:53:00
95,12,108,23,172.000,61.645,60.200,0.000,1.445,No,ROTR_WIP,BRG001-20250916-0105,2025-09-16,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-16 09:08:00,2025-09-16 16:04:00
96,12,108,21,6.880,2.418,2.408,0.000,0.010,No,ROTR_WIP,MEC012-20250912-0106,2025-09-12,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-12 09:15:00,2025-09-12 16:15:00
97,12,108,78,4.300,2.829,2.795,0.000,0.034,No,ROTR_WIP,FAS016-20250914-0107,2025-09-14,1,Partially Consumed,Partially Consumed material consumption for PROD202509110012; Rotor Assembly,2025-09-14 09:22:00,2025-09-14 16:26:00
98,12,108,79,344.000,123.290,120.400,0.000,2.890,No,ROTR_WIP,FAS017-20250916-0108,2025-09-16,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-16 09:29:00,2025-09-16 16:37:00
99,12,108,82,344.000,122.086,120.400,1.204,0.482,ml,ROTR_WIP,CON003-20250912-0109,2025-09-12,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-12 09:36:00,2025-09-12 16:48:00
100,12,108,83,344.000,226.283,223.600,0.000,2.683,g,ROTR_WIP,CON004-20250914-0110,2025-09-14,1,Partially Consumed,Partially Consumed material consumption for PROD202509110012; Rotor Assembly,2025-09-14 09:43:00,2025-09-14 16:59:00
101,12,108,26,344.000,123.290,120.400,0.000,2.890,No,ROTR_WIP,SEA001-20250916-0111,2025-09-16,1,Issued,Issued material consumption for PROD202509110012; Rotor Assembly,2025-09-16 09:50:00,2025-09-16 16:10:00
102,13,100,103,12.000,0.000,0.000,0.000,0.000,No,ASMB_WIP,SFG-ST15-2025-09-30-13,2025-09-30,1,Planned,Assembly consumption of Finished Stator 1.5kW.,2025-09-30 09:57:00,2025-09-30 16:21:00
103,13,100,106,12.000,0.000,0.000,0.000,0.000,No,ASMB_WIP,SFG-RT15-2025-09-28-13,2025-09-28,1,Planned,Assembly consumption of Finished Rotor 1.5kW.,2025-09-28 09:04:00,2025-09-28 16:32:00
104,13,100,16,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,MEC007-20250928-0117,2025-09-28,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-28 09:32:00,2025-09-28 16:16:00
105,13,100,19,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,MEC010-20250930-0118,2025-09-30,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-30 09:39:00,2025-09-30 16:27:00
106,13,100,20,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,MEC011-20250928-0119,2025-09-28,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-28 09:46:00,2025-09-28 16:38:00
107,13,100,78,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,FAS016-20250930-0122,2025-09-30,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-30 09:07:00,2025-09-30 16:11:00
108,13,100,79,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,FAS017-20250928-0123,2025-09-28,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-28 09:14:00,2025-09-28 16:22:00
109,13,100,26,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,SEA001-20250930-0124,2025-09-30,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-30 09:21:00,2025-09-30 16:33:00
110,13,100,27,3.000,0.000,0.000,0.000,0.000,No,Mechanical Store,SEA002-20250928-0125,2025-09-28,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-28 09:28:00,2025-09-28 16:44:00
111,13,100,32,9.000,0.000,0.000,0.000,0.000,m,Electrical Store,ELE004-20250928-0127,2025-09-28,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-28 09:42:00,2025-09-28 16:06:00
112,13,100,35,3.000,0.000,0.000,0.000,0.000,No,Electrical Store,ELE007-20250930-0128,2025-09-30,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-30 09:49:00,2025-09-30 16:17:00
113,13,100,38,9.000,0.000,0.000,0.000,0.000,No,Electrical Store,ELE010-20250928-0129,2025-09-28,1,Planned,Planned material consumption for PROD202509270013; Final Motor Assembly,2025-09-28 09:56:00,2025-09-28 16:28:00
114,14,101,104,18.000,0.000,0.000,0.000,0.000,No,ASMB_WIP,SFG-ST30-2025-10-01-14,2025-10-01,1,Planned,Assembly consumption of Finished Stator 3kW.,2025-10-01 09:03:00,2025-10-01 16:39:00
115,14,101,107,18.000,0.000,0.000,0.000,0.000,No,ASMB_WIP,SFG-RT30-2025-10-03-14,2025-10-03,1,Planned,Assembly consumption of Finished Rotor 3kW.,2025-10-03 09:10:00,2025-10-03 16:50:00
116,14,101,17,4.500,0.000,0.000,0.000,0.000,No,Mechanical Store,MEC008-20251003-0135,2025-10-03,1,Planned,Planned material consumption for PROD202509300014; Final Motor Assembly,2025-10-03 09:38:00,2025-10-03 16:34:00
117,14,101,19,4.500,0.000,0.000,0.000,0.000,No,Mechanical Store,MEC010-20251001-0136,2025-10-01,1,Planned,Planned material consumption for PROD202509300014; Final Motor Assembly,2025-10-01 09:45:00,2025-10-01 16:45:00
118,14,101,20,4.500,0.000,0.000,0.000,0.000,No,Mechanical Store,MEC011-20251003-0137,2025-10-03,1,Planned,Planned material consumption for PROD202509300014; Final Motor Assembly,2025-10-03 09:52:00,2025-10-03 16:56:00
