pr_id,pr_number,requested_by,department_id,pr_date,required_date,remarks,status,approved_by,approved_date
140,PR202602190001,1,1,2026-02-19,2026-02-28,Stock replenishment request,Converted to PO,8,2026-02-20
141,PR202602220001,4,1,2026-02-22,2026-03-01,Safety stock replenishment,Approved,8,2026-02-23
142,PR202602250001,4,1,2026-02-25,2026-03-16,Stock replenishment request,Converted to PO,8,2026-02-28
143,PR202602250002,4,1,2026-02-25,2026-03-17,Urgent production requirement,Approved,8,2026-02-27
144,PR202603010001,1,1,2026-03-01,2026-03-14,Monthly material requirement,Converted to PO,8,2026-03-04
145,PR202603080001,1,1,2026-03-08,2026-03-24,Monthly material requirement,Converted to PO,8,2026-03-11
146,PR202603090001,1,3,2026-03-09,2026-03-25,Safety stock replenishment,Converted to PO,8,2026-03-11
147,PR202603130001,1,2,2026-03-13,2026-03-31,Urgent production requirement,Submitted,,
148,PR202603160001,4,1,2026-03-16,2026-03-31,Monthly material requirement,Converted to PO,8,2026-03-19
149,PR202603170001,1,2,2026-03-17,2026-03-31,Quarterly procurement planning,Converted to PO,8,2026-03-18
150,PR202603240001,4,1,2026-03-24,2026-03-31,Production shortage prevention,Converted to PO,8,2026-03-25
