bom_id,bom_code,parent_item_id,component_item_id,component_name,component_category,specification,quantity_per_unit,uom,scrap_factor_percent,production_stage,effective_from,effective_to,status,remarks,created_at,updated_at
14,BOM-FG001-014,100,40,Hall Sensor PCB,Electronic Components,FR4 PCB,1.000,No,0.50,Testing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
15,BOM-FG001-015,100,45,Motor Connector,Electronic Components,IP67 Connector,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
16,BOM-FG001-016,100,47,Wiring Harness,Electronic Components,Automotive Grade,1.000,Set,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
17,BOM-FG001-017,100,49,Cable Gland,Electronic Components,PG9 Nylon,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
18,BOM-FG001-018,100,52,Cable Tie,Electronic Components,"Nylon, 150 mm",5.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
19,BOM-FG001-019,100,63,Hex Bolt,Fasteners,"M5 × 20 mm, Grade 8.8",8.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
20,BOM-FG001-020,100,66,Hex Nut,Fasteners,"M5, Grade 8",8.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
21,BOM-FG001-021,100,69,Flat Washer,Fasteners,M5 SS304,8.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
22,BOM-FG001-022,100,72,Spring Washer,Fasteners,M5 Spring Steel,8.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
23,BOM-FG001-023,100,75,Dowel Pin,Fasteners,Ø5 × 20 mm,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
24,BOM-FG001-024,100,81,Epoxy Adhesive,Consumables,High Strength,30.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
25,BOM-FG001-025,100,82,Thread Locker,Consumables,Medium Strength,5.000,ml,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
26,BOM-FG001-026,100,84,Cleaning Solvent,Consumables,IPA,100.000,ml,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
27,BOM-FG001-027,100,85,Solder Wire,Consumables,Sn60/Pb40,10.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
28,BOM-FG001-028,100,86,Flux,Consumables,No-Clean,5.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
29,BOM-FG001-029,100,87,Silicone Sealant,Consumables,RTV,10.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
30,BOM-FG001-030,100,94,Aluminium Nameplate,Identification & Documentation,Laser Engraved,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
31,BOM-FG001-031,100,95,QR Code Label,Identification & Documentation,Polyester,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
32,BOM-FG001-032,100,96,Rating Sticker,Identification & Documentation,Polyester,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
33,BOM-FG001-033,100,97,Inspection Sticker,Identification & Documentation,QC Approved,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
34,BOM-FG001-034,100,88,Corrugated Carton Box,Packaging Materials,5-Ply,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
35,BOM-FG001-035,100,89,Foam Insert,Packaging Materials,EPE Foam,2.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
36,BOM-FG001-036,100,90,Bubble Wrap,Packaging Materials,300 × 300 mm,1.000,Sheet,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
37,BOM-FG001-037,100,91,Poly Bag,Packaging Materials,LDPE,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
38,BOM-FG001-038,100,92,Packing Tape,Packaging Materials,"BOPP, 48 mm",1.000,m,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
39,BOM-FG001-039,100,93,Silica Gel Pouch,Packaging Materials,10 g,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
40,BOM-FG001-040,100,98,User Manual,Identification & Documentation,A5 Printed,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
41,BOM-FG001-041,100,99,Warranty Card,Identification & Documentation,Printed,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet BLDC_1.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
42,BOM-FG002-042,101,17,Aluminium Housing,Mechanical Components,ADC12 Die Cast Housing,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
43,BOM-FG002-043,101,19,Front End Cover,Mechanical Components,ADC12 Aluminium,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
44,BOM-FG002-044,101,20,Rear End Cover,Mechanical Components,ADC12 Aluminium,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
45,BOM-FG002-045,101,78,Internal Circlip,Fasteners,DIN 472,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
46,BOM-FG002-046,101,79,External Circlip,Fasteners,DIN 471,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
47,BOM-FG002-047,101,26,O-Ring,Sealing Components,Nitrile Rubber,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
48,BOM-FG002-048,101,27,Oil Seal,Sealing Components,NBR,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
49,BOM-FG002-049,101,33,Phase Lead Wire,Electrical Components,4 mm² Silicone Cable,4.000,m,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
50,BOM-FG002-050,101,35,Terminal Block,Electrical Components,3 Phase Heavy Duty,1.000,No,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
51,BOM-FG002-051,101,38,Terminal Lug,Electrical Components,Copper Tinned,3.000,No,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
52,BOM-FG002-052,101,58,Phase Insulation Paper,Insulation Materials,Class H,36.000,No,1.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
53,BOM-FG002-053,101,61,Heat Shrink Sleeve,Insulation Materials,Ø8 mm,0.800,m,1.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
54,BOM-FG002-054,101,41,Resolver / Encoder,Electronic Components,Incremental Resolver,1.000,No,0.50,Testing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
55,BOM-FG002-055,101,43,Temperature Sensor,Electronic Components,NTC Thermistor,1.000,No,0.50,Testing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
56,BOM-FG002-056,101,45,Motor Connector,Electronic Components,IP67 Heavy Duty,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
57,BOM-FG002-057,101,47,Wiring Harness,Electronic Components,Automotive Grade,1.000,Set,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
58,BOM-FG002-058,101,50,Cable Gland,Electronic Components,PG11 Nylon,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
59,BOM-FG002-059,101,53,Cable Tie,Electronic Components,"Nylon, 200 mm",6.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
60,BOM-FG002-060,101,65,Hex Bolt,Fasteners,"M6 × 25 mm, Grade 8.8",10.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
61,BOM-FG002-061,101,67,Hex Nut,Fasteners,"M6, Grade 8",10.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
62,BOM-FG002-062,101,70,Flat Washer,Fasteners,M6 SS304,10.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
63,BOM-FG002-063,101,73,Spring Washer,Fasteners,M6 Spring Steel,10.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
64,BOM-FG002-064,101,76,Dowel Pin,Fasteners,Ø6 × 25 mm,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
65,BOM-FG002-065,101,81,Epoxy Adhesive,Consumables,High Strength,45.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
66,BOM-FG002-066,101,82,Thread Locker,Consumables,Medium Strength,8.000,ml,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
67,BOM-FG002-067,101,84,Cleaning Solvent,Consumables,IPA,150.000,ml,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
68,BOM-FG002-068,101,85,Solder Wire,Consumables,Sn60/Pb40,15.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
69,BOM-FG002-069,101,86,Flux,Consumables,No-Clean,8.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
70,BOM-FG002-070,101,87,Silicone Sealant,Consumables,RTV,15.000,g,3.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
71,BOM-FG002-071,101,94,Aluminium Nameplate,Identification & Documentation,Laser Engraved,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
72,BOM-FG002-072,101,95,QR Code Label,Identification & Documentation,Polyester,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
73,BOM-FG002-073,101,96,Rating Sticker,Identification & Documentation,Polyester,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
74,BOM-FG002-074,101,97,Inspection Sticker,Identification & Documentation,QC Approved,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
75,BOM-FG002-075,101,88,Corrugated Carton Box,Packaging Materials,7-Ply,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
76,BOM-FG002-076,101,89,Foam Insert,Packaging Materials,EPE Foam,2.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
77,BOM-FG002-077,101,90,Bubble Wrap,Packaging Materials,Heavy Duty,1.000,Sheet,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
78,BOM-FG002-078,101,91,Poly Bag,Packaging Materials,LDPE,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
79,BOM-FG002-079,101,92,Packing Tape,Packaging Materials,"BOPP, 48 mm",1.200,m,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
80,BOM-FG002-080,101,93,Silica Gel Pouch,Packaging Materials,20 g,1.000,No,1.00,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
81,BOM-FG002-081,101,98,User Manual,Identification & Documentation,A5 Printed,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
82,BOM-FG002-082,101,99,Warranty Card,Identification & Documentation,Printed,1.000,No,0.50,Packing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_3kW,2025-01-01 09:00:00,2025-01-01 09:00:00
83,BOM-FG003-083,102,18,Aluminium Housing,Mechanical Components,ADC12 Heavy Duty Die Cast,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
84,BOM-FG003-084,102,19,Front End Cover,Mechanical Components,ADC12 Aluminium,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
85,BOM-FG003-085,102,20,Rear End Cover,Mechanical Components,ADC12 Aluminium,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
86,BOM-FG003-086,102,78,Internal Circlip,Fasteners,DIN 472,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
87,BOM-FG003-087,102,79,External Circlip,Fasteners,DIN 471,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
88,BOM-FG003-088,102,26,O-Ring,Sealing Components,Nitrile Rubber,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
89,BOM-FG003-089,102,27,Oil Seal,Sealing Components,Heavy Duty NBR,2.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
90,BOM-FG003-090,102,34,Phase Lead Wire,Electrical Components,10 mm² Silicone Cable,5.000,m,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
91,BOM-FG003-091,102,35,Terminal Block,Electrical Components,Industrial 3 Phase,1.000,No,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
92,BOM-FG003-092,102,38,Terminal Lug,Electrical Components,Copper Tinned,3.000,No,2.00,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
93,BOM-FG003-093,102,58,Phase Insulation Paper,Insulation Materials,Class H,48.000,No,1.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
94,BOM-FG003-094,102,62,Heat Shrink Sleeve,Insulation Materials,Ø12 mm,1.000,m,1.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
95,BOM-FG003-095,102,41,Resolver / Encoder,Electronic Components,High Precision Resolver,1.000,No,0.50,Testing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
96,BOM-FG003-096,102,43,Temperature Sensor,Electronic Components,PT100,2.000,No,0.50,Testing,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
97,BOM-FG003-097,102,46,Motor Connector,Electronic Components,IP68 Heavy Duty,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
98,BOM-FG003-098,102,47,Wiring Harness,Electronic Components,Industrial Grade,1.000,Set,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
99,BOM-FG003-099,102,51,Cable Gland,Electronic Components,PG16 Brass,1.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
100,BOM-FG003-100,102,54,Cable Tie,Electronic Components,"Nylon, 250 mm",8.000,No,0.50,Final Motor Assembly,2025-01-01,,Active,Imported from EV_Motor_BOMs_BLDC_PMSM.xlsx sheet PMSM_7.5kW,2025-01-01 09:00:00,2025-01-01 09:00:00
