grn_id,grn_number,po_id,vendor_id,received_date,invoice_number,invoice_date,delivery_challan_number,received_by,warehouse_location,inspection_required,grn_status,remarks,created_at,updated_at
56,GRN202508070056,162,30,2025-08-07,INV-202507140162-02,2025-08-05,DC-202507140162-02,11,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202507140162,2025-08-07 09:40:00,2025-08-07 10:40:00
57,GRN202508010057,23,29,2025-08-01,INV-202507160023-01,2025-07-29,DC-202507160023-01,11,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202507160023,2025-08-01 09:45:00,2025-08-01 10:45:00
58,GRN202507270058,163,28,2025-07-27,INV-202507160163-01,2025-07-24,DC-202507160163-01,12,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202507160163,2025-07-27 09:50:00,2025-07-27 10:50:00
59,GRN202508100059,164,29,2025-08-10,INV-202507270164-01,2025-08-10,DC-202507270164-01,13,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202507270164,2025-08-10 09:55:00,2025-08-10 10:55:00
60,GRN202508070060,164,29,2025-08-07,INV-202507270164-02,2025-08-07,DC-202507270164-02,4,Mechanical Store,Yes,Closed,Closed receipt for Fasteners against PO202507270164,2025-08-07 09:00:00,2025-08-07 10:00:00
61,GRN202508210061,279,25,2025-08-21,INV-202507280279-01,2025-08-18,DC-202507280279-01,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Insulation Materials against PO202507280279,2025-08-21 09:05:00,2025-08-21 10:05:00
62,GRN202508170062,26,16,2025-08-17,INV-202507290026-01,2025-08-15,DC-202507290026-01,6,Consumables Store,No,Partially Accepted,Partially Accepted receipt for Consumables against PO202507290026,2025-08-17 09:10:00,2025-08-17 10:10:00
63,GRN202508190063,26,16,2025-08-19,INV-202507290026-02,2025-08-17,DC-202507290026-02,8,Consumables Store,Yes,Partially Accepted,Partially Accepted receipt for Consumables against PO202507290026,2025-08-19 09:15:00,2025-08-19 10:15:00
64,GRN202508120064,166,15,2025-08-12,INV-202507290166-01,2025-08-10,DC-202507290166-01,8,Consumables Store,No,Partially Accepted,Partially Accepted receipt for Consumables against PO202507290166,2025-08-12 09:20:00,2025-08-12 10:20:00
65,GRN202508140065,166,15,2025-08-14,INV-202507290166-02,2025-08-12,DC-202507290166-02,10,Consumables Store,No,Partially Accepted,Partially Accepted receipt for Consumables against PO202507290166,2025-08-14 09:25:00,2025-08-14 10:25:00
66,GRN202509060066,27,9,2025-09-06,INV-202507300027-01,2025-09-03,DC-202507300027-01,10,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202507300027,2025-09-06 09:30:00,2025-09-06 10:30:00
67,GRN202508230067,167,8,2025-08-23,INV-202507300167-01,2025-08-20,DC-202507300167-01,11,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202507300167,2025-08-23 09:35:00,2025-08-23 10:35:00
68,GRN202508180068,28,22,2025-08-18,INV-202508010028-01,2025-08-18,DC-202508010028-01,12,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202508010028,2025-08-18 09:40:00,2025-08-18 10:40:00
69,GRN202508200069,28,22,2025-08-20,INV-202508010028-02,2025-08-20,DC-202508010028-02,3,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202508010028,2025-08-20 09:45:00,2025-08-20 10:45:00
70,GRN202508170070,29,18,2025-08-17,INV-202508030029-01,2025-08-16,DC-202508030029-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202508030029,2025-08-17 09:50:00,2025-08-17 10:50:00
71,GRN202508220071,169,18,2025-08-22,INV-202508030169-01,2025-08-21,DC-202508030169-01,4,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202508030169,2025-08-22 09:55:00,2025-08-22 10:55:00
72,GRN202508170072,31,28,2025-08-17,INV-202508050031-01,2025-08-14,DC-202508050031-01,6,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202508050031,2025-08-17 09:00:00,2025-08-17 10:00:00
73,GRN202508260073,171,30,2025-08-26,INV-202508050171-01,2025-08-23,DC-202508050171-01,7,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202508050171,2025-08-26 09:05:00,2025-08-26 10:05:00
74,GRN202508210074,30,30,2025-08-21,INV-202508070030-01,2025-08-19,DC-202508070030-01,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Insulation Materials against PO202508070030,2025-08-21 09:10:00,2025-08-21 10:10:00
75,GRN202508230075,30,30,2025-08-23,INV-202508070030-02,2025-08-21,DC-202508070030-02,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Insulation Materials against PO202508070030,2025-08-23 09:15:00,2025-08-23 10:15:00
76,GRN202508230076,170,29,2025-08-23,INV-202508070170-01,2025-08-21,DC-202508070170-01,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Insulation Materials against PO202508070170,2025-08-23 09:20:00,2025-08-23 10:20:00
77,GRN202508250077,170,29,2025-08-25,INV-202508070170-02,2025-08-23,DC-202508070170-02,12,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Insulation Materials against PO202508070170,2025-08-25 09:25:00,2025-08-25 10:25:00
78,GRN202508190078,172,21,2025-08-19,INV-202508070172-01,2025-08-19,DC-202508070172-01,12,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202508070172,2025-08-19 09:30:00,2025-08-19 10:30:00
79,GRN202508210079,172,21,2025-08-21,INV-202508070172-02,2025-08-21,DC-202508070172-02,3,Electrical Store,Yes,Accepted,Accepted receipt for Electronic Components against PO202508070172,2025-08-21 09:35:00,2025-08-21 10:35:00
80,GRN202508210080,280,28,2025-08-21,INV-202508080280-01,2025-08-21,DC-202508080280-01,3,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202508080280,2025-08-21 09:40:00,2025-08-21 10:40:00
81,GRN202508230081,280,28,2025-08-23,INV-202508080280-02,2025-08-23,DC-202508080280-02,6,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202508080280,2025-08-23 09:45:00,2025-08-23 10:45:00
82,GRN202509020082,36,24,2025-09-02,INV-202508100036-01,2025-09-02,DC-202508100036-01,6,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202508100036,2025-09-02 09:50:00,2025-09-02 10:50:00
83,GRN202509040083,36,24,2025-09-04,INV-202508100036-02,2025-09-04,DC-202508100036-02,8,Electrical Store,Yes,Accepted,Accepted receipt for Electrical Components against PO202508100036,2025-09-04 09:55:00,2025-09-04 10:55:00
84,GRN202509030084,34,11,2025-09-03,INV-202508120034-01,2025-09-01,DC-202508120034-01,8,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Magnetic Components against PO202508120034,2025-09-03 09:00:00,2025-09-03 10:00:00
85,GRN202508310085,34,11,2025-08-31,INV-202508120034-02,2025-08-29,DC-202508120034-02,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202508120034,2025-08-31 09:05:00,2025-08-31 10:05:00
86,GRN202509010086,174,22,2025-09-01,INV-202508120174-01,2025-08-30,DC-202508120174-01,10,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202508120174,2025-09-01 09:10:00,2025-09-01 10:10:00
87,GRN202508290087,174,22,2025-08-29,INV-202508120174-02,2025-08-27,DC-202508120174-02,12,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Magnetic Components against PO202508120174,2025-08-29 09:15:00,2025-08-29 10:15:00
88,GRN202508290088,177,18,2025-08-29,INV-202508130177-01,2025-08-28,DC-202508130177-01,12,QA Hold Area,Yes,Rejected,Rejected receipt for Electronic Components against PO202508130177,2025-08-29 09:20:00,2025-08-29 10:20:00
89,GRN202509070089,35,14,2025-09-07,INV-202508140035-01,2025-09-04,DC-202508140035-01,13,Mechanical Store,Yes,Accepted,Accepted receipt for Mechanical Components against PO202508140035,2025-09-07 09:25:00,2025-09-07 10:25:00
90,GRN202508260090,38,19,2025-08-26,INV-202508140038-01,2025-08-24,DC-202508140038-01,3,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electronic Components against PO202508140038,2025-08-26 09:30:00,2025-08-26 10:30:00
91,GRN202508280091,38,19,2025-08-28,INV-202508140038-02,2025-08-26,DC-202508140038-02,6,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202508140038,2025-08-28 09:35:00,2025-08-28 10:35:00
92,GRN202508310092,178,19,2025-08-31,INV-202508140178-01,2025-08-29,DC-202508140178-01,6,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202508140178,2025-08-31 09:40:00,2025-08-31 10:40:00
93,GRN202509020093,178,19,2025-09-02,INV-202508140178-02,2025-08-31,DC-202508140178-02,8,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electronic Components against PO202508140178,2025-09-02 09:45:00,2025-09-02 10:45:00
94,GRN202509180094,39,6,2025-09-18,INV-202508180039-01,2025-09-15,DC-202508180039-01,8,Mechanical Store,Yes,Accepted,Accepted receipt for Bearings against PO202508180039,2025-09-18 09:50:00,2025-09-18 10:50:00
95,GRN202509010095,41,29,2025-09-01,INV-202508180041-01,2025-08-31,DC-202508180041-01,9,Mechanical Store,No,Received,Received receipt for Fasteners against PO202508180041,2025-09-01 09:55:00,2025-09-01 10:55:00
96,GRN202509160096,179,5,2025-09-16,INV-202508180179-01,2025-09-13,DC-202508180179-01,10,Mechanical Store,Yes,Accepted,Accepted receipt for Bearings against PO202508180179,2025-09-16 09:00:00,2025-09-16 10:00:00
97,GRN202509090097,180,30,2025-09-09,INV-202508200180-01,2025-09-09,DC-202508200180-01,11,Mechanical Store,No,Accepted,Accepted receipt for Fasteners against PO202508200180,2025-09-09 09:05:00,2025-09-09 10:05:00
98,GRN202509110098,180,30,2025-09-11,INV-202508200180-02,2025-09-11,DC-202508200180-02,13,Mechanical Store,Yes,Accepted,Accepted receipt for Fasteners against PO202508200180,2025-09-11 09:10:00,2025-09-11 10:10:00
99,GRN202509110099,42,35,2025-09-11,INV-202508230042-01,2025-09-09,DC-202508230042-01,13,Packaging Store,Yes,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202508230042,2025-09-11 09:15:00,2025-09-11 10:15:00
100,GRN202509130100,42,35,2025-09-13,INV-202508230042-02,2025-09-11,DC-202508230042-02,4,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202508230042,2025-09-13 09:20:00,2025-09-13 10:20:00
101,GRN202509070101,182,35,2025-09-07,INV-202508230182-01,2025-09-05,DC-202508230182-01,4,Packaging Store,No,Partially Accepted,Partially Accepted receipt for Packaging Materials against PO202508230182,2025-09-07 09:25:00,2025-09-07 10:25:00
102,GRN202509090102,182,35,2025-09-09,INV-202508230182-02,2025-09-07,DC-202508230182-02,7,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Packaging Materials against PO202508230182,2025-09-09 09:30:00,2025-09-09 10:30:00
103,GRN202509230103,43,4,2025-09-23,INV-202508250043-01,2025-09-20,DC-202508250043-01,7,Electrical Store,Yes,Accepted,Accepted receipt for Core Components against PO202508250043,2025-09-23 09:35:00,2025-09-23 10:35:00
104,GRN202509240104,183,6,2025-09-24,INV-202508250183-01,2025-09-21,DC-202508250183-01,8,Electrical Store,Yes,Accepted,Accepted receipt for Core Components against PO202508250183,2025-09-24 09:40:00,2025-09-24 10:40:00
105,GRN202509260105,44,8,2025-09-26,INV-202508280044-01,2025-09-26,DC-202508280044-01,9,Electrical Store,Yes,Closed,Closed receipt for Magnetic Components against PO202508280044,2025-09-26 09:45:00,2025-09-26 10:45:00
106,GRN202509230106,44,8,2025-09-23,INV-202508280044-02,2025-09-23,DC-202508280044-02,11,Electrical Store,Yes,Accepted,Accepted receipt for Magnetic Components against PO202508280044,2025-09-23 09:50:00,2025-09-23 10:50:00
107,GRN202509120107,46,22,2025-09-12,INV-202508280046-01,2025-09-10,DC-202508280046-01,11,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202508280046,2025-09-12 09:55:00,2025-09-12 10:55:00
108,GRN202509140108,46,22,2025-09-14,INV-202508280046-02,2025-09-12,DC-202508280046-02,13,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202508280046,2025-09-14 09:00:00,2025-09-14 10:00:00
109,GRN202509170109,186,24,2025-09-17,INV-202508280186-01,2025-09-15,DC-202508280186-01,13,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202508280186,2025-09-17 09:05:00,2025-09-17 10:05:00
110,GRN202509190110,186,24,2025-09-19,INV-202508280186-02,2025-09-17,DC-202508280186-02,4,Electrical Store,Yes,Partially Accepted,Partially Accepted receipt for Electrical Components against PO202508280186,2025-09-19 09:10:00,2025-09-19 10:10:00
111,GRN202509180111,282,34,2025-09-18,INV-202508300282-01,2025-09-16,DC-202508300282-01,4,Packaging Store,Yes,Accepted,Accepted receipt for Packaging Materials against PO202508300282,2025-09-18 09:15:00,2025-09-18 10:15:00
112,GRN202509140112,47,16,2025-09-14,INV-202508310047-01,2025-09-11,DC-202508310047-01,6,Packaging Store,No,Accepted,Accepted receipt for Packaging Materials against PO202508310047,2025-09-14 09:20:00,2025-09-14 10:20:00
113,GRN202509180113,187,15,2025-09-18,INV-202508310187-01,2025-09-15,DC-202508310187-01,7,Packaging Store,No,Accepted,Accepted receipt for Packaging Materials against PO202508310187,2025-09-18 09:25:00,2025-09-18 10:25:00
114,GRN202509270114,188,26,2025-09-27,INV-202509020188-01,2025-09-27,DC-202509020188-01,8,Electrical Store,Yes,Accepted,Accepted receipt for Insulation Materials against PO202509020188,2025-09-27 09:30:00,2025-09-27 10:30:00
115,GRN202509290115,188,26,2025-09-29,INV-202509020188-02,2025-09-29,DC-202509020188-02,10,Electrical Store,Yes,Closed,Closed receipt for Insulation Materials against PO202509020188,2025-09-29 09:35:00,2025-09-29 10:35:00
116,GRN202509230116,49,1,2025-09-23,INV-202509040049-01,2025-09-22,DC-202509040049-01,10,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202509040049,2025-09-23 09:40:00,2025-09-23 10:40:00
117,GRN202510010117,189,3,2025-10-01,INV-202509040189-01,2025-09-30,DC-202509040189-01,11,QA Hold Area,Yes,Under Inspection,Under Inspection receipt for Electrical Components against PO202509040189,2025-10-01 09:45:00,2025-10-01 10:45:00
118,GRN202509200118,50,29,2025-09-20,INV-202509070050-01,2025-09-18,DC-202509070050-01,12,Mechanical Store,Yes,Partially Accepted,Partially Accepted receipt for Fasteners against PO202509070050,2025-09-20 09:50:00,2025-09-20 10:50:00
