co_item_id,co_id,item_id,ordered_quantity,dispatched_quantity,pending_quantity,remarks
226,226,100,32,0,0,Customer cancelled order
227,227,100,44,36,8,Partial dispatch due to production
228,228,100,35,35,0,OEM production schedule
229,229,102,10,10,0,Emergency replenishment
230,230,100,58,0,58,Awaiting production completion
231,231,101,14,7,7,Partial dispatch due to production
232,232,101,33,33,0,OEM production schedule
233,233,100,50,50,0,OEM production schedule
234,234,100,67,67,0,Regular monthly supply
235,235,100,46,46,0,Regular monthly supply
236,236,100,76,51,25,Partial dispatch due to production
237,237,100,72,72,0,Regular monthly supply
238,238,100,65,65,0,OEM production schedule
239,239,102,19,19,0,Emergency replenishment
240,240,101,17,17,0,Regular monthly supply
241,241,101,15,15,0,OEM production schedule
242,241,100,14,14,0,Regular monthly supply
243,242,102,6,6,0,OEM production schedule
244,243,100,58,58,0,Regular monthly supply
245,244,100,30,0,30,Awaiting production completion
246,245,100,55,55,0,Regular monthly supply
247,246,101,31,31,0,OEM production schedule
248,247,100,44,44,0,Emergency replenishment
249,248,100,63,63,0,OEM production schedule
250,249,100,73,73,0,OEM production schedule
251,250,101,13,13,0,OEM production schedule
252,251,100,52,52,0,Regular monthly supply
253,252,101,14,14,0,Emergency replenishment
254,253,100,50,50,0,Emergency replenishment
255,254,100,37,37,0,Emergency replenishment
256,255,102,11,8,3,Partial dispatch due to production
257,256,100,66,66,0,Emergency replenishment
258,257,101,12,12,0,Emergency replenishment
259,258,100,56,56,0,OEM production schedule
260,259,100,37,37,0,OEM production schedule
261,260,101,17,0,0,Customer cancelled order
262,261,101,22,22,0,OEM production schedule
263,262,100,28,28,0,Emergency replenishment
264,263,100,32,32,0,OEM production schedule
265,264,100,41,41,0,Regular monthly supply
266,265,100,26,26,0,Regular monthly supply
267,266,100,44,44,0,Emergency replenishment
268,267,100,49,43,6,Partial dispatch due to production
269,268,101,13,13,0,Regular monthly supply
270,269,101,8,8,0,OEM production schedule
271,270,100,68,68,0,OEM production schedule
272,271,100,74,74,0,OEM production schedule
273,272,100,54,0,54,Awaiting production completion
274,273,101,24,24,0,Regular monthly supply
275,274,100,28,28,0,Emergency replenishment
276,275,101,31,31,0,Regular monthly supply
277,276,100,37,19,18,Partial dispatch due to production
278,277,100,53,53,0,Emergency replenishment
279,278,101,35,35,0,Emergency replenishment
280,279,100,36,36,0,Regular monthly supply
281,280,100,24,24,0,OEM production schedule
282,281,100,44,25,19,Partial dispatch due to production
283,282,101,10,10,0,Regular monthly supply
284,283,100,56,56,0,OEM production schedule
285,284,100,38,30,8,Partial dispatch due to production
286,285,101,16,16,0,Emergency replenishment
287,286,100,74,74,0,Emergency replenishment
288,287,100,9,9,0,Regular monthly supply
289,287,101,6,6,0,Emergency replenishment
290,288,101,5,5,0,Emergency replenishment
291,289,100,42,42,0,OEM production schedule
292,290,100,75,56,19,Partial dispatch due to production
293,291,101,18,18,0,Regular monthly supply
294,292,101,15,15,0,Emergency replenishment
295,293,100,63,63,0,OEM production schedule
296,294,100,38,38,0,OEM production schedule
297,295,100,23,16,7,Partial dispatch due to production
298,296,100,41,41,0,Regular monthly supply
299,297,102,17,17,0,OEM production schedule
300,298,100,66,66,0,Emergency replenishment
301,299,100,69,69,0,Emergency replenishment
302,300,101,20,20,0,OEM production schedule
