po_item_id,po_id,pr_item_id,item_id,ordered_quantity,uom,unit_price,line_subtotal,tax_rate,tax_amount,discount_amount,line_total,expected_delivery_date,received_quantity,pending_quantity,line_status,remarks,created_at,updated_at
32,11,56,27,18.200,No,14953.846154,272160.00,18.00,48988.80,0.00,321148.80,2025-05-28,18.200,0.000,Fully Received,PO line converted from PR item 56 for Oil Seal Standard,2025-05-25 14:36:00,2025-05-25 15:36:00
33,12,63,6,31.850,No,6260.596546,199400.00,18.00,35892.00,0.00,235292.00,2025-06-03,31.850,0.000,Closed,PO line converted from PR item 63 for Rotor Core 7.5 kW,2025-05-31 14:39:00,2025-05-31 15:39:00
34,12,64,29,592.500,kg,504.810127,299100.00,18.00,53838.00,0.00,352938.00,2025-06-04,592.500,0.000,Closed,PO line converted from PR item 64 for Copper Wire 1.00 mm,2025-05-31 14:42:00,2025-05-31 15:42:00
35,12,65,36,881.400,No,452.461992,398800.00,18.00,71784.00,0.00,470584.00,2025-06-05,881.400,0.000,Closed,PO line converted from PR item 65 for Terminal Block Heavy Duty,2025-05-31 14:45:00,2025-05-31 15:45:00
36,13,71,64,1154.000,No,3.094827,3571.43,18.00,642.86,0.00,4214.29,2025-06-11,0.000,1154.000,Ordered,PO line converted from PR item 71 for Hex Bolt M6×25,2025-06-07 14:48:00,2025-06-07 15:48:00
37,13,72,71,1610.700,No,3.325970,5357.14,18.00,964.29,0.00,6321.43,2025-06-12,0.000,1610.700,Ordered,PO line converted from PR item 72 for Flat Washer M8,2025-06-07 14:51:00,2025-06-07 15:51:00
38,13,73,78,2118.400,No,3.371818,7142.86,18.00,1285.71,0.00,8428.57,2025-06-13,0.000,2118.400,Ordered,PO line converted from PR item 73 for Internal Circlip,2025-06-07 14:54:00,2025-06-07 15:54:00
39,13,74,85,1022.000,g,8.736370,8928.57,18.00,1607.14,0.00,10535.71,2025-06-14,0.000,1022.000,Ordered,PO line converted from PR item 74 for Solder Wire,2025-06-07 14:57:00,2025-06-07 15:57:00
40,14,75,75,1660.100,No,3.090175,5130.00,18.00,923.40,0.00,6053.40,2025-06-19,1660.100,0.000,Fully Received,PO line converted from PR item 75 for Dowel Pin Ø5×20,2025-06-14 14:00:00,2025-06-14 15:00:00
41,14,76,82,2260.000,ml,3.404867,7695.00,18.00,1385.10,0.00,9080.10,2025-06-20,1582.000,678.000,Partially Received,PO line converted from PR item 76 for Thread Locker,2025-06-14 14:03:00,2025-06-14 15:03:00
42,14,77,89,907.900,No,11.300804,10260.00,18.00,1846.80,0.00,12106.80,2025-06-21,226.975,680.925,Partially Received,PO line converted from PR item 77 for Foam Insert,2025-06-14 14:06:00,2025-06-14 15:06:00
43,14,78,96,89.500,No,143.296089,12825.00,18.00,2308.50,0.00,15133.50,2025-06-22,35.800,53.700,Partially Received,PO line converted from PR item 78 for Rating Sticker,2025-06-14 14:09:00,2025-06-14 15:09:00
44,14,75,75,1660.100,No,9.270526,15390.00,18.00,2770.20,0.00,18160.20,2025-06-17,1660.100,0.000,Fully Received,PO line converted from PR item 75 for Dowel Pin Ø5×20,2025-06-14 14:12:00,2025-06-14 15:12:00
45,15,79,4,160.800,No,9820.895522,1579200.00,18.00,284256.00,23688.00,1839768.00,2025-06-21,160.800,0.000,Fully Received,PO line converted from PR item 79 for Rotor Core 1.5 kW,2025-06-15 14:15:00,2025-06-15 15:15:00
46,16,83,74,913.150,No,10.951103,10000.00,18.00,1800.00,0.00,11800.00,2025-06-22,0.000,913.150,Cancelled,PO line converted from PR item 83 for Spring Washer M8,2025-06-15 14:18:00,2025-06-15 15:18:00
47,16,84,64,1228.000,No,12.214984,15000.00,18.00,2700.00,0.00,17700.00,2025-06-23,0.000,1228.000,Cancelled,PO line converted from PR item 84 for Hex Bolt M6×25,2025-06-15 14:21:00,2025-06-15 15:21:00
48,17,87,81,1440.000,g,22.299382,32111.11,18.00,5780.00,0.00,37891.11,2025-06-25,0.000,1440.000,Ordered,PO line converted from PR item 87 for Epoxy Adhesive,2025-06-17 14:24:00,2025-06-17 15:24:00
49,17,88,88,1721.850,No,27.973790,48166.67,18.00,8670.00,0.00,56836.67,2025-06-20,0.000,1721.850,Ordered,PO line converted from PR item 88 for Corrugated Carton Box,2025-06-17 14:27:00,2025-06-17 15:27:00
50,17,89,24,471.200,No,136.295034,64222.22,18.00,11560.00,0.00,75782.22,2025-06-21,0.000,471.200,Ordered,PO line converted from PR item 89 for Bearing 6205-2RS,2025-06-17 14:30:00,2025-06-17 15:30:00
51,18,91,17,181.350,No,1170.585663,212285.71,18.00,38211.43,0.00,250497.14,2025-06-30,181.350,0.000,Fully Received,PO line converted from PR item 91 for Housing 3 kW,2025-06-27 14:33:00,2025-06-27 15:33:00
52,18,92,24,471.200,No,675.782194,318428.57,18.00,57317.14,0.00,375745.71,2025-07-01,329.840,141.360,Partially Received,PO line converted from PR item 92 for Bearing 6205-2RS,2025-06-27 14:36:00,2025-06-27 15:36:00
53,18,93,31,532.000,kg,798.066598,424571.43,18.00,76422.86,0.00,500994.29,2025-07-02,133.000,399.000,Partially Received,PO line converted from PR item 93 for Copper Wire 1.60 mm,2025-06-27 14:39:00,2025-06-27 15:39:00
54,18,94,38,845.000,No,628.064249,530714.29,18.00,95528.57,0.00,626242.86,2025-07-03,338.000,507.000,Partially Received,PO line converted from PR item 94 for Terminal Lug,2025-06-27 14:42:00,2025-06-27 15:42:00
55,19,95,66,2054.400,No,1.216900,2500.00,18.00,450.00,0.00,2950.00,2025-07-03,2054.400,0.000,Fully Received,PO line converted from PR item 95 for Hex Nut M5,2025-06-29 14:45:00,2025-06-29 15:45:00
56,19,96,73,958.300,No,3.913180,3750.00,18.00,675.00,0.00,4425.00,2025-07-04,958.300,0.000,Fully Received,PO line converted from PR item 96 for Spring Washer M6,2025-06-29 14:48:00,2025-06-29 15:48:00
57,19,97,80,1505.000,ml,3.322259,5000.00,18.00,900.00,0.00,5900.00,2025-07-05,1505.000,0.000,Fully Received,PO line converted from PR item 97 for Insulating Varnish,2025-06-29 14:51:00,2025-06-29 15:51:00
58,19,98,87,2067.000,g,3.023706,6250.00,18.00,1125.00,0.00,7375.00,2025-07-06,2067.000,0.000,Fully Received,PO line converted from PR item 98 for Silicone Sealant,2025-06-29 14:54:00,2025-06-29 15:54:00
59,19,95,66,2054.400,No,3.650701,7500.00,18.00,1350.00,0.00,8850.00,2025-07-07,2054.400,0.000,Fully Received,PO line converted from PR item 95 for Hex Nut M5,2025-06-29 14:57:00,2025-06-29 15:57:00
60,20,99,29,518.000,kg,3000.000000,1554000.00,18.00,279720.00,0.00,1833720.00,2025-07-06,518.000,0.000,Closed,PO line converted from PR item 99 for Copper Wire 1.00 mm,2025-07-01 14:00:00,2025-07-01 15:00:00
61,21,103,50,78.000,No,128.205128,10000.00,18.00,1800.00,0.00,11800.00,2025-07-11,0.000,78.000,Ordered,PO line converted from PR item 103 for Cable Gland PG11,2025-07-05 14:03:00,2025-07-05 15:03:00
62,21,104,57,1825.200,No,8.218277,15000.00,18.00,2700.00,0.00,17700.00,2025-07-12,0.000,1825.200,Ordered,PO line converted from PR item 104 for Slot Liner 0.35 mm,2025-07-05 14:06:00,2025-07-05 15:06:00
63,22,107,28,22.100,No,251.382805,5555.56,18.00,1000.00,83.33,6472.23,2025-07-20,22.100,0.000,Fully Received,PO line converted from PR item 107 for Oil Seal Heavy Duty,2025-07-13 14:09:00,2025-07-13 15:09:00
64,22,108,69,2218.400,No,3.756460,8333.33,18.00,1500.00,125.00,9708.33,2025-07-21,1552.880,665.520,Partially Received,PO line converted from PR item 108 for Flat Washer M5,2025-07-13 14:12:00,2025-07-13 15:12:00
65,22,109,76,1030.050,No,10.786962,11111.11,18.00,2000.00,166.67,12944.44,2025-07-16,257.513,772.537,Partially Received,PO line converted from PR item 109 for Dowel Pin Ø6×25,2025-07-13 14:15:00,2025-07-13 15:15:00
66,23,111,72,2264.000,No,1.577487,3571.43,18.00,642.86,0.00,4214.29,2025-07-23,2264.000,0.000,Fully Received,PO line converted from PR item 111 for Spring Washer M5,2025-07-15 14:18:00,2025-07-15 15:18:00
67,23,112,79,1050.000,No,5.102038,5357.14,18.00,964.29,0.00,6321.43,2025-07-18,1050.000,0.000,Fully Received,PO line converted from PR item 112 for External Circlip,2025-07-15 14:21:00,2025-07-15 15:21:00
68,23,113,86,1635.000,g,4.368722,7142.86,18.00,1285.71,0.00,8428.57,2025-07-19,1635.000,0.000,Fully Received,PO line converted from PR item 113 for Flux,2025-07-15 14:24:00,2025-07-15 15:24:00
69,23,111,72,1839.500,No,4.853803,8928.57,18.00,1607.14,0.00,10535.71,2025-07-20,1839.500,0.000,Fully Received,PO line converted from PR item 111 for Spring Washer M5,2025-07-15 14:27:00,2025-07-15 15:27:00
70,24,117,24,24.500,No,174.285714,4270.00,18.00,768.60,0.00,5038.60,2025-07-29,0.000,24.500,Cancelled,PO line converted from PR item 117 for Bearing 6205-2RS,2025-07-26 14:30:00,2025-07-26 15:30:00
71,24,118,65,1404.000,No,4.561966,6405.00,18.00,1152.90,0.00,7557.90,2025-07-30,0.000,1404.000,Cancelled,PO line converted from PR item 118 for Hex Bolt M8×35,2025-07-26 14:33:00,2025-07-26 15:33:00
72,24,119,72,1935.700,No,4.411841,8540.00,18.00,1537.20,0.00,10077.20,2025-07-31,0.000,1935.700,Cancelled,PO line converted from PR item 119 for Spring Washer M5,2025-07-26 14:36:00,2025-07-26 15:36:00
73,24,117,24,56.000,No,190.625000,10675.00,18.00,1921.50,0.00,12596.50,2025-08-01,0.000,56.000,Cancelled,PO line converted from PR item 117 for Bearing 6205-2RS,2025-07-26 14:39:00,2025-07-26 15:39:00
74,24,118,65,982.800,No,13.034188,12810.00,18.00,2305.80,0.00,15115.80,2025-08-02,0.000,982.800,Cancelled,PO line converted from PR item 118 for Hex Bolt M8×35,2025-07-26 14:42:00,2025-07-26 15:42:00
75,25,120,3,294.500,No,18236.672326,5370700.00,18.00,966726.00,0.00,6337426.00,2025-08-03,0.000,294.500,Ordered,PO line converted from PR item 120 for Stator Core 7.5 kW,2025-07-30 14:45:00,2025-07-30 15:45:00
76,26,123,80,2099.500,ml,4.763039,10000.00,18.00,1800.00,0.00,11800.00,2025-08-02,2099.500,0.000,Fully Received,PO line converted from PR item 123 for Insulating Varnish,2025-07-28 14:48:00,2025-07-28 15:48:00
77,26,124,87,2720.000,g,5.514706,15000.00,18.00,2700.00,0.00,17700.00,2025-08-03,1904.000,816.000,Partially Received,PO line converted from PR item 124 for Silicone Sealant,2025-07-28 14:51:00,2025-07-28 15:51:00
78,27,126,9,1174.400,No,58.526337,68733.33,18.00,12372.00,0.00,81105.33,2025-08-04,1174.400,0.000,Fully Received,PO line converted from PR item 126 for NdFeB Magnet N48,2025-07-29 14:54:00,2025-07-29 15:54:00
79,27,127,32,654.500,m,157.524828,103100.00,18.00,18558.00,0.00,121658.00,2025-08-05,654.500,0.000,Fully Received,PO line converted from PR item 127 for Phase Lead Wire 2.5 mm²,2025-07-29 14:57:00,2025-07-29 15:57:00
80,27,128,39,140.000,No,981.904786,137466.67,18.00,24744.00,0.00,162210.67,2025-08-06,140.000,0.000,Fully Received,PO line converted from PR item 128 for Hall Sensor,2025-07-29 14:00:00,2025-07-29 15:00:00
81,28,129,36,681.800,No,56.426269,38471.43,18.00,6924.86,0.00,45396.29,2025-08-07,681.800,0.000,Closed,PO line converted from PR item 129 for Terminal Block Heavy Duty,2025-07-31 14:03:00,2025-07-31 15:03:00
82,28,130,43,178.000,No,324.197416,57707.14,18.00,10387.29,0.00,68094.43,2025-08-08,178.000,0.000,Closed,PO line converted from PR item 130 for Temperature Sensor NTC,2025-07-31 14:06:00,2025-07-31 15:06:00
83,28,131,50,341.900,No,225.044925,76942.86,18.00,13849.71,0.00,90792.57,2025-08-03,341.900,0.000,Closed,PO line converted from PR item 131 for Cable Gland PG11,2025-07-31 14:09:00,2025-07-31 15:09:00
84,28,129,36,1558.400,No,61.716228,96178.57,18.00,17312.14,0.00,113490.71,2025-08-04,1558.400,0.000,Closed,PO line converted from PR item 129 for Terminal Block Heavy Duty,2025-07-31 14:12:00,2025-07-31 15:12:00
85,29,132,47,216.000,Set,107.129630,23140.00,18.00,4165.20,347.10,26958.10,2025-08-10,0.000,216.000,Ordered,PO line converted from PR item 132 for Wiring Harness Automotive,2025-08-02 14:15:00,2025-08-02 15:15:00
86,29,133,54,391.300,No,88.704319,34710.00,18.00,6247.80,520.65,40437.15,2025-08-05,0.000,391.300,Ordered,PO line converted from PR item 133 for Cable Tie 250 mm,2025-08-02 14:18:00,2025-08-02 15:18:00
87,29,134,61,2604.000,m,17.772657,46280.00,18.00,8330.40,694.20,53916.20,2025-08-06,0.000,2604.000,Ordered,PO line converted from PR item 134 for Heat Shrink Sleeve 8 mm,2025-08-02 14:21:00,2025-08-02 15:21:00
88,29,132,47,151.200,Set,382.605820,57850.00,18.00,10413.00,867.75,67395.25,2025-08-07,0.000,151.200,Ordered,PO line converted from PR item 132 for Wiring Harness Automotive,2025-08-02 14:24:00,2025-08-02 15:24:00
89,29,133,54,301.000,No,230.631229,69420.00,18.00,12495.60,1041.30,80874.30,2025-08-08,0.000,301.000,Ordered,PO line converted from PR item 133 for Cable Tie 250 mm,2025-08-02 14:27:00,2025-08-02 15:27:00
90,30,135,58,2054.000,No,27.896787,57300.00,18.00,10314.00,0.00,67614.00,2025-08-09,2054.000,0.000,Fully Received,PO line converted from PR item 135 for Phase Insulation Paper,2025-08-06 14:30:00,2025-08-06 15:30:00
91,31,138,69,2484.800,No,4.024469,10000.00,18.00,1800.00,0.00,11800.00,2025-08-08,2484.800,0.000,Fully Received,PO line converted from PR item 138 for Flat Washer M5,2025-08-04 14:33:00,2025-08-04 15:33:00
92,31,139,76,1146.600,No,13.082156,15000.00,18.00,2700.00,0.00,17700.00,2025-08-09,1146.600,0.000,Fully Received,PO line converted from PR item 139 for Dowel Pin Ø6×25,2025-08-04 14:36:00,2025-08-04 15:36:00
93,32,141,34,721.000,m,246.108793,177444.44,18.00,31940.00,0.00,209384.44,2025-08-11,0.000,721.000,Cancelled,PO line converted from PR item 141 for Phase Lead Wire 10 mm²,2025-08-06 14:39:00,2025-08-06 15:39:00
94,32,142,41,233.000,No,1142.346223,266166.67,18.00,47910.00,0.00,314076.67,2025-08-12,0.000,233.000,Cancelled,PO line converted from PR item 142 for Resolver / Encoder,2025-08-06 14:42:00,2025-08-06 15:42:00
95,32,143,48,413.400,Set,858.463691,354888.89,18.00,63880.00,0.00,418768.89,2025-08-13,0.000,413.400,Cancelled,PO line converted from PR item 143 for Wiring Harness Industrial,2025-08-06 14:45:00,2025-08-06 15:45:00
96,33,144,91,248.500,No,928.945111,230842.86,18.00,41551.71,0.00,272394.57,2025-08-16,0.000,248.500,Ordered,PO line converted from PR item 144 for Poly Bag,2025-08-10 14:48:00,2025-08-10 15:48:00
97,33,145,98,261.300,No,1325.159931,346264.29,18.00,62327.57,0.00,408591.86,2025-08-17,0.000,261.300,Ordered,PO line converted from PR item 145 for User Manual,2025-08-10 14:51:00,2025-08-10 15:51:00
98,33,146,3,310.400,No,1487.389530,461685.71,18.00,83103.43,0.00,544789.14,2025-08-18,0.000,310.400,Ordered,PO line converted from PR item 146 for Stator Core 7.5 kW,2025-08-10 14:54:00,2025-08-10 15:54:00
99,33,144,91,173.950,No,3317.661052,577107.14,18.00,103879.29,0.00,680986.43,2025-08-13,0.000,173.950,Ordered,PO line converted from PR item 144 for Poly Bag,2025-08-10 14:57:00,2025-08-10 15:57:00
100,34,147,102,3.250,No,18766.153846,60990.00,18.00,10978.20,0.00,71968.20,2025-08-18,3.250,0.000,Fully Received,PO line converted from PR item 147 for PMSM Motor 7.5 kW,2025-08-11 14:00:00,2025-08-11 15:00:00
101,34,148,7,1380.800,No,66.255070,91485.00,18.00,16467.30,0.00,107952.30,2025-08-19,966.560,414.240,Partially Received,PO line converted from PR item 148 for NdFeB Magnet N42,2025-08-11 14:03:00,2025-08-11 15:03:00
102,34,149,14,22.400,No,5445.535714,121980.00,18.00,21956.40,0.00,143936.40,2025-08-14,5.600,16.800,Partially Received,PO line converted from PR item 149 for Rotor Sleeve SS 0.6 mm,2025-08-11 14:06:00,2025-08-11 15:06:00
103,34,147,102,2.500,No,60990.000000,152475.00,18.00,27445.50,0.00,179920.50,2025-08-15,1.000,1.500,Partially Received,PO line converted from PR item 147 for PMSM Motor 7.5 kW,2025-08-11 14:09:00,2025-08-11 15:09:00
104,34,148,7,1121.900,No,163.089402,182970.00,18.00,32934.60,0.00,215904.60,2025-08-16,1121.900,0.000,Fully Received,PO line converted from PR item 148 for NdFeB Magnet N42,2025-08-11 14:12:00,2025-08-11 15:12:00
105,35,150,11,664.800,No,2563.929001,1704500.00,18.00,306810.00,0.00,2011310.00,2025-08-21,664.800,0.000,Fully Received,PO line converted from PR item 150 for Motor Shaft EN19,2025-08-13 14:15:00,2025-08-13 15:15:00
106,36,153,22,75.600,No,3497.883598,264440.00,18.00,47599.20,3966.60,308072.60,2025-08-12,75.600,0.000,Closed,PO line converted from PR item 153 for Bearing Spacer Alloy,2025-08-09 14:18:00,2025-08-09 15:18:00
107,36,154,29,1075.000,kg,368.986047,396660.00,18.00,71398.80,5949.90,462108.90,2025-08-13,1075.000,0.000,Closed,PO line converted from PR item 154 for Copper Wire 1.00 mm,2025-08-09 14:21:00,2025-08-09 15:21:00
108,37,156,33,52.500,m,956.613714,50222.22,18.00,9040.00,0.00,59262.22,2025-08-16,0.000,52.500,Ordered,PO line converted from PR item 156 for Phase Lead Wire 4 mm²,2025-08-12 14:24:00,2025-08-12 15:24:00
109,37,157,40,410.800,No,183.382011,75333.33,18.00,13560.00,0.00,88893.33,2025-08-17,0.000,410.800,Ordered,PO line converted from PR item 157 for Hall Sensor PCB,2025-08-12 14:27:00,2025-08-12 15:27:00
110,37,158,47,641.600,Set,156.553070,100444.45,18.00,18080.00,0.00,118524.45,2025-08-18,0.000,641.600,Ordered,PO line converted from PR item 158 for Wiring Harness Automotive,2025-08-12 14:30:00,2025-08-12 15:30:00
111,38,159,44,460.200,No,56.900717,26185.71,18.00,4713.43,0.00,30899.14,2025-08-18,460.200,0.000,Fully Received,PO line converted from PR item 159 for PT100 Sensor,2025-08-13 14:33:00,2025-08-13 15:33:00
112,38,160,51,702.400,No,55.920515,39278.57,18.00,7070.14,0.00,46348.71,2025-08-19,491.680,210.720,Partially Received,PO line converted from PR item 160 for Cable Gland PG16,2025-08-13 14:36:00,2025-08-13 15:36:00
113,38,161,58,1235.500,No,42.388855,52371.43,18.00,9426.86,0.00,61798.29,2025-08-20,308.875,926.625,Partially Received,PO line converted from PR item 161 for Phase Insulation Paper,2025-08-13 14:39:00,2025-08-13 15:39:00
114,38,159,44,354.000,No,184.927373,65464.29,18.00,11783.57,0.00,77247.86,2025-08-21,141.600,212.400,Partially Received,PO line converted from PR item 159 for PT100 Sensor,2025-08-13 14:42:00,2025-08-13 15:42:00
115,39,162,3,428.800,No,661.077425,283470.00,18.00,51024.60,0.00,334494.60,2025-08-23,428.800,0.000,Fully Received,PO line converted from PR item 162 for Stator Core 7.5 kW,2025-08-17 14:45:00,2025-08-17 15:45:00
116,39,163,23,225.050,No,1889.380138,425205.00,18.00,76536.90,0.00,501741.90,2025-08-24,225.050,0.000,Fully Received,PO line converted from PR item 163 for Bearing 6202-2RS,2025-08-17 14:48:00,2025-08-17 15:48:00
117,39,164,33,125.000,m,4535.520000,566940.00,18.00,102049.20,0.00,668989.20,2025-08-25,125.000,0.000,Fully Received,PO line converted from PR item 164 for Phase Lead Wire 4 mm²,2025-08-17 14:51:00,2025-08-17 15:51:00
118,39,162,3,348.400,No,2034.084386,708675.00,18.00,127561.50,0.00,836236.50,2025-08-20,348.400,0.000,Fully Received,PO line converted from PR item 162 for Stator Core 7.5 kW,2025-08-17 14:54:00,2025-08-17 15:54:00
119,39,163,23,514.400,No,1653.207621,850410.00,18.00,153073.80,0.00,1003483.80,2025-08-21,514.400,0.000,Fully Received,PO line converted from PR item 163 for Bearing 6202-2RS,2025-08-17 14:57:00,2025-08-17 15:57:00
120,40,165,66,1183.700,No,21.120216,25000.00,18.00,4500.00,0.00,29500.00,2025-08-26,0.000,1183.700,Cancelled,PO line converted from PR item 165 for Hex Nut M5,2025-08-19 14:00:00,2025-08-19 15:00:00
