po_id,po_number,pr_id,vendor_id,department_id,po_date,expected_delivery_date,payment_terms,delivery_terms,billing_address,shipping_address,subtotal_amount,tax_amount,freight_charges,discount_amount,total_po_amount,currency,po_status,approval_status,approved_by,approved_date,remarks,created_at,updated_at
11,PO202505260011,12,20,1,2025-05-26,2025-06-08,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",453600.00,81648.00,5128.80,0.00,540376.80,INR,Fully Received,Approved,12,2025-05-27,PR-based procurement for Electronic Components from PR202606300012,2025-05-26 10:10:00,2025-05-26 11:10:00
12,PO202506010012,14,24,1,2025-06-01,2025-06-20,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",897300.00,161514.00,10473.00,0.00,1069287.00,INR,Closed,Approved,13,2025-06-03,PR-based procurement for Electrical Components from PR202606300014,2025-06-01 10:17:00,2025-06-01 11:17:00
13,PO202506080013,16,28,2,2025-06-08,2025-06-22,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Issued,Approved,1,2025-06-08,PR-based procurement for Fasteners from PR202606300016,2025-06-08 10:24:00,2025-06-08 11:24:00
14,PO202506150014,17,35,1,2025-06-15,2025-07-04,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",51300.00,9234.00,1910.40,0.00,62444.40,INR,Partially Received,Approved,3,2025-06-16,PR-based procurement for Packaging Materials from PR202606300017,2025-06-15 10:31:00,2025-06-15 11:31:00
15,PO202506160015,18,20,1,2025-06-16,2025-07-03,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",1579200.00,284256.00,17292.00,23688.00,1857060.00,INR,Fully Received,Approved,4,2025-06-18,PR-based procurement for Electronic Components from PR202606300018,2025-06-16 10:38:00,2025-06-16 11:38:00
16,PO202506160016,19,28,1,2025-06-16,2025-07-03,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Cancelled,Pending,,,PR-based procurement for Fasteners from PR202606300019,2025-06-16 10:45:00,2025-06-16 11:45:00
17,PO202506180017,20,16,1,2025-06-18,2025-07-09,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",144500.00,26010.00,2656.00,0.00,173166.00,INR,Issued,Approved,6,2025-06-19,PR-based procurement for Bearings from PR202606300020,2025-06-18 10:52:00,2025-06-18 11:52:00
18,PO202506280018,21,24,1,2025-06-28,2025-07-23,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",1486000.00,267480.00,16360.00,0.00,1769840.00,INR,Partially Received,Approved,7,2025-06-30,PR-based procurement for Electrical Components from PR202606300021,2025-06-28 10:59:00,2025-06-28 11:59:00
19,PO202506300019,22,28,1,2025-06-30,2025-07-11,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Fully Received,Approved,8,2025-06-30,PR-based procurement for Fasteners from PR202606300022,2025-06-30 10:06:00,2025-06-30 11:06:00
20,PO202507020020,23,2,1,2025-07-02,2025-07-20,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",1554000.00,279720.00,13932.00,0.00,1847652.00,INR,Closed,Approved,9,2025-07-03,PR-based procurement for Electrical Components from PR202606300023,2025-07-02 10:13:00,2025-07-02 11:13:00
21,PO202507060021,24,27,1,2025-07-06,2025-07-31,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Issued,Approved,10,2025-07-08,PR-based procurement for Insulation Materials from PR202606300024,2025-07-06 10:20:00,2025-07-06 11:20:00
22,PO202507140022,25,28,2,2025-07-14,2025-07-28,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,375.00,30775.00,INR,Partially Received,Approved,11,2025-07-14,PR-based procurement for Fasteners from PR202606300025,2025-07-14 10:27:00,2025-07-14 11:27:00
23,PO202507160023,26,29,1,2025-07-16,2025-08-01,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Fully Received,Approved,12,2025-07-17,PR-based procurement for Fasteners from PR202606300026,2025-07-16 10:34:00,2025-07-16 11:34:00
24,PO202507270024,28,30,3,2025-07-27,2025-08-16,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Assembly Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",42700.00,7686.00,1927.00,0.00,52313.00,INR,Cancelled,Pending,,,PR-based procurement for Fasteners from PR202606300028,2025-07-27 10:41:00,2025-07-27 11:41:00
25,PO202507310025,29,4,1,2025-07-31,2025-08-29,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",5370700.00,966726.00,33724.20,0.00,6371150.20,INR,Issued,Pending,,,PR-based procurement for Core Components from PR202606300029,2025-07-31 10:48:00,2025-07-31 11:48:00
26,PO202507290026,30,16,2,2025-07-29,2025-08-19,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Partially Received,Approved,3,2025-07-30,PR-based procurement for Bearings from PR202606300030,2025-07-29 10:55:00,2025-07-29 11:55:00
27,PO202507300027,31,9,2,2025-07-30,2025-09-07,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",309300.00,55674.00,4593.00,0.00,369567.00,INR,Fully Received,Approved,4,2025-08-01,PR-based procurement for Magnetic Components from PR202606300031,2025-07-30 10:02:00,2025-07-30 11:02:00
28,PO202508010028,32,22,1,2025-08-01,2025-08-18,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",269300.00,48474.00,3115.80,0.00,320889.80,INR,Closed,Approved,5,2025-08-01,PR-based procurement for Electrical Components from PR202606300032,2025-08-01 10:09:00,2025-08-01 11:09:00
29,PO202508030029,33,18,1,2025-08-03,2025-08-16,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",231400.00,41652.00,3351.20,3471.00,272932.20,INR,Issued,Approved,6,2025-08-04,PR-based procurement for Electronic Components from PR202606300033,2025-08-03 10:16:00,2025-08-03 11:16:00
30,PO202508070030,34,30,1,2025-08-07,2025-08-24,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",57300.00,10314.00,2073.00,0.00,69687.00,INR,Partially Received,Approved,7,2025-08-09,PR-based procurement for Fasteners from PR202606300034,2025-08-07 10:23:00,2025-08-07 11:23:00
31,PO202508050031,35,28,1,2025-08-05,2025-08-19,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Fully Received,Approved,8,2025-08-05,PR-based procurement for Fasteners from PR202606300035,2025-08-05 10:30:00,2025-08-05 11:30:00
32,PO202508070032,36,21,1,2025-08-07,2025-08-24,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",798500.00,143730.00,7888.00,0.00,950118.00,INR,Cancelled,Pending,,,PR-based procurement for Electronic Components from PR202606300036,2025-08-07 10:37:00,2025-08-07 11:37:00
33,PO202508110033,37,6,2,2025-08-11,2025-09-13,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",1615900.00,290862.00,17659.00,0.00,1924421.00,INR,Issued,Pending,,,PR-based procurement for Core Components from PR202606300037,2025-08-11 10:44:00,2025-08-11 11:44:00
34,PO202508120034,38,11,1,2025-08-12,2025-09-02,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",609900.00,109782.00,5159.40,0.00,724841.40,INR,Partially Received,Approved,11,2025-08-12,PR-based procurement for Finished Goods from PR202606300038,2025-08-12 10:51:00,2025-08-12 11:51:00
35,PO202508140035,39,14,1,2025-08-14,2025-09-10,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",1704500.00,306810.00,15136.00,0.00,2026446.00,INR,Fully Received,Approved,12,2025-08-15,PR-based procurement for Mechanical Components from PR202606300039,2025-08-14 10:58:00,2025-08-14 11:58:00
36,PO202508100036,40,24,1,2025-08-10,2025-09-04,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",661100.00,118998.00,8111.00,9916.50,778292.50,INR,Closed,Approved,13,2025-08-12,PR-based procurement for Electrical Components from PR202606300040,2025-08-10 10:05:00,2025-08-10 11:05:00
37,PO202508130037,41,18,1,2025-08-13,2025-08-25,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",226000.00,40680.00,2856.00,0.00,269536.00,INR,Issued,Pending,,,PR-based procurement for Electronic Components from PR202606300041,2025-08-13 10:12:00,2025-08-13 11:12:00
38,PO202508140038,42,19,1,2025-08-14,2025-08-26,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",183300.00,32994.00,2966.40,0.00,219260.40,INR,Partially Received,Approved,3,2025-08-15,PR-based procurement for Electronic Components from PR202606300042,2025-08-14 10:19:00,2025-08-14 11:19:00
39,PO202508180039,43,6,2,2025-08-18,2025-09-17,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",2834700.00,510246.00,29847.00,0.00,3374793.00,INR,Fully Received,Approved,4,2025-08-20,PR-based procurement for Core Components from PR202606300043,2025-08-18 10:26:00,2025-08-18 11:26:00
40,PO202508200040,44,28,1,2025-08-20,2025-09-03,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1650.00,0.00,31150.00,INR,Cancelled,Pending,,,PR-based procurement for Fasteners from PR202606300044,2025-08-20 10:33:00,2025-08-20 11:33:00
41,PO202508180041,45,29,1,2025-08-18,2025-09-03,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Issued,Approved,6,2025-08-19,PR-based procurement for Fasteners from PR202606300045,2025-08-18 10:40:00,2025-08-18 11:40:00
42,PO202508230042,46,35,1,2025-08-23,2025-09-12,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Partially Received,Approved,7,2025-08-25,PR-based procurement for Packaging Materials from PR202606300046,2025-08-23 10:47:00,2025-08-23 11:47:00
43,PO202508250043,47,4,1,2025-08-25,2025-09-23,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",136600.00,24588.00,2319.60,2049.00,161458.60,INR,Fully Received,Approved,8,2025-08-25,PR-based procurement for Core Components from PR202606300047,2025-08-25 10:54:00,2025-08-25 11:54:00
44,PO202508280044,48,8,1,2025-08-28,2025-09-25,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",559000.00,100620.00,5972.00,0.00,665592.00,INR,Closed,Approved,9,2025-08-29,PR-based procurement for Magnetic Components from PR202606300048,2025-08-28 10:01:00,2025-08-28 11:01:00
45,PO202508300045,49,14,3,2025-08-30,2025-09-27,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Assembly Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",225700.00,40626.00,3757.00,0.00,270083.00,INR,Issued,Approved,10,2025-09-01,PR-based procurement for Mechanical Components from PR202606300049,2025-08-30 10:08:00,2025-08-30 11:08:00
46,PO202508280046,50,22,1,2025-08-28,2025-09-14,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",197700.00,35586.00,2686.20,0.00,235972.20,INR,Partially Received,Approved,11,2025-08-28,PR-based procurement for Electrical Components from PR202606300050,2025-08-28 10:15:00,2025-08-28 11:15:00
47,PO202508310047,51,16,1,2025-08-31,2025-09-15,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",87200.00,15696.00,2197.60,0.00,105093.60,INR,Fully Received,Approved,12,2025-09-01,PR-based procurement for Bearings from PR202606300051,2025-08-31 10:22:00,2025-08-31 11:22:00
48,PO202509020048,52,27,1,2025-09-02,2025-09-27,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Cancelled,Pending,,,PR-based procurement for Insulation Materials from PR202606300052,2025-09-02 10:29:00,2025-09-02 11:29:00
49,PO202509040049,53,1,1,2025-09-04,2025-09-22,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",270300.00,48654.00,3121.80,0.00,322075.80,INR,Issued,Approved,1,2025-09-04,PR-based procurement for Electrical Components from PR202606300053,2025-09-04 10:36:00,2025-09-04 11:36:00
50,PO202509070050,54,29,1,2025-09-07,2025-09-23,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,375.00,30825.00,INR,Partially Received,Approved,3,2025-09-08,PR-based procurement for Fasteners from PR202606300054,2025-09-07 10:43:00,2025-09-07 11:43:00
51,PO202509090051,55,33,1,2025-09-09,2025-09-28,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1750.00,0.00,31250.00,INR,Fully Received,Approved,4,2025-09-11,PR-based procurement for Consumables from PR202606300055,2025-09-09 10:50:00,2025-09-09 11:50:00
52,PO202509110052,56,4,1,2025-09-11,2025-10-10,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",408600.00,73548.00,3951.60,0.00,486099.60,INR,Closed,Approved,5,2025-09-11,PR-based procurement for Core Components from PR202606300056,2025-09-11 10:57:00,2025-09-11 11:57:00
53,PO202509130053,57,12,3,2025-09-13,2025-10-07,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Assembly Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",1602500.00,288450.00,14320.00,0.00,1905270.00,INR,Issued,Pending,,,PR-based procurement for Mechanical Components from PR202606300057,2025-09-13 10:04:00,2025-09-13 11:04:00
54,PO202509150054,58,13,1,2025-09-15,2025-10-12,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",874200.00,157356.00,10242.00,0.00,1041798.00,INR,Partially Received,Approved,7,2025-09-17,PR-based procurement for Mechanical Components from PR202606300058,2025-09-15 10:11:00,2025-09-15 11:11:00
55,PO202509180055,59,1,1,2025-09-18,2025-10-03,Immediate payment against proforma invoice,Delivery in staggered lots as per production plan,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",136400.00,24552.00,2318.40,0.00,163270.40,INR,Fully Received,Approved,8,2025-09-18,PR-based procurement for Electrical Components from PR202606300059,2025-09-18 10:18:00,2025-09-18 11:18:00
56,PO202509140056,60,21,1,2025-09-14,2025-09-28,30 days credit from invoice date,"FOR Hosur plant, freight included","EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",73500.00,13230.00,2088.00,0.00,88818.00,INR,Cancelled,Pending,,,PR-based procurement for Electronic Components from PR202606300060,2025-09-14 10:25:00,2025-09-14 11:25:00
57,PO202509160057,61,17,2,2025-09-16,2025-10-03,45 days credit after GRN acceptance,Ex-works supplier warehouse,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Rotor Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",96300.00,17334.00,2463.00,1444.50,114652.50,INR,Issued,Approved,10,2025-09-18,PR-based procurement for Bearings from PR202606300061,2025-09-16 10:32:00,2025-09-16 11:32:00
58,PO202509180058,62,25,1,2025-09-18,2025-10-10,"50% advance, balance against dispatch",Door delivery to raw material store,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",57900.00,10422.00,1847.40,0.00,70169.40,INR,Partially Received,Approved,11,2025-09-18,PR-based procurement for Insulation Materials from PR202606300062,2025-09-18 10:39:00,2025-09-18 11:39:00
59,PO202509200059,63,29,1,2025-09-20,2025-10-06,15 days after material acceptance,Freight extra at actuals,"EV Motor Manufacturing Pvt Ltd, SIPCOT Industrial Park, Hosur, Tamil Nadu 635126","Stator Shop, EV Motor Manufacturing Pvt Ltd, Hosur Plant",25000.00,4500.00,1700.00,0.00,31200.00,INR,Fully Received,Approved,12,2025-09-21,PR-based procurement for Fasteners from PR202606300063,2025-09-20 10:46:00,2025-09-20 11:46:00
