inventory_id,balance_id,item_id,department_id,location_id,warehouse_location,quantity_on_hand,reserved_quantity,available_quantity,reorder_level,safety_stock,max_stock,current_stock,inventory_value,last_updated,status,data_issue_quantity
21,21,18,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,84.000,42.000,168.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,112.477
22,22,19,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,532.000,266.000,1064.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,603.764
23,23,20,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,532.000,266.000,1064.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,405.735
24,24,21,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,448.000,224.000,896.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,556.227
25,25,23,2,RMWH_STORE,RMWH_STORE,604.236,0.000,604.236,1600.000,800.000,3200.000,604.236,72508.32,2026-07-08,Below Reorder,0.000
26,26,23,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,560.000,280.000,1120.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,12297.620
27,27,24,2,RMWH_STORE,RMWH_STORE,1301.074,0.000,1301.074,960.000,480.000,1920.000,1301.074,286236.28,2026-07-08,Active,0.000
28,28,24,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,336.000,168.000,672.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,92.000
29,29,26,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,532.000,266.000,1064.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,14647.105
30,30,27,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,448.000,224.000,896.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,485.342
31,31,29,2,RMWH_STORE,RMWH_STORE,10.454,10.454,0.000,1440.000,720.000,2880.000,10.454,8885.90,2026-07-08,Below Reorder,0.000
32,32,29,3,STAT_WIP,STAT_WIP,0.000,0.000,0.000,504.000,252.000,1008.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,6845.960
33,33,30,2,RMWH_STORE,RMWH_STORE,470.123,0.000,470.123,1536.000,768.000,3072.000,470.123,413708.24,2026-07-08,Below Reorder,0.000
34,34,30,3,STAT_WIP,STAT_WIP,0.000,0.000,0.000,537.600,268.800,1075.200,0.000,0.00,2026-07-08,Data Issue - Over Issued,99.000
35,35,31,2,RMWH_STORE,RMWH_STORE,279.309,0.000,279.309,1560.000,780.000,3120.000,279.309,256964.28,2026-07-08,Below Reorder,0.000
36,36,31,3,STAT_WIP,STAT_WIP,0.000,0.000,0.000,546.000,273.000,1092.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,98.000
37,37,32,2,RMWH_STORE,RMWH_STORE,1651.191,0.000,1651.191,2400.000,1200.000,4800.000,1651.191,57791.69,2026-07-08,Below Reorder,0.000
38,38,33,2,RMWH_STORE,RMWH_STORE,51.940,0.000,51.940,1920.000,960.000,3840.000,51.940,3116.40,2026-07-08,Below Reorder,0.000
39,39,34,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,420.000,210.000,840.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,485.063
40,40,35,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,280.000,140.000,560.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,16.722
41,41,36,2,RMWH_STORE,RMWH_STORE,72.600,0.000,72.600,480.000,240.000,960.000,72.600,13068.00,2026-07-08,Below Reorder,0.000
42,42,37,2,RMWH_STORE,RMWH_STORE,1678.426,0.000,1678.426,240.000,120.000,1678.426,1678.426,704938.92,2026-07-08,Active,0.000
43,43,38,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,1596.000,798.000,3192.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,51.188
44,44,38,2,RMWH_STORE,RMWH_STORE,608.400,0.000,608.400,4560.000,2280.000,9120.000,608.400,7300.80,2026-07-08,Below Reorder,0.000
45,45,43,2,RMWH_STORE,RMWH_STORE,761.557,0.000,761.557,480.000,240.000,960.000,761.557,64732.35,2026-07-08,Active,0.000
46,46,44,2,RMWH_STORE,RMWH_STORE,522.948,0.000,522.948,480.000,240.000,960.000,522.948,115048.56,2026-07-08,Active,0.000
47,47,47,2,RMWH_STORE,RMWH_STORE,146.880,0.000,146.880,1280.000,640.000,2560.000,146.880,66096.00,2026-07-08,Below Reorder,0.000
48,48,50,2,RMWH_STORE,RMWH_STORE,156.000,0.000,156.000,480.000,240.000,960.000,156.000,6240.00,2026-07-08,Below Reorder,0.000
49,49,51,2,RMWH_STORE,RMWH_STORE,345.581,0.000,345.581,240.000,120.000,480.000,345.581,38013.91,2026-07-08,Active,0.000
50,50,53,2,RMWH_STORE,RMWH_STORE,318.923,0.000,318.923,2880.000,1440.000,5760.000,318.923,956.77,2026-07-08,Below Reorder,0.000
51,51,54,2,RMWH_STORE,RMWH_STORE,78.260,0.000,78.260,1920.000,960.000,3840.000,78.260,391.30,2026-07-08,Below Reorder,0.000
52,52,55,2,RMWH_STORE,RMWH_STORE,0.000,0.000,0.000,19200.000,9600.000,38400.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,198.000
53,53,55,3,STAT_WIP,STAT_WIP,0.000,0.000,0.000,6720.000,3360.000,13440.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,8354.359
54,54,56,2,RMWH_STORE,RMWH_STORE,0.000,0.000,0.000,17280.000,8640.000,34560.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,156.000
55,55,56,3,STAT_WIP,STAT_WIP,156.000,0.000,156.000,6048.000,3024.000,12096.000,156.000,1560.00,2026-07-08,Below Reorder,0.000
56,56,57,2,RMWH_STORE,RMWH_STORE,1144.144,0.000,1144.144,11520.000,5760.000,23040.000,1144.144,13729.73,2026-07-08,Below Reorder,0.000
57,57,58,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,16800.000,8400.000,33600.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,4190.142
58,58,58,2,RMWH_STORE,RMWH_STORE,1907.736,128.000,1779.736,48000.000,24000.000,96000.000,1907.736,11446.42,2026-07-08,Below Reorder,0.000
59,59,59,2,RMWH_STORE,RMWH_STORE,773.990,0.000,773.990,48000.000,24000.000,96000.000,773.990,3869.95,2026-07-08,Below Reorder,0.000
60,60,59,3,STAT_WIP,STAT_WIP,0.000,0.000,0.000,16800.000,8400.000,33600.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,13711.920
61,61,60,5,ASMB_WIP,ASMB_WIP,92.000,0.000,92.000,140.000,70.000,280.000,92.000,1656.00,2026-07-08,Below Reorder,0.000
62,62,60,2,RMWH_STORE,RMWH_STORE,1383.431,0.000,1383.431,400.000,200.000,1383.431,1383.431,24901.76,2026-07-08,Active,0.000
63,63,61,2,RMWH_STORE,RMWH_STORE,862.760,0.000,862.760,384.000,192.000,862.760,862.760,21569.00,2026-07-08,Active,0.000
64,64,62,2,RMWH_STORE,RMWH_STORE,360.360,100.000,260.360,240.000,120.000,480.000,360.360,16216.20,2026-07-08,Active,0.000
65,65,63,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,2240.000,1120.000,4480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,21324.240
66,66,64,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,1680.000,840.000,3360.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,306.000
67,67,64,2,RMWH_STORE,RMWH_STORE,507.760,0.000,507.760,4800.000,2400.000,9600.000,507.760,2538.80,2026-07-08,Below Reorder,0.000
68,68,66,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,2240.000,1120.000,4480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,13975.680
69,69,67,2,RMWH_STORE,RMWH_STORE,4319.641,0.000,4319.641,4800.000,2400.000,9600.000,4319.641,10799.10,2026-07-08,Below Reorder,0.000
70,70,69,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,2240.000,1120.000,4480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,13782.000
71,71,69,2,RMWH_STORE,RMWH_STORE,681.492,0.000,681.492,6400.000,3200.000,12800.000,681.492,545.19,2026-07-08,Below Reorder,0.000
72,72,71,2,RMWH_STORE,RMWH_STORE,1657.516,0.000,1657.516,2880.000,1440.000,5760.000,1657.516,4143.79,2026-07-08,Below Reorder,0.000
73,73,72,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,2240.000,1120.000,4480.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,13830.240
74,74,73,2,RMWH_STORE,RMWH_STORE,5949.209,0.000,5949.209,4800.000,2400.000,9600.000,5949.209,7139.05,2026-07-08,Active,0.000
75,75,74,2,RMWH_STORE,RMWH_STORE,2976.190,0.000,2976.190,2880.000,1440.000,5760.000,2976.190,7440.48,2026-07-08,Active,0.000
76,76,76,2,RMWH_STORE,RMWH_STORE,7915.785,0.000,7915.785,960.000,480.000,7915.785,7915.785,55410.50,2026-07-08,Active,0.000
77,77,78,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,1064.000,532.000,2128.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,853.267
78,78,78,2,RMWH_STORE,RMWH_STORE,4833.496,0.000,4833.496,3040.000,1520.000,6080.000,4833.496,19333.98,2026-07-08,Active,0.000
79,79,79,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,1064.000,532.000,2128.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,24553.559
80,80,79,2,RMWH_STORE,RMWH_STORE,2266.364,0.000,2266.364,3040.000,1520.000,6080.000,2266.364,9065.46,2026-07-08,Below Reorder,0.000
81,81,80,2,RMWH_STORE,RMWH_STORE,25504.000,0.000,25504.000,144000.000,72000.000,288000.000,25504.000,20403.20,2026-07-08,Below Reorder,0.000
82,82,80,3,STAT_WIP,STAT_WIP,0.000,0.000,0.000,50400.000,25200.000,100800.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,26052.639
83,83,81,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,14700.000,7350.000,29400.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,334.275
84,84,81,2,RMWH_STORE,RMWH_STORE,4581.440,0.000,4581.440,42000.000,21000.000,84000.000,4581.440,5497.73,2026-07-08,Below Reorder,0.000
85,85,82,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,2800.000,1400.000,5600.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,15103.184
86,86,82,2,RMWH_STORE,RMWH_STORE,650.880,0.000,650.880,8000.000,4000.000,16000.000,650.880,976.32,2026-07-08,Below Reorder,0.000
87,87,83,4,ROTR_WIP,ROTR_WIP,0.000,0.000,0.000,8400.000,4200.000,16800.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,40422.120
88,88,84,2,RMWH_STORE,RMWH_STORE,5242.930,0.000,5242.930,156000.000,78000.000,312000.000,5242.930,1310.73,2026-07-08,Below Reorder,0.000
89,89,85,2,RMWH_STORE,RMWH_STORE,776.720,0.000,776.720,9000.000,4500.000,18000.000,776.720,1398.10,2026-07-08,Below Reorder,0.000
90,90,87,2,RMWH_STORE,RMWH_STORE,17117.700,0.000,17117.700,12000.000,6000.000,24000.000,17117.700,13694.16,2026-07-08,Active,0.000
91,91,88,2,RMWH_STORE,RMWH_STORE,4157.707,0.000,4157.707,1520.000,760.000,4157.707,4157.707,187096.82,2026-07-08,Active,0.000
92,92,89,2,RMWH_STORE,RMWH_STORE,1020.298,0.000,1020.298,3040.000,1520.000,6080.000,1020.298,18365.36,2026-07-08,Below Reorder,0.000
93,93,93,2,RMWH_STORE,RMWH_STORE,1445.320,0.000,1445.320,1760.000,880.000,3520.000,1445.320,4335.96,2026-07-08,Below Reorder,0.000
94,94,95,2,RMWH_STORE,RMWH_STORE,202.698,0.000,202.698,1520.000,760.000,3040.000,202.698,608.09,2026-07-08,Below Reorder,0.000
95,95,96,2,RMWH_STORE,RMWH_STORE,97.734,0.000,97.734,1520.000,760.000,3040.000,97.734,390.94,2026-07-08,Below Reorder,0.000
96,96,100,6,FGWH_STORE,FGWH_STORE,0.000,0.000,0.000,300.000,150.000,900.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,27.600
97,97,101,6,FGWH_STORE,FGWH_STORE,113.000,0.000,113.000,180.000,90.000,540.000,113.000,4124500.00,2026-07-08,Below Reorder,0.000
98,98,102,6,FGWH_STORE,FGWH_STORE,276.300,0.000,276.300,90.000,45.000,276.300,276.300,22656600.00,2026-07-08,Active,0.000
99,99,103,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,42.000,21.000,126.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,240.000
100,100,104,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,31.500,15.750,94.500,0.000,0.00,2026-07-08,Data Issue - Over Issued,360.000
101,101,104,3,STAT_WIP,STAT_WIP,2077.000,0.000,2077.000,31.500,15.750,2077.000,2077.000,16200600.00,2026-07-08,Active,0.000
102,102,105,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,15.750,7.700,47.250,0.000,0.00,2026-07-08,Data Issue - Over Issued,171.000
103,103,105,3,STAT_WIP,STAT_WIP,2774.000,0.000,2774.000,15.750,7.700,2774.000,2774.000,42997000.00,2026-07-08,Active,0.000
104,104,106,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,42.000,21.000,126.000,0.000,0.00,2026-07-08,Data Issue - Over Issued,240.000
105,105,106,4,ROTR_WIP,ROTR_WIP,2227.500,0.000,2227.500,42.000,21.000,2227.500,2227.500,9578250.00,2026-07-08,Active,0.000
106,106,107,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,31.500,15.750,94.500,0.000,0.00,2026-07-08,Data Issue - Over Issued,360.000
107,107,107,4,ROTR_WIP,ROTR_WIP,1453.200,0.000,1453.200,31.500,15.750,1453.200,1453.200,10027080.00,2026-07-08,Active,0.000
108,108,108,5,ASMB_WIP,ASMB_WIP,0.000,0.000,0.000,15.750,7.700,47.250,0.000,0.00,2026-07-08,Data Issue - Over Issued,123.000
109,109,108,4,ROTR_WIP,ROTR_WIP,1490.000,0.000,1490.000,15.750,7.700,1490.000,1490.000,20264000.00,2026-07-08,Active,0.000
